dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
AN19,mfcc39,oof_all,,M_condition,5685,5685,3893.26473511321,0.684831087970661
AN19,mfcc39,oof_all,,M_joint,5685,5685,3725.98952128213,0.655407127754112
AN19,mfcc39,oof_all,,M_null,5685,5685,3935.58176001516,0.692274715921751
AN19,mfcc39,oof_all,,M_predictor,5685,5685,3761.56665854903,0.661665199392969
AN19,mfcc39,oof_fold,0.0,M_condition,1894,1894,1297.264283141,0.684933623622493
AN19,mfcc39,oof_fold,0.0,M_joint,1894,1894,1239.27130500007,0.654314310982087
AN19,mfcc39,oof_fold,0.0,M_null,1894,1894,1316.97176343364,0.695338840250074
AN19,mfcc39,oof_fold,0.0,M_predictor,1894,1894,1253.59876960403,0.661878970223879
AN19,mfcc39,oof_fold,1.0,M_condition,1895,1895,1297.67276087801,0.684787736611084
AN19,mfcc39,oof_fold,1.0,M_joint,1895,1895,1249.44347910579,0.659336928288017
AN19,mfcc39,oof_fold,1.0,M_null,1895,1895,1312.97066143984,0.692860507356116
AN19,mfcc39,oof_fold,1.0,M_predictor,1895,1895,1268.68826425512,0.669492487733572
AN19,mfcc39,oof_fold,2.0,M_condition,1896,1896,1298.3276910942,0.684771988973734
AN19,mfcc39,oof_fold,2.0,M_joint,1896,1896,1237.27473717626,0.65257106391153
AN19,mfcc39,oof_fold,2.0,M_null,1896,1896,1305.63933514168,0.68862834131945
AN19,mfcc39,oof_fold,2.0,M_predictor,1896,1896,1239.27962468988,0.653628494034749
AN19,mfcc_c0,oof_all,,M_condition,5685,5685,3893.26473511321,0.684831087970661
AN19,mfcc_c0,oof_all,,M_joint,5685,5685,3765.90603010471,0.66242850133768
AN19,mfcc_c0,oof_all,,M_null,5685,5685,3935.58176001516,0.692274715921751
AN19,mfcc_c0,oof_all,,M_predictor,5685,5685,3824.48036604898,0.67273181460844
AN19,mfcc_c0,oof_fold,0.0,M_condition,1894,1894,1297.264283141,0.684933623622493
AN19,mfcc_c0,oof_fold,0.0,M_joint,1894,1894,1257.32305314167,0.663845329008272
AN19,mfcc_c0,oof_fold,0.0,M_null,1894,1894,1316.97176343364,0.695338840250074
AN19,mfcc_c0,oof_fold,0.0,M_predictor,1894,1894,1280.07970500527,0.675860456708168
AN19,mfcc_c0,oof_fold,1.0,M_condition,1895,1895,1297.67276087801,0.684787736611084
AN19,mfcc_c0,oof_fold,1.0,M_joint,1895,1895,1257.85284373757,0.663774587724311
AN19,mfcc_c0,oof_fold,1.0,M_null,1895,1895,1312.97066143984,0.692860507356116
AN19,mfcc_c0,oof_fold,1.0,M_predictor,1895,1895,1283.66086804444,0.677393597912632
