dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
AN19,mfcc39,oof_all,,M_null,950,950,646.84607119241,0.680890601255169
AN19,mfcc39,oof_all,,M_predictor,950,950,632.873833929897,0.666182983084102
AN19,mfcc39,oof_fold,0.0,M_null,237,237,164.543764267148,0.694277486359274
AN19,mfcc39,oof_fold,0.0,M_predictor,237,237,156.492006209491,0.660303823668739
AN19,mfcc39,oof_fold,1.0,M_null,380,380,276.475819912231,0.727567947137449
AN19,mfcc39,oof_fold,1.0,M_predictor,380,380,281.628400092242,0.741127368663796
AN19,mfcc39,oof_fold,2.0,M_null,333,333,205.826487013032,0.618097558597693
AN19,mfcc39,oof_fold,2.0,M_predictor,333,333,194.753427628164,0.584845128012504
AN19,strf24_legacy,oof_all,,M_null,950,950,646.84607119241,0.680890601255169
AN19,strf24_legacy,oof_all,,M_predictor,950,950,620.735095364736,0.653405363541828
AN19,strf24_legacy,oof_fold,0.0,M_null,237,237,164.543764267148,0.694277486359274
AN19,strf24_legacy,oof_fold,0.0,M_predictor,237,237,159.767091289267,0.674122748055981
AN19,strf24_legacy,oof_fold,1.0,M_null,380,380,276.475819912231,0.727567947137449
AN19,strf24_legacy,oof_fold,1.0,M_predictor,380,380,274.308139420129,0.721863524789814
AN19,strf24_legacy,oof_fold,2.0,M_null,333,333,205.826487013032,0.618097558597693
AN19,strf24_legacy,oof_fold,2.0,M_predictor,333,333,186.65986465534,0.560540134100119
