dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
B23,cnn_2,oof_all,,M_condition,10080,54096,30858.2364315472,0.570434716643507
B23,cnn_2,oof_all,,M_joint,10080,54096,30857.359794623,0.570418511435651
B23,cnn_2,oof_all,,M_null,10080,54096,30797.8229281575,0.569317933454553
B23,cnn_2,oof_all,,M_predictor,10080,54096,30797.1433430477,0.569305370878581
B23,cnn_2,oof_fold,0.0,M_condition,3360,18032,10485.0893032694,0.581471234653363
B23,cnn_2,oof_fold,0.0,M_joint,3360,18032,10485.7724265616,0.581509118598139
B23,cnn_2,oof_fold,0.0,M_null,3360,18032,10415.8616453028,0.577632078821142
B23,cnn_2,oof_fold,0.0,M_predictor,3360,18032,10416.1329968797,0.577647127156148
B23,cnn_2,oof_fold,1.0,M_condition,3360,18032,10174.6495140457,0.564255186005199
B23,cnn_2,oof_fold,1.0,M_joint,3360,18032,10173.792214618,0.564207642780503
B23,cnn_2,oof_fold,1.0,M_null,3360,18032,10196.9353957479,0.565491093375548
B23,cnn_2,oof_fold,1.0,M_predictor,3360,18032,10196.4193540897,0.565462475271166
B23,cnn_2,oof_fold,2.0,M_condition,3360,18032,10198.497614232,0.565577729271961
B23,cnn_2,oof_fold,2.0,M_joint,3360,18032,10197.7951534433,0.565538772928311
B23,cnn_2,oof_fold,2.0,M_null,3360,18032,10185.0258871068,0.564830628166967
B23,cnn_2,oof_fold,2.0,M_predictor,3360,18032,10184.5909920784,0.56480651020843
B23,cnn_3,oof_all,,M_condition,10080,54096,30858.2364315472,0.570434716643507
B23,cnn_3,oof_all,,M_joint,10080,54096,30856.1192900303,0.570395579895561
B23,cnn_3,oof_all,,M_null,10080,54096,30797.8229281575,0.569317933454553
B23,cnn_3,oof_all,,M_predictor,10080,54096,30794.8007452724,0.569262066423994
B23,cnn_3,oof_fold,0.0,M_condition,3360,18032,10485.0893032694,0.581471234653363
B23,cnn_3,oof_fold,0.0,M_joint,3360,18032,10485.338642378,0.581485062243678
B23,cnn_3,oof_fold,0.0,M_null,3360,18032,10415.8616453028,0.577632078821142
B23,cnn_3,oof_fold,0.0,M_predictor,3360,18032,10414.843095733,0.577575593152895
B23,cnn_3,oof_fold,1.0,M_condition,3360,18032,10174.6495140457,0.564255186005199
B23,cnn_3,oof_fold,1.0,M_joint,3360,18032,10173.5431787296,0.564193832005857
B23,cnn_3,oof_fold,1.0,M_null,3360,18032,10196.9353957479,0.565491093375548
B23,cnn_3,oof_fold,1.0,M_predictor,3360,18032,10195.9902835054,0.565438680318623
B23,cnn_3,oof_fold,2.0,M_condition,3360,18032,10198.497614232,0.565577729271961
B23,cnn_3,oof_fold,2.0,M_joint,3360,18032,10197.2374689226,0.565507845437147
B23,cnn_3,oof_fold,2.0,M_null,3360,18032,10185.0258871068,0.564830628166967
B23,cnn_3,oof_fold,2.0,M_predictor,3360,18032,10183.967366034,0.564771925800465
B23,cnn_4,oof_all,,M_condition,10080,54096,30858.2364315472,0.570434716643507
B23,cnn_4,oof_all,,M_joint,10080,54096,30851.7357989745,0.570314548191632
B23,cnn_4,oof_all,,M_null,10080,54096,30797.8229281575,0.569317933454553
B23,cnn_4,oof_all,,M_predictor,10080,54096,30790.2366045738,0.569177695293068
B23,cnn_4,oof_fold,0.0,M_condition,3360,18032,10485.0893032694,0.581471234653363
B23,cnn_4,oof_fold,0.0,M_joint,3360,18032,10482.2546051986,0.581314030900541
B23,cnn_4,oof_fold,0.0,M_null,3360,18032,10415.8616453028,0.577632078821142
B23,cnn_4,oof_fold,0.0,M_predictor,3360,18032,10411.6473412407,0.577398366306602
B23,cnn_4,oof_fold,1.0,M_condition,3360,18032,10174.6495140457,0.564255186005199
B23,cnn_4,oof_fold,1.0,M_joint,3360,18032,10173.0123159061,0.564164391964622
B23,cnn_4,oof_fold,1.0,M_null,3360,18032,10196.9353957479,0.565491093375548
B23,cnn_4,oof_fold,1.0,M_predictor,3360,18032,10195.4348323124,0.565407876681032
B23,cnn_4,oof_fold,2.0,M_condition,3360,18032,10198.497614232,0.565577729271961
B23,cnn_4,oof_fold,2.0,M_joint,3360,18032,10196.4688778699,0.565465221709731
B23,cnn_4,oof_fold,2.0,M_null,3360,18032,10185.0258871068,0.564830628166967
B23,cnn_4,oof_fold,2.0,M_predictor,3360,18032,10183.1544310208,0.564726842891571
B23,cnn_5,oof_all,,M_condition,10080,54096,30858.2364315472,0.570434716643507
B23,cnn_5,oof_all,,M_joint,10080,54096,30849.090560494,0.57026564922534
B23,cnn_5,oof_all,,M_null,10080,54096,30797.8229281575,0.569317933454553
B23,cnn_5,oof_all,,M_predictor,10080,54096,30788.0573658692,0.569137410637925
B23,cnn_5,oof_fold,0.0,M_condition,3360,18032,10485.0893032694,0.581471234653363
B23,cnn_5,oof_fold,0.0,M_joint,3360,18032,10480.8002304142,0.581233375688452
B23,cnn_5,oof_fold,0.0,M_null,3360,18032,10415.8616453028,0.577632078821142
B23,cnn_5,oof_fold,0.0,M_predictor,3360,18032,10410.5835185869,0.577339369930508
B23,cnn_5,oof_fold,1.0,M_condition,3360,18032,10174.6495140457,0.564255186005199
B23,cnn_5,oof_fold,1.0,M_joint,3360,18032,10172.0127724582,0.564108960318223
B23,cnn_5,oof_fold,1.0,M_null,3360,18032,10196.9353957479,0.565491093375548
B23,cnn_5,oof_fold,1.0,M_predictor,3360,18032,10194.5123211463,0.565356717011218
B23,cnn_5,oof_fold,2.0,M_condition,3360,18032,10198.497614232,0.565577729271961
B23,cnn_5,oof_fold,2.0,M_joint,3360,18032,10196.2775576216,0.565454611669345
B23,cnn_5,oof_fold,2.0,M_null,3360,18032,10185.0258871068,0.564830628166967
B23,cnn_5,oof_fold,2.0,M_predictor,3360,18032,10182.961526136,0.564716144972048
B23,cnn_6,oof_all,,M_condition,10080,54096,30858.2364315472,0.570434716643507
B23,cnn_6,oof_all,,M_joint,10080,54096,30850.5341067311,0.570292334123246
B23,cnn_6,oof_all,,M_null,10080,54096,30797.8229281575,0.569317933454553
B23,cnn_6,oof_all,,M_predictor,10080,54096,30789.1860272251,0.569158274682511
B23,cnn_6,oof_fold,0.0,M_condition,3360,18032,10485.0893032694,0.581471234653363
B23,cnn_6,oof_fold,0.0,M_joint,3360,18032,10482.6358637711,0.581335174344003
B23,cnn_6,oof_fold,0.0,M_null,3360,18032,10415.8616453028,0.577632078821142
B23,cnn_6,oof_fold,0.0,M_predictor,3360,18032,10412.1595009833,0.577426769131724
B23,cnn_6,oof_fold,1.0,M_condition,3360,18032,10174.6495140457,0.564255186005199
B23,cnn_6,oof_fold,1.0,M_joint,3360,18032,10172.050870057,0.564111073095444
B23,cnn_6,oof_fold,1.0,M_null,3360,18032,10196.9353957479,0.565491093375548
B23,cnn_6,oof_fold,1.0,M_predictor,3360,18032,10194.5227792554,0.565357296986213
B23,cnn_6,oof_fold,2.0,M_condition,3360,18032,10198.497614232,0.565577729271961
B23,cnn_6,oof_fold,2.0,M_joint,3360,18032,10195.847372903,0.565430754930292
B23,cnn_6,oof_fold,2.0,M_null,3360,18032,10185.0258871068,0.564830628166967
B23,cnn_6,oof_fold,2.0,M_predictor,3360,18032,10182.5037469864,0.564690757929594
B23,tr_0,oof_all,,M_condition,10080,54096,30858.2364315472,0.570434716643507
B23,tr_0,oof_all,,M_joint,10080,54096,30850.168539847,0.570285576379898
B23,tr_0,oof_all,,M_null,10080,54096,30797.8229281575,0.569317933454553
B23,tr_0,oof_all,,M_predictor,10080,54096,30788.5393149791,0.569146319782962
