dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
B23,cnn_2::overall,oof_all,,M_condition,10080,54096,30858.2364315472,0.570434716643507
B23,cnn_2::overall,oof_all,,M_joint,10080,54096,30863.5601851684,0.570533129716956
B23,cnn_2::overall,oof_all,,M_null,10080,54096,30797.8229281575,0.569317933454553
B23,cnn_2::overall,oof_all,,M_predictor,10080,54096,30775.910413073,0.568912866257635
B23,cnn_2::overall,oof_fold,0.0,M_condition,3360,18032,10485.0893032694,0.581471234653363
B23,cnn_2::overall,oof_fold,0.0,M_joint,3360,18032,10485.0893032694,0.581471234653363
B23,cnn_2::overall,oof_fold,0.0,M_null,3360,18032,10415.8616453028,0.577632078821142
B23,cnn_2::overall,oof_fold,0.0,M_predictor,3360,18032,10393.5993085929,0.576397477184608
B23,cnn_2::overall,oof_fold,1.0,M_condition,3360,18032,10174.6495140457,0.564255186005199
B23,cnn_2::overall,oof_fold,1.0,M_joint,3360,18032,10182.2252712359,0.564675314509533
B23,cnn_2::overall,oof_fold,1.0,M_null,3360,18032,10196.9353957479,0.565491093375548
B23,cnn_2::overall,oof_fold,1.0,M_predictor,3360,18032,10199.0668337591,0.565609296459579
B23,cnn_2::overall,oof_fold,2.0,M_condition,3360,18032,10198.497614232,0.565577729271961
B23,cnn_2::overall,oof_fold,2.0,M_joint,3360,18032,10196.2456106631,0.565452839987972
B23,cnn_2::overall,oof_fold,2.0,M_null,3360,18032,10185.0258871068,0.564830628166967
B23,cnn_2::overall,oof_fold,2.0,M_predictor,3360,18032,10183.244270721,0.564731825128717
B23,cnn_3::overall,oof_all,,M_condition,10080,54096,30858.2364315472,0.570434716643507
B23,cnn_3::overall,oof_all,,M_joint,10080,54096,30863.5622052656,0.570533167059776
B23,cnn_3::overall,oof_all,,M_null,10080,54096,30797.8229281575,0.569317933454553
B23,cnn_3::overall,oof_all,,M_predictor,10080,54096,30857.7141838607,0.570425062552883
B23,cnn_3::overall,oof_fold,0.0,M_condition,3360,18032,10485.0893032694,0.581471234653363
B23,cnn_3::overall,oof_fold,0.0,M_joint,3360,18032,10485.0893032694,0.581471234653363
