dataset,fold,scope,requested_rows,paired_rows,paired_word_responses,missing_rows,old_mean_loss_on_common,new_mean_loss_on_common,new_minus_old,max_probability_difference
AN19,0.0,fold,2592,2592,2592,0,0.34063470900933274,0.37943973327486513,0.03880502426553241,0.4821428571428572
AN19,1.0,fold,2544,2544,2544,0,0.35851675255765936,0.3866986341378437,0.028181881580184417,0.4553571428571429
AN19,2.0,fold,2544,2544,2544,0,0.3568489196409986,0.38388854668316885,0.027039627042170295,0.4017857142857143
AN19,,all,7680,7680,7680,0,0.3519290932064552,0.38331791362722734,0.031388820420772186,0.4821428571428572
X21,0.0,fold,5508,5508,5508,0,0.3253478741152994,0.3544818843440004,0.029134010228700977,0.44999999999999996
X21,1.0,fold,5503,5503,5503,0,0.3628687548344775,0.39293504508477795,0.03006629025030053,0.6541666666666667
X21,2.0,fold,5466,5466,5466,0,0.3677973075312387,0.3909677279155651,0.023170420384326415,0.52
X21,,all,16477,16477,16477,0,0.3519610931265977,0.3794281345423782,0.027467041415780602,0.6541666666666667
B23,0.0,fold,3900,3900,20930,0,0.521916376222489,0.521916376222489,-1.1873697332462369e-18,1.1102230246251565e-16
B23,1.0,fold,3900,3900,20930,0,0.4974555814617473,0.4974555814617472,-3.3293761122784682e-18,1.1102230246251565e-16
B23,2.0,fold,3900,3900,20930,0,0.4891172979919514,0.4891172979919514,-2.2018472939703705e-18,1.1102230246251565e-16
B23,,all,11700,11700,62790,0,0.5028297518920625,0.5028297518920625,-2.2395310464983585e-18,1.1102230246251565e-16
