iso6393,inventory_id,english_inventory_id,n_segments,intersection,union,jaccard
als,169,160,35,20,55,0.36363636363636365
als,169,2175,35,19,55,0.34545454545454546
als,169,2176,35,20,54,0.37037037037037035
als,169,2177,35,19,60,0.31666666666666665
als,169,2178,35,20,55,0.36363636363636365
als,169,2179,35,20,60,0.3333333333333333
als,169,2180,35,21,53,0.39622641509433965
als,169,2252,35,19,60,0.31666666666666665
als,169,2515,35,24,51,0.47058823529411764
als,215,160,35,17,58,0.29310344827586204
als,215,2175,35,16,58,0.27586206896551724
als,215,2176,35,17,57,0.2982456140350877
als,215,2177,35,16,63,0.25396825396825395
als,215,2178,35,17,58,0.29310344827586204
als,215,2179,35,16,64,0.25
als,215,2180,35,18,56,0.32142857142857145
als,215,2252,35,16,63,0.25396825396825395
als,215,2515,35,19,56,0.3392857142857143
als,2592,160,38,18,60,0.3
als,2592,2175,38,18,59,0.3050847457627119
als,2592,2176,38,19,58,0.3275862068965517
als,2592,2177,38,19,63,0.30158730158730157
als,2592,2178,38,18,60,0.3
als,2592,2179,38,20,63,0.31746031746031744
als,2592,2180,38,19,58,0.3275862068965517
als,2592,2252,38,19,63,0.30158730158730157
als,2592,2515,38,22,56,0.39285714285714285
ben,177,160,53,21,72,0.2916666666666667
ben,177,2175,53,19,73,0.2602739726027397
ben,177,2176,53,20,72,0.2777777777777778
ben,177,2177,53,21,76,0.27631578947368424
ben,177,2178,53,19,74,0.25675675675675674
ben,177,2179,53,15,83,0.18072289156626506
ben,177,2180,53,19,73,0.2602739726027397
ben,177,2252,53,19,78,0.24358974358974358
ben,177,2515,53,19,74,0.25675675675675674
ben,250,160,43,16,67,0.23880597014925373
ben,250,2175,43,14,68,0.20588235294117646
ben,250,2176,43,15,67,0.22388059701492538
ben,250,2177,43,16,71,0.22535211267605634
ben,250,2178,43,14,69,0.2028985507246377
ben,250,2179,43,11,77,0.14285714285714285
ben,250,2180,43,14,68,0.20588235294117646
ben,250,2252,43,14,73,0.1917808219178082
ben,250,2515,43,14,69,0.2028985507246377
ben,1711,160,48,14,74,0.1891891891891892
ben,1711,2175,48,13,74,0.17567567567567569
ben,1711,2176,48,16,71,0.22535211267605634
ben,1711,2177,48,16,76,0.21052631578947367
ben,1711,2178,48,13,75,0.17333333333333334
ben,1711,2179,48,13,80,0.1625
ben,1711,2180,48,13,74,0.17567567567567569
ben,1711,2252,48,14,78,0.1794871794871795
ben,1711,2515,48,14,74,0.1891891891891892
ben,2162,160,72,14,98,0.14285714285714285
ben,2162,2175,72,15,96,0.15625
ben,2162,2176,72,19,92,0.20652173913043478
ben,2162,2177,72,17,99,0.1717171717171717
ben,2162,2178,72,16,96,0.16666666666666666
ben,2162,2179,72,16,101,0.15841584158415842
ben,2162,2180,72,16,95,0.16842105263157894
ben,2162,2252,72,15,101,0.1485148514851485
ben,2162,2515,72,16,96,0.16666666666666666
ben,2624,160,47,18,69,0.2608695652173913
ben,2624,2175,47,17,69,0.2463768115942029
ben,2624,2176,47,20,66,0.30303030303030304
ben,2624,2177,47,18,73,0.2465753424657534
ben,2624,2178,47,15,72,0.20833333333333334
ben,2624,2179,47,14,78,0.1794871794871795
ben,2624,2180,47,15,71,0.2112676056338028
ben,2624,2252,47,16,75,0.21333333333333335
ben,2624,2515,47,16,71,0.22535211267605634
cmn,16,160,39,11,68,0.16176470588235295
cmn,16,2175,39,11,67,0.16417910447761194
cmn,16,2176,39,13,65,0.2
cmn,16,2177,39,12,71,0.16901408450704225
cmn,16,2178,39,12,67,0.1791044776119403
cmn,16,2179,39,11,73,0.1506849315068493
cmn,16,2180,39,12,66,0.18181818181818182
cmn,16,2252,39,11,72,0.1527777777777778
cmn,16,2515,39,12,67,0.1791044776119403
cmn,286,160,32,8,64,0.125
cmn,286,2175,32,8,63,0.12698412698412698
cmn,286,2176,32,10,61,0.16393442622950818
cmn,286,2177,32,9,67,0.13432835820895522
cmn,286,2178,32,9,63,0.14285714285714285
cmn,286,2179,32,8,69,0.11594202898550725
cmn,286,2180,32,9,62,0.14516129032258066
cmn,286,2252,32,8,68,0.11764705882352941
cmn,286,2515,32,9,63,0.14285714285714285
cmn,1047,160,45,14,71,0.19718309859154928
cmn,1047,2175,45,14,70,0.2
cmn,1047,2176,45,16,68,0.23529411764705882
cmn,1047,2177,45,14,75,0.18666666666666668
cmn,1047,2178,45,15,70,0.21428571428571427
