dataset,accent,bin,mean_similarity,accuracy,ci_low,ci_high,n_trials
AN19,KOR,0,0.22642372814387868,0.37755102040816324,0.31,0.44,98
AN19,KOR,1,0.2629716149325608,0.2755102040816326,0.16304347826086957,0.37254901960784315,98
AN19,KOR,2,0.29873788828205083,0.7191011235955056,0.632183908045977,0.8,89
AN19,KOR,3,0.3343372079778125,0.7252747252747253,0.6559139784946236,0.7954545454545454,91
AN19,KOR,4,0.36973202975098424,0.51,0.42,0.61,100
AN19,KOR,5,0.39458552741679037,0.8202247191011236,0.7554868913857677,0.8901098901098901,89
AN19,KOR,6,0.43038572307239276,0.75,0.7,0.8,100
AN19,KOR,7,0.46688754382757314,0.7741935483870968,0.6988995295698925,0.8444642857142857,93
AN19,KOR,8,0.501845782376784,0.7472527472527473,0.6739130434782609,0.8295454545454546,91
AN19,KOR,9,0.5803714889283146,0.9340659340659341,0.8736506159014559,0.978021978021978,91
AN19,SPA,0,0.16677794770594306,0.04,0.010416666666666666,0.07146103896103893,100
AN19,SPA,1,0.2295539138463367,0.28888888888888886,0.1839080459770115,0.39372283230382055,90
AN19,SPA,2,0.27084134123482057,0.37,0.31,0.43,100
AN19,SPA,3,0.3020691111580293,0.36666666666666664,0.30952380952380953,0.41935483870967744,90
AN19,SPA,4,0.33540915084384537,0.5555555555555556,0.45555555555555555,0.6551819923371647,90
AN19,SPA,5,0.3678038809609494,0.58,0.47560975609756095,0.6525594587206124,100
AN19,SPA,6,0.4135714953968481,0.3333333333333333,0.2235294117647059,0.43617021276595747,90
AN19,SPA,7,0.46181676622905243,0.62,0.5520833333333334,0.6800454545454545,100
AN19,SPA,8,0.5043652933183885,0.6111111111111112,0.5528816920026438,0.6741638359027959,90
AN19,SPA,9,0.5894282497467578,0.9,0.8229166666666666,0.9677671370967742,90
X21,CMN,0,0.09678829721975926,0.6928571428571428,0.6425158359293873,0.7411203010187781,420
X21,CMN,1,0.168461690713237,0.7024390243902439,0.6570647189207781,0.7506075174351131,410
X21,CMN,2,0.2294351362009464,0.7414634146341463,0.6880684296619411,0.7982151498532115,410
X21,CMN,3,0.3000726438764841,0.748780487804878,0.6992944851357173,0.7937142371370949,410
X21,CMN,4,0.34614916135243234,0.7585365853658537,0.7077267209987862,0.8108125612659292,410
X21,CMN,5,0.4031198368956598,0.8365853658536585,0.7932545731707317,0.8775534213685474,410
X21,CMN,6,0.46305281495354167,0.8902147971360382,0.852450357885015,0.9234477903125362,419
X21,CMN,7,0.516712143808579,0.8170731707317073,0.7744319840864297,0.8575406747429215,410
X21,CMN,8,0.582246345034429,0.8170731707317073,0.7681208931129351,0.8662129557003034,410
X21,CMN,9,0.6781082981273501,0.8578431372549019,0.8126463700234192,0.9013378787878787,408
