dataset_id,source,layer,mean_percent,ci_low,ci_high
AN19,base,cnn_2,24.397333844290973,20.601370621985325,27.493451654084282
AN19,base,cnn_3,19.09743274242838,15.703573322952884,21.794997589238324
AN19,base,cnn_4,12.567162990270711,11.834632869900046,13.24678912959929
AN19,base,cnn_5,2.6451684218798186,1.4005639721958987,4.17930844630479
AN19,base,cnn_6,3.9325273790065807,1.6267447663829686,6.578611668593274
AN19,base,tr_0,9.410709574554994,5.646640007450518,12.382072100529475
AN19,base,tr_10,60.583098573061044,57.5529833578521,62.97395408397966
AN19,base,tr_12,61.781053788099605,59.89931827447571,63.28350310536405
AN19,base,tr_14,56.940594264680406,55.03928362100042,58.66554180183268
AN19,base,tr_16,50.971939665585296,48.70579672328398,53.25324682323816
AN19,base,tr_18,44.758971318023555,41.289990580815584,47.922035071574
AN19,base,tr_2,0.22564030343096256,-2.5322618123457086,2.9961926259104392
AN19,base,tr_20,51.720781255930575,49.18756955567148,54.14399806383903
AN19,base,tr_22,54.358351159892415,53.44829737259952,55.18195212424229
AN19,base,tr_24,48.8518866227137,46.58608042971856,50.694975923377804
AN19,base,tr_4,1.4471596986904711,-0.043476654241074594,3.2642668496578437
AN19,base,tr_6,23.337036533620076,20.256712477665516,25.680553796090855
AN19,base,tr_8,42.5766360866393,37.70736479730883,46.20003622228254
AN19,ft,cnn_2,24.397333844290973,20.601370621985325,27.493451654084282
AN19,ft,cnn_3,19.09743274242838,15.703573322952884,21.794997589238324
AN19,ft,cnn_4,12.567162990270711,11.834632869900046,13.24678912959929
AN19,ft,cnn_5,2.6451684218798186,1.4005639721958987,4.17930844630479
AN19,ft,cnn_6,3.9325273790065807,1.6267447663829686,6.578611668593274
AN19,ft,tr_0,3.3645760818652914,1.3440922650499272,5.123203331274779
AN19,ft,tr_10,41.08483216956237,37.15127427764379,44.012062707281366
AN19,ft,tr_12,40.47003483227866,36.67120676043585,43.975629337403134
AN19,ft,tr_14,41.35717233833577,37.86282121444087,45.06473366300505
AN19,ft,tr_16,46.07437340310438,42.51182533905607,49.94830680440415
AN19,ft,tr_18,40.81397544218236,39.424557502216594,42.596046667705984
AN19,ft,tr_2,4.152644078312129,1.5177375873970396,6.755702391236088
AN19,ft,tr_20,47.20242824778239,44.43556263058011,50.13917549705862
AN19,ft,tr_22,35.45503661614623,34.26500755719365,36.42476964912738
AN19,ft,tr_24,40.74075879295901,39.59727042326569,42.26882984754682
AN19,ft,tr_4,4.653894050033238,1.5579286570723645,7.951345187890833
AN19,ft,tr_6,32.11030975559758,29.693974992364073,34.64922098017154
AN19,ft,tr_8,38.3922915202993,34.72239216494289,41.4348312682496
AN19,mfcc39,mfcc39,52.890115116507594,51.09967623010496,55.21306297797524
AN19,strf24_legacy,strf24_legacy,62.91675630520709,59.75141072129259,66.72423381186823
X21,base,cnn_2,29.843357136082933,22.659416566866874,35.36005610770311
X21,base,cnn_3,28.085597560636767,21.238077836974213,33.5773112802848
X21,base,cnn_4,27.04874977270906,19.982303901890422,32.73246790364474
X21,base,cnn_5,26.222323603481357,18.25767569003769,32.27828461844991
X21,base,cnn_6,26.657118929275864,18.76210525046127,33.09201193689442
X21,base,tr_0,28.443608766803493,20.21623894573668,35.262610168178504
X21,base,tr_10,31.718208739219545,25.63123283778342,36.241754847846316
X21,base,tr_12,32.32092193579167,25.236800775907668,37.822753281914196
X21,base,tr_14,35.182355371333976,28.807358003767757,39.976730953931884
X21,base,tr_16,32.65725652879173,24.215443664553646,39.13234136611397
X21,base,tr_18,33.43114839839361,26.53324254096907,38.60494079259799
X21,base,tr_2,31.991917439942068,24.158796092193686,38.592353827040036
X21,base,tr_20,36.6414868435679,31.39508203987888,40.70360296085378
X21,base,tr_22,37.14779616667733,31.458375178502894,41.98044874185699
X21,base,tr_24,35.70706040251395,27.663297309639685,43.003368809712306
X21,base,tr_4,31.766946179670555,24.240740425222146,37.61004567566697
X21,base,tr_6,31.204509443855983,24.473060864732446,36.58074713202037
