canonical_phone,language,branch,mean_similarity,ci_low,ci_high,n_talkers,n_instances
aa,Albanian,Albanian,0.000543902018041673,,,1,6
aa,Bengali,Indo-Aryan,3.191623329411894e-05,,,1,6
aa,Dutch,Germanic,0.0001436254531225757,,,1,6
aa,French,Romance,5.1763178986690336e-05,,,1,5
aa,German,Germanic,0.00040845919053122216,,,1,7
aa,Hindi,Indo-Aryan,1.2075233658446424e-05,,,1,7
aa,Japanese,Japonic,6.165160744895595e-05,,,1,5
aa,Korean,Koreanic,0.00260447776285703,0.0005602944070095786,0.006007285034362394,12,67
aa,Mandarin,Sino-Tibetan,6.693998865994417e-05,,,1,6
aa,Romanian,Romance,0.00019477003935033585,,,1,5
aa,Russian,Slavic,0.0008068026194943245,,,1,6
aa,Somali,Afro-Asiatic,0.007252095950297967,,,1,5
aa,Spanish,Romance,0.0007424884636957186,9.069501839401549e-05,0.00169447307532781,12,73
aa,Turkish,Turkic,3.821838643851185e-06,,,1,4
ae,Albanian,Albanian,0.002302073832799553,,,1,5
ae,Bengali,Indo-Aryan,7.846748472668271e-07,,,1,4
ae,Dutch,Germanic,0.00040240242488973294,,,1,5
ae,French,Romance,5.884233814379471e-06,,,1,3
ae,German,Germanic,0.00040891467135539995,,,1,3
ae,Hindi,Indo-Aryan,0.00281971762349718,,,1,4
ae,Japanese,Japonic,7.667826949300876e-05,,,1,5
ae,Korean,Koreanic,0.00038996530568809873,7.907433890571416e-05,0.0008057995801108452,12,55
ae,Mandarin,Sino-Tibetan,0.013077041415689387,,,1,4
ae,Romanian,Romance,0.003423078554838871,,,1,5
ae,Russian,Slavic,2.6270894072503188e-05,,,1,4
ae,Somali,Afro-Asiatic,0.01757070518088405,,,1,2
ae,Spanish,Romance,0.0012832351329550812,5.507415552203194e-05,0.0036069941272271807,12,53
ae,Turkish,Turkic,0.0005655755230797613,,,1,3
ah,Albanian,Albanian,1.9760134401616028e-07,,,1,3
ah,Bengali,Indo-Aryan,3.93644808280085e-10,,,1,3
ah,Dutch,Germanic,3.096610267584029e-05,,,1,3
ah,French,Romance,1.0658577224449712e-07,,,1,3
ah,German,Germanic,1.689365027547034e-05,,,1,2
ah,Hindi,Indo-Aryan,3.7044678415972785e-06,,,1,2
ah,Japanese,Japonic,5.602600425458853e-08,,,1,3
ah,Korean,Koreanic,0.00017996845254502939,2.7176739473361775e-06,0.0005049427961518421,12,33
ah,Mandarin,Sino-Tibetan,0.008312731550315679,,,1,3
ah,Romanian,Romance,7.333505400655206e-15,,,1,3
ah,Russian,Slavic,1.233049063794568e-06,,,1,3
ah,Somali,Afro-Asiatic,4.480833911007759e-24,,,1,1
ah,Spanish,Romance,0.00010964511025154541,5.5461306104278906e-06,0.00025950975048987207,12,31
ah,Turkish,Turkic,8.16486329488639e-07,,,1,2
ao,Albanian,Albanian,8.02935972383707e-06,,,1,1
ao,Bengali,Indo-Aryan,4.744332064045161e-05,,,1,2
ao,Dutch,Germanic,7.887956340018886e-07,,,1,1
ao,French,Romance,3.087006610430711e-07,,,1,1
ao,German,Germanic,9.636227390315648e-06,,,1,2
ao,Hindi,Indo-Aryan,0.0092685363194074,,,1,1
ao,Japanese,Japonic,5.831410834371564e-06,,,1,2
ao,Korean,Koreanic,0.0011021437586502816,1.0073457584583512e-05,0.0027804709071524653,11,35
ao,Mandarin,Sino-Tibetan,7.643929468568398e-07,,,1,2
ao,Romanian,Romance,9.854320091528186e-11,,,1,2
ao,Russian,Slavic,1.994409422582023e-06,,,1,2
ao,Somali,Afro-Asiatic,4.879812169757945e-11,,,1,2
ao,Spanish,Romance,8.355378668323423e-07,6.168849315984837e-08,2.266232171276936e-06,12,37
ao,Turkish,Turkic,6.6053707323519215e-06,,,1,1
ay,Albanian,Albanian,0.006057453883694543,,,1,6
ay,Bengali,Indo-Aryan,0.005667382117996836,,,1,6
ay,Dutch,Germanic,0.006401280250529376,,,1,6
ay,French,Romance,0.010421259489834321,,,1,6
ay,German,Germanic,0.0014666071473466308,,,1,6
ay,Hindi,Indo-Aryan,0.002407758396042823,,,1,6
ay,Japanese,Japonic,0.01026544671621963,,,1,6
ay,Korean,Koreanic,0.0014237302437316078,0.0005077955172002548,0.0025570187922538783,12,67
ay,Mandarin,Sino-Tibetan,0.00047230999114949843,,,1,6
ay,Romanian,Romance,0.0017474768024131936,,,1,6
ay,Russian,Slavic,0.007386469555628752,,,1,6
ay,Somali,Afro-Asiatic,0.002792301506953027,,,1,6
ay,Spanish,Romance,0.0002669757101407726,8.699937736313877e-05,0.00049520679819474,12,68
ay,Turkish,Turkic,0.0020567563527043443,,,1,6
b,Albanian,Albanian,0.0317860807369993,,,1,5
b,Bengali,Indo-Aryan,0.015804663019546594,,,1,4
b,Dutch,Germanic,8.436776829761788e-06,,,1,4
b,French,Romance,1.309552672190911e-08,,,1,5
b,German,Germanic,0.022881855799699865,,,1,4
b,Hindi,Indo-Aryan,3.381850714074627e-05,,,1,5
b,Japanese,Japonic,7.94386058968461e-06,,,1,5
b,Korean,Koreanic,0.002074049006092193,0.0006051092360984079,0.003796345430440947,12,50
b,Mandarin,Sino-Tibetan,0.0028679525261284633,,,1,5
b,Romanian,Romance,2.9700428408716087e-06,,,1,5
b,Russian,Slavic,5.024063266163103e-07,,,1,4
b,Somali,Afro-Asiatic,0.02621880152359752,,,1,5
b,Spanish,Romance,0.001212076499495055,9.305002389342005e-05,0.0031342101251822284,12,54
b,Turkish,Turkic,0.010232109558785096,,,1,5
ch,Albanian,Albanian,1.9701311519441383e-05,,,1,3
ch,Bengali,Indo-Aryan,0.00532522520261941,,,1,4
ch,Dutch,Germanic,4.38826923106738e-06,,,1,3
ch,French,Romance,0.011299117353531346,,,1,4
ch,German,Germanic,0.0031039943116293253,,,1,3
