canonical_phone,speaker_id,language,branch,mean_similarity,n_instances
aa,AN19.KOR.kf1,Korean,Koreanic,0.0011170793337805828,5
aa,AN19.KOR.kf2,Korean,Koreanic,6.282955152041814e-07,4
aa,AN19.KOR.kf3,Korean,Koreanic,0.004763135343103895,6
aa,AN19.KOR.kf4,Korean,Koreanic,0.0021884006409700293,6
aa,AN19.KOR.kf5,Korean,Koreanic,0.019136472352992467,5
aa,AN19.KOR.kf6,Korean,Koreanic,0.0004329432919526958,7
aa,AN19.KOR.km1,Korean,Koreanic,5.336269796552329e-06,6
aa,AN19.KOR.km2,Korean,Koreanic,0.00234609839288113,5
aa,AN19.KOR.km3,Korean,Koreanic,9.532235746816457e-05,6
aa,AN19.KOR.km6,Korean,Koreanic,0.0003163213750852089,5
aa,AN19.KOR.km7,Korean,Koreanic,1.8990448106260573e-05,5
aa,AN19.KOR.km8,Korean,Koreanic,0.0008330050526321724,7
aa,AN19.MIX.if1,Albanian,Albanian,0.000543902018041673,6
aa,AN19.MIX.if2,Dutch,Germanic,0.0001436254531225757,6
aa,AN19.MIX.if3,French,Romance,5.1763178986690336e-05,5
aa,AN19.MIX.if4,German,Germanic,0.00040845919053122216,7
aa,AN19.MIX.if5,Japanese,Japonic,6.165160744895595e-05,5
aa,AN19.MIX.if6,Somali,Afro-Asiatic,0.007252095950297967,5
aa,AN19.MIX.im1,Romanian,Romance,0.00019477003935033585,5
aa,AN19.MIX.im2,Bengali,Indo-Aryan,3.191623329411894e-05,6
aa,AN19.MIX.im3,Russian,Slavic,0.0008068026194943245,6
aa,AN19.MIX.im4,Mandarin,Sino-Tibetan,6.693998865994417e-05,6
aa,AN19.MIX.im5,Turkish,Turkic,3.821838643851185e-06,4
aa,AN19.MIX.im6,Hindi,Indo-Aryan,1.2075233658446424e-05,7
aa,AN19.SPA.sf1,Spanish,Romance,1.9500272727175734e-07,5
aa,AN19.SPA.sf2,Spanish,Romance,0.00017703231625685047,6
aa,AN19.SPA.sf3,Spanish,Romance,9.0712913128043e-06,7
aa,AN19.SPA.sf4,Spanish,Romance,0.0006494296990582617,5
aa,AN19.SPA.sf5,Spanish,Romance,1.9326009685955645e-05,5
aa,AN19.SPA.sf6,Spanish,Romance,2.2883853299788204e-05,6
aa,AN19.SPA.sm2,Spanish,Romance,1.5941067172382765e-06,6
aa,AN19.SPA.sm3,Spanish,Romance,8.204420406205949e-05,6
aa,AN19.SPA.sm4,Spanish,Romance,0.0016396176307750057,7
aa,AN19.SPA.sm5,Spanish,Romance,0.005857427769592659,6
aa,AN19.SPA.sm6,Spanish,Romance,0.00014214889480153374,7
aa,AN19.SPA.sm7,Spanish,Romance,0.00030909078605919645,7
ae,AN19.KOR.kf1,Korean,Koreanic,7.881018866901005e-07,5
ae,AN19.KOR.kf2,Korean,Koreanic,9.75342759276994e-06,5
ae,AN19.KOR.kf3,Korean,Koreanic,0.0002631813336360014,5
ae,AN19.KOR.kf4,Korean,Koreanic,5.73354205940281e-05,5
ae,AN19.KOR.kf5,Korean,Koreanic,0.002212905815068917,4
ae,AN19.KOR.kf6,Korean,Koreanic,0.0005214374430850189,4
ae,AN19.KOR.km1,Korean,Koreanic,1.1339352177920948e-07,4
ae,AN19.KOR.km2,Korean,Koreanic,5.2179809158586776e-05,5
ae,AN19.KOR.km3,Korean,Koreanic,6.498057056833122e-05,5
ae,AN19.KOR.km6,Korean,Koreanic,0.00013021905980506343,4
ae,AN19.KOR.km7,Korean,Koreanic,0.0013249378489136273,5
ae,AN19.KOR.km8,Korean,Koreanic,4.175144442637223e-05,4
ae,AN19.MIX.if1,Albanian,Albanian,0.002302073832799553,5
ae,AN19.MIX.if2,Dutch,Germanic,0.00040240242488973294,5
ae,AN19.MIX.if3,French,Romance,5.884233814379471e-06,3
ae,AN19.MIX.if4,German,Germanic,0.00040891467135539995,3
ae,AN19.MIX.if5,Japanese,Japonic,7.667826949300876e-05,5
ae,AN19.MIX.if6,Somali,Afro-Asiatic,0.01757070518088405,2
ae,AN19.MIX.im1,Romanian,Romance,0.003423078554838871,5
ae,AN19.MIX.im2,Bengali,Indo-Aryan,7.846748472668271e-07,4
ae,AN19.MIX.im3,Russian,Slavic,2.6270894072503188e-05,4
ae,AN19.MIX.im4,Mandarin,Sino-Tibetan,0.013077041415689387,4
ae,AN19.MIX.im5,Turkish,Turkic,0.0005655755230797613,3
ae,AN19.MIX.im6,Hindi,Indo-Aryan,0.00281971762349718,4
ae,AN19.SPA.sf1,Spanish,Romance,9.945978155357939e-06,5
ae,AN19.SPA.sf2,Spanish,Romance,4.100828389023271e-06,4
ae,AN19.SPA.sf3,Spanish,Romance,0.0004182761509916469,4
ae,AN19.SPA.sf4,Spanish,Romance,4.685618902902257e-09,4
ae,AN19.SPA.sf5,Spanish,Romance,3.467086725406311e-05,5
ae,AN19.SPA.sf6,Spanish,Romance,2.7249955264581768e-05,4
ae,AN19.SPA.sm2,Spanish,Romance,0.0004959943015949585,5
ae,AN19.SPA.sm3,Spanish,Romance,6.047633659539534e-06,5
ae,AN19.SPA.sm4,Spanish,Romance,8.046279328314672e-05,4
ae,AN19.SPA.sm5,Spanish,Romance,0.0003931879002284862,4
ae,AN19.SPA.sm6,Spanish,Romance,0.013920098339251346,4
ae,AN19.SPA.sm7,Spanish,Romance,8.782161769920259e-06,5
ah,AN19.KOR.kf1,Korean,Koreanic,0.001803442469694777,3
ah,AN19.KOR.kf2,Korean,Koreanic,7.232425060563734e-06,2
ah,AN19.KOR.kf3,Korean,Koreanic,1.2254852755805172e-09,2
ah,AN19.KOR.kf4,Korean,Koreanic,5.488215127370731e-07,3
ah,AN19.KOR.kf5,Korean,Koreanic,1.369908524184984e-05,3
ah,AN19.KOR.kf6,Korean,Koreanic,9.194124721066146e-07,2
ah,AN19.KOR.km1,Korean,Koreanic,1.1816886532022927e-08,3
ah,AN19.KOR.km2,Korean,Koreanic,0.0003196694289822305,3
ah,AN19.KOR.km3,Korean,Koreanic,5.084302143111356e-06,3
ah,AN19.KOR.km6,Korean,Koreanic,5.309268571546176e-06,3
ah,AN19.KOR.km7,Korean,Koreanic,3.280773813951875e-10,3
ah,AN19.KOR.km8,Korean,Koreanic,3.7028464122411055e-06,3
ah,AN19.MIX.if1,Albanian,Albanian,1.9760134401616028e-07,3
ah,AN19.MIX.if2,Dutch,Germanic,3.096610267584029e-05,3
ah,AN19.MIX.if3,French,Romance,1.0658577224449712e-07,3
ah,AN19.MIX.if4,German,Germanic,1.689365027547034e-05,2
ah,AN19.MIX.if5,Japanese,Japonic,5.602600425458853e-08,3
ah,AN19.MIX.if6,Somali,Afro-Asiatic,4.480833911007759e-24,1
ah,AN19.MIX.im1,Romanian,Romance,7.333505400655206e-15,3
ah,AN19.MIX.im2,Bengali,Indo-Aryan,3.93644808280085e-10,3
ah,AN19.MIX.im3,Russian,Slavic,1.233049063794568e-06,3
ah,AN19.MIX.im4,Mandarin,Sino-Tibetan,0.008312731550315679,3
ah,AN19.MIX.im5,Turkish,Turkic,8.16486329488639e-07,2
ah,AN19.MIX.im6,Hindi,Indo-Aryan,3.7044678415972785e-06,2
ah,AN19.SPA.sf1,Spanish,Romance,1.012041400097667e-05,3
ah,AN19.SPA.sf2,Spanish,Romance,2.644478396231221e-06,3
ah,AN19.SPA.sf3,Spanish,Romance,0.00025315368763124333,2
ah,AN19.SPA.sf4,Spanish,Romance,3.8581907615196314e-13,2
ah,AN19.SPA.sf5,Spanish,Romance,3.631222720974641e-08,1
ah,AN19.SPA.sf6,Spanish,Romance,6.120744158235409e-13,2
ah,AN19.SPA.sm2,Spanish,Romance,5.345183562880823e-15,3
ah,AN19.SPA.sm3,Spanish,Romance,1.2290869306775284e-12,3
ah,AN19.SPA.sm4,Spanish,Romance,4.0944685821681337e-07,3
ah,AN19.SPA.sm5,Spanish,Romance,2.162936806293792e-05,3
