analysis_row_id,condition_id,dataset_id,distance,item_id,item_talker,layer,model_variant,participant_id,representation,response_correct,response_incorrect,condition_class,test_accent,listener_accuracy,model_similarity,similarity_k
AN19:AN19.1:001,AN19.Korean.test_Korean,AN19,15.404918906764092,AN19.KOR.km8.EW68,AN19.KOR.km8,tr_24,base,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.7209826491095177,0.021236087577095632
AN19:AN19.1:002,AN19.Korean.test_Korean,AN19,14.547588973380572,AN19.KOR.kf5.HW63,AN19.KOR.kf5,tr_24,base,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.7342293204550384,0.021236087577095632
AN19:AN19.1:003,AN19.Korean.test_Korean,AN19,20.218741919240493,AN19.KOR.km1.HW64,AN19.KOR.km1,tr_24,base,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.6509210141953612,0.021236087577095632
AN19:AN19.1:004,AN19.Korean.test_Korean,AN19,17.093188729763312,AN19.KOR.kf1.HW58,AN19.KOR.kf1,tr_24,base,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.6955916832230454,0.021236087577095632
AN19:AN19.1:005,AN19.Korean.test_Korean,AN19,10.604068891680829,AN19.KOR.km3.EW72,AN19.KOR.km3,tr_24,base,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.7983653648240219,0.021236087577095632
AN19:AN19.1:006,AN19.Korean.test_Korean,AN19,12.88552843740509,AN19.KOR.km3.EW67,AN19.KOR.km3,tr_24,base,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.7606072052847028,0.021236087577095632
AN19:AN19.1:007,AN19.Korean.test_Korean,AN19,18.39991077344836,AN19.KOR.km8.EW69,AN19.KOR.km8,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.6765546057494088,0.021236087577095632
AN19:AN19.1:008,AN19.Korean.test_Korean,AN19,19.61802074697552,AN19.KOR.km3.HW69,AN19.KOR.km3,tr_24,base,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.6592779838292194,0.021236087577095632
AN19:AN19.1:009,AN19.Korean.test_Korean,AN19,28.95773870930866,AN19.KOR.km8.EW75,AN19.KOR.km8,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.540668428004395,0.021236087577095632
AN19:AN19.1:010,AN19.Korean.test_Korean,AN19,19.24492026309517,AN19.KOR.kf3.HW53,AN19.KOR.kf3,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.6645223200709999,0.021236087577095632
AN19:AN19.1:011,AN19.Korean.test_Korean,AN19,23.23960670296829,AN19.KOR.kf5.HW61,AN19.KOR.kf5,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.6104747638129518,0.021236087577095632
AN19:AN19.1:012,AN19.Korean.test_Korean,AN19,18.44164912913136,AN19.KOR.kf3.HW62,AN19.KOR.kf3,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.6759552009141062,0.021236087577095632
AN19:AN19.1:013,AN19.Korean.test_Korean,AN19,20.886906251633807,AN19.KOR.kf1.EW56,AN19.KOR.kf1,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.6417501853737533,0.021236087577095632
AN19:AN19.1:014,AN19.Korean.test_Korean,AN19,16.01691806405196,AN19.KOR.kf1.EW53,AN19.KOR.kf1,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.7116730483982663,0.021236087577095632
AN19:AN19.1:015,AN19.Korean.test_Korean,AN19,19.26073695632639,AN19.KOR.km1.EW60,AN19.KOR.km1,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.6642991546834326,0.021236087577095632
AN19:AN19.1:016,AN19.Korean.test_Korean,AN19,13.027641959196728,AN19.KOR.kf1.HW54,AN19.KOR.kf1,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.7583152023283758,0.021236087577095632
AN19:AN19.1:017,AN19.Korean.test_Korean,AN19,14.631611790840338,AN19.KOR.km1.HW66,AN19.KOR.km1,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.7329203915155701,0.021236087577095632
AN19:AN19.1:018,AN19.Korean.test_Korean,AN19,17.795829509042296,AN19.KOR.km3.HW68,AN19.KOR.km3,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.6852895742192884,0.021236087577095632
AN19:AN19.1:019,AN19.Korean.test_Korean,AN19,14.535799154218212,AN19.KOR.kf3.HW59,AN19.KOR.kf3,tr_24,base,AN19.1,hubert_tsne_3d,0,1,Korean exposure,KOR,0,0.7344131721944738,0.021236087577095632
