analysis_row_id,dataset_id,model_variant,representation,layer,participant_id,item_id,item_talker,condition,distance,response_correct,response_incorrect,listener_accuracy,model_similarity,similarity_k,similarity_definition
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S001.Wboy,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S001.Wboy,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S001.Wfell,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S001.Wfell,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S001.Wwindow,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S001.Wwindow,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S002.Whelped,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S002.Whelped,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S002.Whusband,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S002.Whusband,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S002.Wwife,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S002.Wwife,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S003.Wbe,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S003.Wbe,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S003.Wbig,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S003.Wbig,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S003.Wdangerous,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S003.Wdangerous,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S003.Wdogs,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S003.Wdogs,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S004.Wdirty,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S004.Wdirty,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S004.Wshoes,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S004.Wshoes,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
X21:X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2:X21.CMN.CMN_M_043.HT1_S004.Wvery,X21,base,hubert_tsne_3d,tr_24,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,X21.CMN.CMN_M_043.HT1_S004.Wvery,X21.CMN.CMN_M_043,Talker-specific,0.0,1,0,1,1.0,0.3578443826400954,exp(-0.35784438264009538 * raw_distance)
