method,objective,seed,trial,evaluation,tau,k,score,best_score,valid,full_evaluation_cached,elapsed_seconds,evaluation_wall_seconds
grid,z,42,1,3,1.0,0.001,4.75598705527721,4.75598705527721,True,True,7.000000000090267e-05,2.8107732999999993
grid,z,42,2,9,1.0,0.012599210498948734,4.65273237532898,4.75598705527721,True,False,2.3769071000000004,2.364522700000002
grid,z,42,3,10,1.0,0.15874010519682002,3.38081682795254,4.75598705527721,True,False,4.753773299999999,2.3637682000000027
grid,z,42,4,5,1.0,2.0,0.335716723106088,4.75598705527721,True,True,4.759784100000001,2.3740596999999983
grid,z,42,5,0,2.0,0.001,4.4741936337403,4.75598705527721,True,True,4.7657071,3.1763996000000003
grid,z,42,6,11,2.0,0.012599210498948734,4.41318765384713,4.75598705527721,True,False,7.014403700000003,2.2351740000000007
grid,z,42,7,12,2.0,0.15874010519682002,3.64990464233997,4.75598705527721,True,False,9.446055000000001,2.4184933000000015
grid,z,42,8,2,2.0,2.0,0.260812570959034,4.75598705527721,True,True,9.452286299999997,2.086183599999999
grid,z,42,9,6,3.0,0.001,4.32117818257363,4.75598705527721,True,True,9.458341599999997,2.3888940000000005
grid,z,42,10,13,3.0,0.012599210498948734,4.26842138922039,4.75598705527721,True,False,11.7787011,2.308345099999997
grid,z,42,11,14,3.0,0.15874010519682002,3.61641987387397,4.75598705527721,True,False,14.1282407,2.3375383000000056
grid,z,42,12,8,3.0,2.0,0.241466546179124,4.75598705527721,True,True,14.134377700000002,2.502247999999998
tpe,z,42,1,15,1.749080237694725,1.3751068413926433,0.348699831242513,0.348699831242513,True,False,2.763787799999996,2.755427499999996
tpe,z,42,2,16,2.46398788362281,0.09466503798478171,3.94281821515251,3.94281821515251,True,False,5.346737999999995,2.5677363
tpe,z,42,3,17,1.312037280884873,0.0032729742670534194,4.62950006731866,4.62950006731866,True,False,7.703460299999996,2.341413699999997
tpe,z,42,4,18,1.116167224336399,0.723225014285739,0.722216944638,4.62950006731866,True,False,10.331983999999999,2.616106000000002
tpe,z,42,5,19,2.2022300234864174,0.21745470981373616,3.36321896062268,4.62950006731866,True,False,13.133267199999999,2.7883329999999944
tpe,z,42,6,20,1.04330112408653,0.001351230932501877,4.73548731785295,4.73548731785295,True,False,16.0308323,2.8784604999999956
tpe,z,42,7,21,2.939074221575732,0.001146285213283715,4.32756080028557,4.73548731785295,True,False,18.4536284,2.405408399999999
tpe,z,42,8,22,1.6210491012921264,0.011471866507458635,4.49256424614077,4.73548731785295,True,False,21.076715999999998,2.6043464999999983
tpe,z,42,9,23,1.0302673104786162,0.01974689280887772,4.58115222341836,4.73548731785295,True,False,23.4558993,2.3580249000000038
tpe,z,42,10,24,1.559116041098707,0.0010980940542487157,4.57020665278177,4.73548731785295,True,False,26.0939543,2.620713099999996
tpe,z,42,11,25,2.1809493791874592,0.0061813948779144276,4.4142666606801,4.73548731785295,True,False,28.814489299999998,2.701767199999992
tpe,z,42,12,26,1.3566183572906085,0.00403566868553742,4.61105764628819,4.73548731785295,True,False,31.322882799999995,2.491615600000003
differential_evolution,z,42,1,27,2.533705003914403,0.0153520754812368,4.31502330565326,4.31502330565326,True,False,2.6059637000000038,2.5945415999999994
differential_evolution,z,42,2,28,1.7186728801474787,1.9251973220386789,0.267396308403692,4.31502330565326,True,False,5.3029133,2.6839761000000095
differential_evolution,z,42,3,29,1.124846706282454,0.003334694657881329,4.69062832636018,4.69062832636018,True,False,7.809508999999991,2.4924728999999957
differential_evolution,z,42,4,30,2.6735281647652673,0.38926748887559115,2.59377629825988,4.69062832636018,True,False,10.60634499999999,2.7829448999999897
differential_evolution,z,42,5,31,1.577331313937135,0.007577685934937551,4.52635762194875,4.69062832636018,True,False,12.972409400000004,2.3533458999999937
differential_evolution,z,42,6,32,2.0193612040560662,0.13398635448630916,3.77609453044975,4.69062832636018,True,False,15.694996799999998,2.708948300000003
