"k","kind","status","z","log_likelihood","coefficient","std_error","singular","var_participant","var_item","var_talker","n_rows","participants","n_word_responses","predictor_shifted_mean","predictor_sd","fit_seconds","warnings","convergence","lme4_version"
1e-06,"grid","ok",4.98800600083247,-1533.40594475799,0.551565653233026,0.110578386060677,FALSE,0.101633679140163,7.72971381802998,0.411317176300977,3791,80,3791,-4.55827897767194e-05,1.30184940492698e-05,1.93,"","ok","1.1.35.5"
1.43722826598624e-06,"grid","ok",4.98801510299503,-1533.40597577186,0.551564231236372,0.110577899193847,FALSE,0.101633679593623,7.72971913025875,0.411320797756714,3791,80,3791,-6.55121678273218e-05,1.87101245925713e-05,1.59,"","ok","1.1.35.5"
2.06562508854983e-06,"grid","ok",4.98801942155351,-1533.40602030617,0.551561777049622,0.110577311440748,FALSE,0.10163352948949,7.729715480836,0.41132078148953,3791,80,3791,-9.41544808938279e-05,2.68898461189787e-05,1.8,"","ok","1.1.35.5"
2.96877476419415e-06,"grid","ok",4.98798725932914,-1533.40608424806,0.551558359501889,0.110577339280548,FALSE,0.101633617131789,7.72972904379873,0.411322248926928,3791,80,3791,-0.000135318468732242,3.86450420367693e-05,1.76,"","ok","1.1.35.5"
4.26680700644649e-06,"grid","ok",4.98800136115442,-1533.40617629837,0.551553350716753,0.110576022495131,FALSE,0.101633564805918,7.72972948558324,0.41132994452903,3791,80,3791,-0.000194477305559749,5.55380188049437e-05,1.61,"","ok","1.1.35.5"
6.13237563517304e-06,"grid","ok",4.9879249642719,-1533.40630850485,0.551546181386309,0.110576278780653,FALSE,0.101633482784504,7.72973841990507,0.411333925736178,3791,80,3791,-0.000279495427782951,7.98131106316409e-05,1.61,"","ok","1.1.35.5"
8.81362360051604e-06,"grid","ok",4.98789287130081,-1533.40649852697,0.55153586399863,0.11057492176146,FALSE,0.101633349177826,7.72975727195715,0.411334496462877,3791,80,3791,-0.000401672181980548,0.000114693755757215,1.77,"","ok","1.1.35.5"
1.26671889644251e-05,"grid","ok",4.98782462713118,-1533.40677167205,0.551520906091061,0.110573435780214,FALSE,0.101633015486958,7.72977078685999,0.411344597412808,3791,80,3791,-0.000577239783740275,0.000164808264715873,1.81,"","ok","1.1.35.5"
1.82056420302608e-05,"grid","ok",4.9877596020369,-1533.40716421344,0.551499369441235,0.110570559418304,FALSE,0.101632714101807,7.72980092992878,0.411357565689896,3791,80,3791,-0.000829512094427937,0.000236799273947724,1.48,"","ok","1.1.35.5"
2.61656633263181e-05,"grid","ok",4.98763161722851,-1533.40772836241,0.551468713124589,0.110567250239509,FALSE,0.101632350298749,7.7298457283705,0.411373949481986,3791,80,3791,-0.00119196437590598,0.000340194569479277,1.55,"","ok","1.1.35.5"
3.76060309308639e-05,"grid","ok",4.9874288605347,-1533.40853926885,0.551425201436207,0.110563020918375,FALSE,0.101631570581717,7.72989697257493,0.4114002841222,3791,80,3791,-0.00171264200678774,0.000488648145188937,1.75,"","ok","1.1.35.5"
5.40484506253906e-05,"grid","ok",4.9871313886769,-1533.40970479745,0.55136195790692,0.110556934425022,FALSE,0.101630730483553,7.72998375140738,0.411436423848501,3791,80,3791,-0.00246046053419455,0.000701702231142201,1.75,"","ok","1.1.35.5"
7.76799609715734e-05,"grid","ok",4.98676564322518,-1533.41138012508,0.551271331738932,0.110546869690551,FALSE,0.101629438342385,7.73010948764311,0.411488987224543,3791,80,3791,-0.00353418553333826,0.00100727518338555,1.97,"","ok","1.1.35.5"
0.000111643835609054,"grid","ok",4.98623088882005,-1533.41378847862,0.551141248023082,0.110532636837743,FALSE,0.101627391766824,7.73027442467881,0.411565826564194,3791,80,3791,-0.00507518486015694,0.00144514568031879,2.13,"","ok","1.1.35.5"
0.000160457676260453,"grid","ok",4.9854296437096,-1533.41725059348,0.550954101996829,0.110512862756372,FALSE,0.101624754200667,7.73053421897639,0.411673129778616,3791,80,3791,-0.0072854403872751,0.00207177298772698,1.7,"","ok","1.1.35.5"
0.000230614307815994,"grid","ok",4.984315608961,-1533.42222820149,0.550686506643137,0.110483875790909,FALSE,0.101620822680934,7.7308951470507,0.411830935239965,3791,80,3791,-0.0104527867710226,0.00296684262343924,2.37,"","ok","1.1.35.5"
0.000331445401733999,"grid","ok",4.98270656456412,-1533.42938562686,0.550300983430937,0.110442181633683,FALSE,0.101615334574741,7.73142472647453,0.412053267438317,3791,80,3791,-0.0149858607072915,0.00424189862038185,2.21,"","ok","1.1.35.5"
0.000476362700003269,"grid","ok",4.98033989525914,-1533.43967979685,0.549748982957966,0.110383828116085,FALSE,0.101607185850323,7.73217204696685,0.412373452144349,3791,80,3791,-0.0214616370183465,0.00605118955808441,2.01,"","ok","1.1.35.5"
0.000684641937306225,"grid","ok",4.97695067618795,-1533.45448939806,0.548959536456667,0.110300377113067,FALSE,0.101595616586664,7.73326279471558,0.412835069210113,3791,80,3791,-0.0306883076737993,0.00860415282346687,2.22,"","ok","1.1.35.5"
0.000983986744376088,"grid","ok",4.97208819386671,-1533.47580342791,0.547831816494691,0.110181435874461,FALSE,0.101579033614297,7.73484638154649,0.413497651202081,3791,80,3791,-0.0437847735534213,0.012177289811178,1.88,"","ok","1.1.35.5"
0.001,"grid","ok",4.97184388916957,-1533.47694455982,0.547771502038146,0.110174718725861,FALSE,0.101578062905014,7.73493599544613,0.413532257017858,3791,80,3791,-0.0444799486191853,0.0123652891138279,2.23,"","ok","1.1.35.5"
0.0014142135623731,"grid","ok",4.96508180845805,-1533.50649424798,0.546224448084218,0.110013181888307,FALSE,0.101555476369747,7.73714379595509,0.414445276348354,3791,80,3791,-0.0622734571050091,0.0171196780831081,2.13,"","ok","1.1.35.5"
0.00203254770598371,"grid","ok",4.95501330096673,-1533.550715165,0.543942992822186,0.109776293176864,FALSE,0.101521799323785,7.74050313897946,0.415802901010447,3791,80,3791,-0.0881723785006648,0.0238397511424972,2.12,"","ok","1.1.35.5"
0.00292123501500529,"grid","ok",4.9403548277678,-1533.61447779388,0.54072061606636,0.109449753088013,FALSE,0.101473903826774,7.74543592108667,0.417742876871134,3791,80,3791,-0.124050433433461,0.0327500111307113,2.31,"","ok","1.1.35.5"
0.00419848153515436,"grid","ok",4.91921909179449,-1533.70648302478,0.536203841621598,0.109001821552533,FALSE,0.101406346179781,7.75273108072405,0.420509001928213,3791,80,3791,-0.172970274912628,0.0441317918009825,2.65,"","ok","1.1.35.5"
