k,kind,status,z,log_likelihood,coefficient,std_error,singular,var_participant,var_item,var_talker,n_rows,participants,n_word_responses,predictor_shifted_mean,predictor_sd,fit_seconds,warnings,convergence,lme4_version,tau
0.0,linear_limit,ok,4.52664623226238,-3892.38412985066,0.218902189512515,0.0483585812278309,False,0.883484393252996,2.60185992735976,,10969,213,10969,-27.6077143965761,24.3510294920603,5.78999999999999,,ok,1.1.35.5,0.5
1e-06,grid,ok,4.52667678134858,-3892.38405425934,0.218904814098109,0.0483588346753782,False,0.883483127533183,2.60185976830351,,10969,213,10969,-2.76070368587445e-05,2.43500229475496e-05,5.33,,ok,1.1.35.5,0.5
1.43722826598624e-06,grid,ok,4.52668383094943,-3892.38402130408,0.218905899431756,0.0483589991275892,False,0.883483510542335,2.60185868831066,,10969,213,10969,-3.96771879639002e-05,3.49959087820417e-05,5.39,,ok,1.1.35.5,0.5
2.06562508854983e-06,grid,ok,4.52667222968314,-3892.3839737742,0.218907526619746,0.0483594825320652,False,0.883482064394595,2.60186006354872,,10969,213,10969,-5.70242966374111e-05,5.02958028897144e-05,5.5,,ok,1.1.35.5,0.5
2.96877476419415e-06,grid,ok,4.5267014494311,-3892.38390539705,0.218909551800908,0.0483596177584055,False,0.883482128150822,2.60185638378074,,10969,213,10969,-8.19551144841458e-05,7.22838511827333e-05,4.98,,ok,1.1.35.5,0.5
4.26680700644649e-06,grid,ok,4.52670823458166,-3892.38380710748,0.218913056444252,0.0483603194859947,False,0.883480484181073,2.60185627463238,,10969,213,10969,-0.0001177844550646,0.0001038828206862,4.75,,ok,1.1.35.5,0.5
6.13237563517304e-06,grid,ok,4.52674123650492,-3892.3836663588,0.218917689398397,0.0483609903815536,False,0.8834785414743,2.60185205049832,,10969,213,10969,-0.0001692753983795,0.0001492918150226,5.67,,ok,1.1.35.5,0.5
8.81362360051604e-06,grid,ok,4.5268082876648,-3892.38346362543,0.218924363803916,0.0483617484752928,False,0.883476490958087,2.60184897015551,,10969,213,10969,-0.0002432713807911,0.0002145426425869,5.45,,ok,1.1.35.5,0.5
1.26671889644251e-05,grid,ok,4.52687010627918,-3892.38317244762,0.218934067638249,0.0483632316585731,False,0.883472744415352,2.60184166346575,,10969,213,10969,-0.000349603445951,0.0003082976542572,5.47,,ok,1.1.35.5,0.5
1.82056420302608e-05,grid,ok,4.52697097210209,-3892.38275437484,0.218947981015474,0.0483652275141066,False,0.88346779567355,2.60183470529612,,10969,213,10969,-0.0005023916808943,0.0004429927246295,6.05,,ok,1.1.35.5,0.5
2.61656633263181e-05,grid,ok,4.52712022885266,-3892.38215393138,0.21896793302241,0.0483680401564914,False,0.883459665016732,2.60182243890088,,10969,213,10969,-0.0007219105373486,0.0006364723606367,5.55,,ok,1.1.35.5,0.5
3.76060309308639e-05,grid,ok,4.52731872706562,-3892.38129196948,0.218996459919347,0.0483722205397476,False,0.883449291642317,2.60180305979108,,10969,213,10969,-0.0010372591234785,0.0009143240332203,5.09,,ok,1.1.35.5,0.5
5.40484506253906e-05,grid,ok,4.52759091949641,-3892.38005537597,0.219037761531067,0.0483784346743565,False,0.883432941952502,2.60177818435623,,10969,213,10969,-0.0014901771710024,0.0013132008474941,5.06,,ok,1.1.35.5,0.5
7.76799609715734e-05,grid,ok,4.52804042166443,-3892.37828192038,0.219097168286081,0.0483867518580024,False,0.883410763934186,2.60174267879981,,10969,213,10969,-0.0021404844486318,0.0018855306126282,5.34,,ok,1.1.35.5,0.5
0.000111643835609,grid,ok,4.52863534143864,-3892.37574245771,0.219181943678642,0.0483991152197769,False,0.883378693232094,2.6016945816737,,10969,213,10969,-0.0030738058822381,0.0027061477926793,5.8,,ok,1.1.35.5,0.5
0.0001604576762604,grid,ok,4.5295189320463,-3892.37211194318,0.219303839010651,0.0484165851386731,False,0.883332613676841,2.60161955003675,,10969,213,10969,-0.0044124843052037,0.0038815471204009,5.61999999999999,,ok,1.1.35.5,0.5
0.0002306143078159,grid,ok,4.53075061330955,-3892.36693148591,0.219478757352083,0.048442030048474,False,0.8832669595101,2.60151460450216,,10969,213,10969,-0.0063308755635324,0.0055626177754344,6.65000000000001,,ok,1.1.35.5,0.5
0.0003314454017339,grid,ok,4.53250922501886,-3892.35956432694,0.219728916243115,0.0484784267024192,False,0.883172674036095,2.6013671610376,,10969,213,10969,-0.0090765377737079,0.0079618034225168,5.06,,ok,1.1.35.5,0.5
0.0004763627000032,grid,ok,4.5349560571794,-3892.34913507856,0.220086307881465,0.0485310783845504,False,0.883038381160664,2.60116011314148,,10969,213,10969,0.987000923516481,0.0113754817149766,5.62,,ok,1.1.35.5,0.5
0.0006846419373062,grid,ok,4.53846174075239,-3892.33447013502,0.220596500757039,0.0486060064748873,False,0.882847437935786,2.60086653959743,,10969,213,10969,0.981411633635544,0.0162116282568914,5.31999999999999,,ok,1.1.35.5,0.5
0.000983986744376,grid,ok,4.54327092633154,-3892.31404425231,0.221321657316184,0.0487141667104784,False,0.882577855577391,2.60046591397282,,10969,213,10969,0.973476945882684,0.023020890854261,5.23,,ok,1.1.35.5,0.5
0.001,grid,ok,4.54351343264759,-3892.31297273651,0.221360304403109,0.0487200726232075,False,0.882563827903181,2.60044651733068,,10969,213,10969,0.973055719218544,0.0233805376502333,5.61999999999999,,ok,1.1.35.5,0.5
0.0014142135623731,grid,ok,4.5498596171562,-3892.28598503644,0.222348219540854,0.0488692483395408,False,0.882198909143362,2.59992526905773,,10969,213,10969,0.962272292932776,0.0325250019202477,4.82000000000001,,ok,1.1.35.5,0.5
0.0020325477059837,grid,ok,4.55870409349351,-3892.24819898426,0.223792357412824,0.0490912225981579,False,0.881672972605311,2.59921638988085,,10969,213,10969,0.946568971834198,0.0456285944889712,5.12,,ok,1.1.35.5,0.5
0.0029212350150052,grid,ok,4.57015832106389,-3892.19876216467,0.225806804783569,0.049408967681234,False,0.880953344766989,2.59833590431829,,10969,213,10969,0.924794334785968,0.0633879266333293,6.30999999999999,,ok,1.1.35.5,0.5
0.0041984815351543,grid,ok,4.58432846792846,-3892.13674988108,0.228586171412168,0.0498625203257873,False,0.879988453858482,2.59733191331098,,10969,213,10969,0.895050478132737,0.0868944816547213,5.63,,ok,1.1.35.5,0.5
0.0060341763365451,grid,ok,4.60060097924978,-3892.0636855488,0.232366698108753,0.0505079008496504,False,0.87873557206284,2.59637666121506,,10969,213,10969,0.855260913541189,0.117022455937466,6.78,,ok,1.1.35.5,0.5
0.008672488792828,grid,ok,4.61720910730789,-3891.98562346769,0.237416494704745,0.0514199138888845,False,0.87717744423002,2.59588101902535,,10969,213,10969,0.803542318519011,0.154010617913121,5.42000000000002,,ok,1.1.35.5,0.5
0.0124643460295014,grid,ok,4.63060750994631,-3891.91565239488,0.244007098652995,0.0526944030840187,False,0.875367128764894,2.59663643483633,,10969,213,10969,0.73888948869444,0.19693780871429,6.0,,ok,1.1.35.5,0.5
0.0179141104306328,grid,ok,4.63473283578356,-3891.87710790631,0.252338407756453,0.0544450816686161,False,0.873477243436188,2.5999776914995,,10969,213,10969,0.662148287732954,0.243327904137408,5.59999999999999,,ok,1.1.35.5,0.5
0.0257466658709045,grid,ok,4.61971855698701,-3891.90991997538,0.262313796176308,0.0567813369885005,False,0.871846789486452,2.6078005157822,,10969,213,10969,0.576968742025439,0.289308089789435,5.42000000000002,,ok,1.1.35.5,0.5
0.0370038359445673,grid,ok,4.5694959483414,-3892.08075762442,0.273023162733836,0.0597490764452775,False,0.870935395943506,2.62219771419132,,10969,213,10969,0.490053957401539,0.330665614310901,5.76999999999998,,ok,1.1.35.5,0.5
0.05,grid,ok,4.4868517447355,-3892.38888803833,0.280832649569982,0.0625901334715345,False,0.870932703842168,2.63986288751863,,10969,213,10969,0.422732079750465,0.35929811367632,5.95000000000002,,ok,1.1.35.5,0.5
0.0531829589694499,grid,ok,4.46448770114059,-3892.47438156034,0.282125990680578,0.0631933627252462,False,0.871009704979164,2.64405776754131,,10969,213,10969,0.409948270672441,0.364452001257621,5.29999999999998,,ok,1.1.35.5,0.5
0.0764360518996802,grid,ok,4.2986180268315,-3893.1187578613,0.286444383007442,0.0666363890021138,False,0.8717619317446,2.67089465874388,,10969,213,10969,0.344375063344329,0.389874353432748,4.83000000000001,,ok,1.1.35.5,0.5
0.109856054330612,grid,ok,4.10083677521432,-3893.88988702705,0.284767333382476,0.069441274791434,False,0.872591795755554,2.69660369314921,,10969,213,10969,0.297469075153144,0.407669037729026,5.44999999999999,,ok,1.1.35.5,0.5
0.157888226473676,grid,ok,3.9224561009592,-3894.57348234143,0.279565852941115,0.0712731629737678,False,0.873270199529715,2.71558433557212,,10969,213,10969,0.268659938685147,0.419016696222135,4.58000000000001,,ok,1.1.35.5,0.5
0.226921421954405,grid,ok,3.79726888261377,-3895.04135323254,0.274388857955436,0.0722595282129629,False,0.873828834670827,2.72655900382612,,10969,213,10969,0.253763607851026,0.42529068505802,4.91999999999999,,ok,1.1.35.5,0.5
