k,kind,status,z,log_likelihood,coefficient,std_error,singular,var_participant,var_item,var_talker,n_rows,participants,n_word_responses,predictor_shifted_mean,predictor_sd,fit_seconds,warnings,convergence,lme4_version,tau
0.0,linear_limit,ok,4.11376069824777,-3161.99369237696,0.222420138958774,0.0540673498712535,False,0.812158118282375,2.42838309620463,,8290,161,8290,-36.5294353698484,21.4167295081131,4.19,,ok,1.1.35.5,0.5
1e-06,grid,ok,4.11377076239376,-3161.99364656491,0.22242132055525,0.0540675048275722,False,0.812157721245239,2.42838208088653,,8290,161,8290,-3.5104886351924e-05,2.14156191600227e-05,3.99,,ok,1.1.35.5,0.5
1.43722826598624e-06,grid,ok,4.11377678521962,-3161.99362628654,0.22242212047646,0.0540676201187193,False,0.812157542436784,2.42838100605308,,8290,161,8290,-5.04532036465091e-05,3.07784354900601e-05,4.36,,ok,1.1.35.5,0.5
2.06562508854983e-06,grid,ok,4.11377855293169,-3161.99359738105,0.222423048299346,0.0540678224258902,False,0.812157573249438,2.42837940038768,,8290,161,8290,-7.25116729634172e-05,4.42341963414195e-05,4.17,,ok,1.1.35.5,0.5
2.96877476419415e-06,grid,ok,4.1137890712742,-3161.99355609263,0.222424233770002,0.0540679723525806,False,0.812157501905523,2.42837589641011,,8290,161,8290,-0.0001042135591975,6.35716606522834e-05,4.25,,ok,1.1.35.5,0.5
4.26680700644649e-06,grid,ok,4.11383810211303,-3161.99349632537,0.222426059217586,0.0540677716761238,False,0.812157552269356,2.4283748010815,,8290,161,8290,-0.0001497739908373,9.13608394812984e-05,4.09,,ok,1.1.35.5,0.5
6.13237563517304e-06,grid,ok,4.11384154668412,-3161.99341067796,0.222428793527583,0.0540683910654913,False,0.812156654732406,2.42836663987474,,8290,161,8290,-0.0002152497422389,0.0001312936827457,4.28,,ok,1.1.35.5,0.5
8.81362360051604e-06,grid,ok,4.11387111543184,-3161.99328776889,0.222432544951959,0.054068914341428,False,0.812156094982021,2.42835857844467,,8290,161,8290,-0.0003093430392482,0.0001886727669717,3.85,,ok,1.1.35.5,0.5
1.26671889644251e-05,grid,ok,4.11393579428475,-3161.99311100874,0.222437824597362,0.0540693476321098,False,0.812155388513085,2.42834677114442,,8290,161,8290,-0.000444555305656,0.0002711116763861,3.7,,ok,1.1.35.5,0.5
1.82056420302608e-05,grid,ok,4.11400338655572,-3161.99285723945,0.22244616070053,0.0540704855585362,False,0.812154247817881,2.42833145802104,,8290,161,8290,-0.000638842252157,0.0003895375365304,4.06,,ok,1.1.35.5,0.5
