interval_id,recording_id,speaker_id,language,branch,comparison_word,canonical_sequence,canonical_position,canonical_phone,mean_similarity,mean_reference_dtw,n_reference_speakers,n_reference_recordings,instance_weight
AN19-rec-00079a5577d59a2dc124:phone:2,AN19-rec-00079a5577d59a2dc124,AN19.SPA.sf6,Spanish,Romance,pull,p uh l,1,uh,3.591932349923361e-09,27.33563091732784,6,6,0.007042253521126761
AN19-rec-002747096d898f7ade1e:phone:3,AN19-rec-002747096d898f7ade1e,AN19.MIX.if4,German,Germanic,deep,d iy p,2,p,6.166956589606313e-06,30.36209792695112,6,6,0.0072992700729927005
AN19-rec-00301de6d7ad00a41cc5:phone:1,AN19-rec-00301de6d7ad00a41cc5,AN19.MIX.if4,German,Germanic,move,m uw v,0,m,8.168817500043078e-11,38.41492647104326,6,6,0.0072992700729927005
AN19-rec-00301de6d7ad00a41cc5:phone:3,AN19-rec-00301de6d7ad00a41cc5,AN19.MIX.if4,German,Germanic,move,m uw v,2,v,1.722380342917007e-14,36.02502406928593,6,6,0.0072992700729927005
AN19-rec-003f828cad6d1e4a7c19:phone:2,AN19-rec-003f828cad6d1e4a7c19,AN19.MIX.if1,Albanian,Albanian,fade,f ey d,1,ey,1.1920918359071785e-09,33.58243820590955,6,6,0.0070921985815602835
AN19-rec-0050eb4714232f054ed9:phone:1,AN19-rec-0050eb4714232f054ed9,AN19.KOR.km7,Korean,Koreanic,shall,sh ae l,0,sh,0.028935388950797124,11.92889166445471,6,6,0.006711409395973154
AN19-rec-0050eb4714232f054ed9:phone:2,AN19-rec-0050eb4714232f054ed9,AN19.KOR.km7,Korean,Koreanic,shall,sh ae l,1,ae,0.00017783076513565226,20.036767834318766,6,6,0.006711409395973154
AN19-rec-0052e4853db5ca8b5209:phone:1,AN19-rec-0052e4853db5ca8b5209,AN19.MIX.im5,Turkish,Turkic,gut,g ah t,0,g,0.027203832363615718,35.93279225208748,6,6,0.007246376811594203
AN19-rec-0052e4853db5ca8b5209:phone:3,AN19-rec-0052e4853db5ca8b5209,AN19.MIX.im5,Turkish,Turkic,gut,g ah t,2,t,9.00743470501132e-20,60.01046498073463,6,6,0.007246376811594203
AN19-rec-00533be9d2b36bb1365a:phone:2,AN19-rec-00533be9d2b36bb1365a,AN19.MIX.im1,Romanian,Romance,lad,l ae d,1,ae,3.512316482954765e-06,19.063146069420235,6,6,0.006802721088435374
