speaker_id,language,branch,mean_similarity,n_segment_instances,n_segment_types,n_word_types
AN19.KOR.kf1,Korean,Koreanic,0.0018525830090110006,137,34,107
AN19.KOR.kf2,Korean,Koreanic,0.001403787087461892,137,32,104
AN19.KOR.kf3,Korean,Koreanic,0.001184716214771669,138,35,103
AN19.KOR.kf4,Korean,Koreanic,0.0026548382494374066,141,35,106
AN19.KOR.kf5,Korean,Koreanic,0.0025284350659420534,143,35,106
AN19.KOR.kf6,Korean,Koreanic,0.0009096814030881839,142,34,105
AN19.KOR.km1,Korean,Koreanic,0.0015451273682145078,137,34,105
AN19.KOR.km2,Korean,Koreanic,0.0028195973581569235,148,35,112
AN19.KOR.km3,Korean,Koreanic,0.0036558192814719163,150,35,112
AN19.KOR.km6,Korean,Koreanic,0.0019301006676818698,142,34,111
AN19.KOR.km7,Korean,Koreanic,0.004992531125937251,149,34,113
AN19.KOR.km8,Korean,Koreanic,0.0025755935072614942,145,35,110
AN19.MIX.if1,Albanian,Albanian,0.003046769430617607,141,35,108
AN19.MIX.if2,Dutch,Germanic,0.0022822026152918215,144,34,109
AN19.MIX.if3,French,Romance,0.003064505719663866,143,35,107
AN19.MIX.if4,German,Germanic,0.0070698798555775605,137,34,104
AN19.MIX.if5,Japanese,Japonic,0.0007214030389443193,149,35,110
AN19.MIX.if6,Somali,Afro-Asiatic,0.005943147592185599,138,33,104
AN19.MIX.im1,Romanian,Romance,0.0016941454736675327,147,35,112
AN19.MIX.im2,Bengali,Indo-Aryan,0.002110224900802183,138,34,104
AN19.MIX.im3,Russian,Slavic,0.003210536013531345,148,34,107
AN19.MIX.im4,Mandarin,Sino-Tibetan,0.0026611913699721855,143,34,106
AN19.MIX.im5,Turkish,Turkic,0.0033928243930489684,138,35,103
AN19.MIX.im6,Hindi,Indo-Aryan,0.0011365807221491503,149,34,112
AN19.SPA.sf1,Spanish,Romance,0.0005430691950339089,145,35,105
AN19.SPA.sf2,Spanish,Romance,0.0011802519067721385,138,34,105
AN19.SPA.sf3,Spanish,Romance,0.0012487699092502778,138,33,107
AN19.SPA.sf4,Spanish,Romance,0.0009962372324791079,141,35,107
AN19.SPA.sf5,Spanish,Romance,0.004039513114038957,139,35,106
AN19.SPA.sf6,Spanish,Romance,0.0015792705001495553,142,35,107
AN19.SPA.sm2,Spanish,Romance,0.002729006645737708,142,34,107
AN19.SPA.sm3,Spanish,Romance,0.0006753322959046761,137,34,104
AN19.SPA.sm4,Spanish,Romance,0.0018456756329405667,139,35,105
AN19.SPA.sm5,Spanish,Romance,0.0013721497780751662,145,34,109
AN19.SPA.sm6,Spanish,Romance,0.0024079871766556752,148,35,112
AN19.SPA.sm7,Spanish,Romance,0.001924612580610828,136,33,109
