speaker_id,canonical_phone,mean_distance,n_word_types,n_phone_intervals,language,branch,analysis
AN19.KOR.kf1,aa,39.38511396666555,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,ae,48.72924514428084,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,ah,48.468604798550786,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,ao,68.58010914041402,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,ay,43.73269210626528,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,b,54.66575715734674,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,ch,27.612321497556998,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,d,38.62332699971474,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,eh,39.281392101149486,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,er,26.354122348004022,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,ey,28.37333545289593,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,f,52.47988461621789,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,g,46.99109161340725,10,10,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,hh,42.28116391760005,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,ih,43.138526702290115,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,iy,28.32395961334521,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,jh,33.05349147762294,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,k,52.57172721746825,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,l,28.699785945879455,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,m,38.48633179991009,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,n,29.682619894908843,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,ng,24.478775894317945,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,ow,39.32384795174006,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,oy,34.86917806095366,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,p,30.803376509057312,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,r,43.5114389491214,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,s,27.315582695835527,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,sh,18.38416692835893,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,t,36.310526030601025,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,th,54.40715005734971,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,uh,37.716281428908964,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,uw,28.83425565552776,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,v,25.13184412924112,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf1,w,41.824640222174786,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,aa,31.693376436566012,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,ae,37.394066909978775,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,ah,40.59750951552544,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,ay,24.789153164686535,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,b,27.914286270604634,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,ch,21.821963147366645,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,d,31.452540738541945,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,eh,39.771026994268304,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,ey,29.73560116321073,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,f,58.00356984675517,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,g,42.79413761167269,10,10,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,hh,20.55597644728686,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,ih,48.29906119511427,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,iy,30.80716041026194,7,7,Korean,Koreanic,six_reference_complete
