recording_id,speaker_id,word,accent,source_l1_language,source_filename,source_wav_relpath,legacy_key_collision,config_sha256,human_verified,status,sha256,source_rate,source_channels,decoded_samples,duration_seconds,resampled_samples,chosen_dictionary_variant,model_frames,lexical_identity_unresolved,short_phone_count,low_posterior_phone_count,annotation_word
AN19-rec-42f9635ef1963d09142b,AN19.ENG.ef1,was,ENG,English,ef1ew01 was.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew01 was.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,2ef5a8cb18897c630894cdddd4882a0b4fbed4c9462c573f7ee60c93f2dbd982,22050,1,16896,0.7662585034013606,12261,0,74,False,2,2,was
AN19-rec-35264dd3388b3afc06dd,AN19.ENG.ef1,down,ENG,English,ef1ew02 down.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew02 down.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,15355d36f4da9cffaa5c98914969982eb129641b8745185e1b91a17910d8a3a3,22050,1,15296,0.6936961451247166,11100,0,67,False,1,2,down
AN19-rec-0555ed8b26decd68d6db,AN19.ENG.ef1,work,ENG,English,ef1ew03 work.wav,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew03 work.wav,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,131e6fe2442e61972f8d3c26ae4156470fc5b7a83c2ab2fbe1b6e3f32d873373,22050,1,15040,0.6820861678004535,10914,0,66,False,1,2,work
AN19-rec-ad3b4d36121fe64f5d46,AN19.ENG.ef1,long,ENG,English,ef1ew04 long.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew04 long.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,418eef150ba4900510f43f072df8c63f13b9e0064a3d3358ec1a13d10627e228,22050,1,19648,0.8910657596371883,14258,0,87,False,1,1,long
AN19-rec-858bdf99be07439d3783,AN19.ENG.ef1,both,ENG,English,ef1ew05 both.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew05 both.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,98eec2784b4e6dbe6a70c0d96256319e9f868419154d026e4a77f42317de6a5b,22050,1,13248,0.6008163265306122,9614,0,58,False,0,1,both
AN19-rec-9d9464a4870d17e5ba67,AN19.ENG.ef1,thought,ENG,English,ef1ew06 thought.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew06 thought.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,0e54a0a820a3c7b799db34e3959b59fd46959c3eec04d481138ee67819eb9f3b,22050,1,16640,0.7546485260770975,12075,0,73,False,1,2,thought
AN19-rec-1d4933604c330432deb3,AN19.ENG.ef1,does,ENG,English,ef1ew07 does.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew07 does.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,cb9aefd99036adfa3f2498e48faed6d49066a64913a3244556f786fc05d45f19,22050,1,16192,0.7343310657596371,11750,0,71,False,1,2,does
AN19-rec-d9e0eacdf2ba4e5c24e7,AN19.ENG.ef1,put,ENG,English,ef1ew08 put.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew08 put.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,21bd1929cbed02e9e57cb8bad9a58c9270ead454679f924a7328a042b2f2d907,22050,1,13184,0.5979138321995465,9567,0,57,False,2,3,put
AN19-rec-0e3887b559ae567640a9,AN19.ENG.ef1,give,ENG,English,ef1ew09 give.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew09 give.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,6bc08f230000c9cd79489067871c67c6c39e4aeb91d9f9a9f2eedfdcbf583c63,22050,1,14016,0.6356462585034014,10171,0,61,False,1,2,give
AN19-rec-904fa318974f184cf3cf,AN19.ENG.ef1,young,ENG,English,ef1ew10 young.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew10 young.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,b5e0f9dc4abc2b464e894fb725e1205be8e37d1221fe310b2e513bed265a2187,22050,1,16256,0.737233560090703,11796,0,71,False,2,3,young
