language,iso6393,branch,mean_jaccard,min_jaccard,max_jaccard,n_inventories,n_english_inventories,status,source_branch
Russian,rus,Slavic,0.1533097554937889,0.0933333333333333,0.238095238095238,3,9,computed,Slavic
Spanish,spa,Romance,0.1636978793663824,0.1129032258064516,0.2745098039215686,5,9,computed,Romance
Mandarin,cmn,Sino-Tibetan,0.1688395069698918,0.1159420289855072,0.2352941176470588,4,9,computed,Sinitic
Brazilian Portuguese,por,Romance,0.1816552532962685,0.1234567901234567,0.2833333333333333,4,9,computed,Romance
Korean,kor,Koreanic,0.1999537776693659,0.1481481481481481,0.2950819672131147,4,9,computed,Koreanic
Hindi,hin,Indo-Aryan,0.2027139925522428,0.1209677419354838,0.2876712328767123,5,9,computed,Indo-Aryan
Bengali,ben,Indo-Aryan,0.2090212926725786,0.1428571428571428,0.303030303030303,5,9,computed,Indo-Aryan
Japanese,jpn,Japonic,0.2245622503604013,0.1034482758620689,0.375,3,9,computed,Japonic
French,fra,Romance,0.2485779637041064,0.1692307692307692,0.3703703703703703,4,9,computed,Romance
Romanian,ron,Romance,0.2552291354547339,0.1428571428571428,0.4489795918367347,3,9,computed,Romance
Turkish,tur,Turkic,0.2635145660578705,0.1470588235294117,0.4107142857142857,4,9,computed,Turkic
Dutch,nld,Germanic,0.3026756746817211,0.1976744186046511,0.4354838709677419,8,9,computed,Germanic
Somali,som,Afro-Asiatic,0.3052266138182603,0.2337662337662337,0.3846153846153846,2,9,computed,Cushitic
Albanian,als,Albanian,0.3233071687556951,0.25,0.4705882352941176,3,9,computed,Albanian
Farsi,pes,Iranian,0.3783866668926227,0.2758620689655172,0.5,4,9,computed,Iranian
German,deu,Germanic,0.4223087282929568,0.3076923076923077,0.58,4,9,computed,Germanic
