dataset,accent,left,right,count,density,n_unique_targets
AN19,KOR,0.0,0.04,0,0.0,94
AN19,KOR,0.04,0.08,0,0.0,94
AN19,KOR,0.08,0.12,0,0.0,94
AN19,KOR,0.12,0.16,1,0.2659574468085106,94
AN19,KOR,0.16,0.2,0,0.0,94
AN19,KOR,0.2,0.24,5,1.3297872340425538,94
AN19,KOR,0.24,0.28,16,4.255319148936167,94
AN19,KOR,0.28,0.32,7,1.8617021276595755,94
AN19,KOR,0.32,0.36,11,2.9255319148936185,94
AN19,KOR,0.36,0.4,16,4.255319148936167,94
AN19,KOR,0.4,0.44,10,2.6595744680851077,94
AN19,KOR,0.44,0.48,10,2.6595744680851077,94
AN19,KOR,0.48,0.52,8,2.1276595744680833,94
AN19,KOR,0.52,0.56,3,0.7978723404255312,94
AN19,KOR,0.56,0.6,4,1.0638297872340445,94
AN19,KOR,0.6,0.64,3,0.7978723404255312,94
AN19,KOR,0.64,0.68,0,0.0,94
AN19,KOR,0.68,0.72,0,0.0,94
AN19,KOR,0.72,0.76,0,0.0,94
AN19,KOR,0.76,0.8,0,0.0,94
AN19,KOR,0.8,0.84,0,0.0,94
AN19,KOR,0.84,0.88,0,0.0,94
AN19,KOR,0.88,0.92,0,0.0,94
AN19,KOR,0.92,0.96,0,0.0,94
AN19,KOR,0.96,1.0,0,0.0,94
AN19,SPA,0.0,0.04,0,0.0,94
AN19,SPA,0.04,0.08,0,0.0,94
AN19,SPA,0.08,0.12,2,0.5319148936170214,94
AN19,SPA,0.12,0.16,1,0.2659574468085106,94
AN19,SPA,0.16,0.2,6,1.5957446808510636,94
AN19,SPA,0.2,0.24,7,1.8617021276595755,94
AN19,SPA,0.24,0.28,10,2.659574468085104,94
AN19,SPA,0.28,0.32,14,3.723404255319151,94
AN19,SPA,0.32,0.36,8,2.1276595744680864,94
AN19,SPA,0.36,0.4,11,2.9255319148936145,94
AN19,SPA,0.4,0.44,8,2.1276595744680864,94
AN19,SPA,0.44,0.48,9,2.393617021276597,94
AN19,SPA,0.48,0.52,7,1.8617021276595729,94
AN19,SPA,0.52,0.56,4,1.0638297872340416,94
AN19,SPA,0.56,0.6,4,1.0638297872340445,94
AN19,SPA,0.6,0.64,3,0.7978723404255312,94
AN19,SPA,0.64,0.68,0,0.0,94
AN19,SPA,0.68,0.72,0,0.0,94
AN19,SPA,0.72,0.76,0,0.0,94
AN19,SPA,0.76,0.8,0,0.0,94
AN19,SPA,0.8,0.84,0,0.0,94
AN19,SPA,0.84,0.88,0,0.0,94
AN19,SPA,0.88,0.92,0,0.0,94
AN19,SPA,0.92,0.96,0,0.0,94
AN19,SPA,0.96,1.0,0,0.0,94
X21,CMN,0.0,0.04,5,0.30339805825242716,412
X21,CMN,0.04,0.08,7,0.42475728155339804,412
X21,CMN,0.08,0.12,18,1.092233009708738,412
X21,CMN,0.12,0.16,29,1.7597087378640772,412
X21,CMN,0.16,0.2,24,1.45631067961165,412
X21,CMN,0.2,0.24,28,1.6990291262135928,412
X21,CMN,0.24,0.28,19,1.1529126213592222,412
X21,CMN,0.28,0.32,28,1.6990291262135928,412
X21,CMN,0.32,0.36,41,2.487864077669904,412
X21,CMN,0.36,0.4,24,1.4563106796116492,412
X21,CMN,0.4,0.44,26,1.577669902912622,412
X21,CMN,0.44,0.48,29,1.7597087378640783,412
X21,CMN,0.48,0.52,35,2.1237864077669886,412
X21,CMN,0.52,0.56,23,1.3956310679611639,412
X21,CMN,0.56,0.6,25,1.516990291262139,412
X21,CMN,0.6,0.64,21,1.274271844660193,412
X21,CMN,0.64,0.68,11,0.6674757281553392,412
X21,CMN,0.68,0.72,12,0.7281553398058266,412
X21,CMN,0.72,0.76,5,0.30339805825242694,412
X21,CMN,0.76,0.8,2,0.12135922330097076,412
X21,CMN,0.8,0.84,0,0.0,412
X21,CMN,0.84,0.88,0,0.0,412
X21,CMN,0.88,0.92,0,0.0,412
X21,CMN,0.92,0.96,0,0.0,412
X21,CMN,0.96,1.0,0,0.0,412
