dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss,held_out_log_likelihood_per_trial,variant,predictor_definition
AN19,mfcc39,oof_fold,0.0,M_predictor,1894,1894,1253.59876960403,0.661878970223879,-0.6618789702238806,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,mfcc39,oof_fold,1.0,M_predictor,1895,1895,1270.59580735898,0.670499106785741,-0.6704991067857414,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,mfcc39,oof_fold,2.0,M_predictor,1896,1896,1240.29068845468,0.654161755514074,-0.6541617555140717,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,strf24_legacy,oof_fold,0.0,M_predictor,1894,1894,1207.64081716614,0.637613947817393,-0.6376139478173918,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,strf24_legacy,oof_fold,1.0,M_predictor,1895,1895,1223.40169927353,0.645594564260436,-0.645594564260438,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,strf24_legacy,oof_fold,2.0,M_predictor,1896,1896,1209.5383516833,0.637942168609337,-0.6379421686093355,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_2,oof_fold,0.0,M_predictor,1894,1894,1282.36939817381,0.677069376015739,-0.6770693760157391,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_2,oof_fold,1.0,M_predictor,1895,1895,1287.22127310082,0.679272439631037,-0.6792724396310397,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_2,oof_fold,2.0,M_predictor,1896,1896,1262.64482142517,0.665951910034375,-0.6659519100343724,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_3,oof_fold,0.0,M_predictor,1894,1894,1294.08589852469,0.683255490245347,-0.6832554902453485,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_3,oof_fold,1.0,M_predictor,1895,1895,1288.17587183909,0.679776185667066,-0.679776185667066,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_3,oof_fold,2.0,M_predictor,1896,1896,1273.756838618,0.671812678595992,-0.6718126785959916,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_4,oof_fold,0.0,M_predictor,1894,1894,1311.04749459414,0.692210926396061,-0.6922109263960613,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_4,oof_fold,1.0,M_predictor,1895,1895,1309.17990647644,0.690860108958544,-0.6908601089585436,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_4,oof_fold,2.0,M_predictor,1896,1896,1296.41539065312,0.683763391694685,-0.6837633916946836,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_5,oof_fold,0.0,M_predictor,1894,1894,1315.27241963757,0.694441615436943,-0.6944416154369429,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_5,oof_fold,1.0,M_predictor,1895,1895,1322.73721602242,0.698014362017106,-0.6980143620171082,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_5,oof_fold,2.0,M_predictor,1896,1896,1302.14631767487,0.686786032528939,-0.6867860325289399,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_6,oof_fold,0.0,M_predictor,1894,1894,1316.29040832676,0.694979096265451,-0.6949790962654487,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_6,oof_fold,1.0,M_predictor,1895,1895,1313.6397903617,0.69321360968955,-0.6932136096895515,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_6,oof_fold,2.0,M_predictor,1896,1896,1303.65739727346,0.687583015439589,-0.6875830154395886,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_0,oof_fold,0.0,M_predictor,1894,1894,1312.28177684301,0.692862606569698,-0.692862606569699,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_0,oof_fold,1.0,M_predictor,1895,1895,1311.73096859232,0.692206315879851,-0.6922063158798523,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_0,oof_fold,2.0,M_predictor,1896,1896,1298.43284425196,0.684827449499979,-0.6848274494999789,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_10,oof_fold,0.0,M_predictor,1894,1894,1175.99482992073,0.620905401225305,-0.6209054012253061,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_10,oof_fold,1.0,M_predictor,1895,1895,1183.73094793886,0.624660130838447,-0.6246601308384485,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_10,oof_fold,2.0,M_predictor,1896,1896,1160.6819200548,0.612174008467723,-0.6121740084677215,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_12,oof_fold,0.0,M_predictor,1894,1894,1179.90363580357,0.622969184690374,-0.6229691846903749,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_12,oof_fold,1.0,M_predictor,1895,1895,1186.54814047436,0.626146775975917,-0.6261467759759156,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_12,oof_fold,2.0,M_predictor,1896,1896,1175.83007975521,0.620163544174686,-0.6201635441746888,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_14,oof_fold,0.0,M_predictor,1894,1894,1204.66209250587,0.636041231523693,-0.6360412315236906,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_14,oof_fold,1.0,M_predictor,1895,1895,1208.96668987496,0.637977145052751,-0.6379771450527493,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_14,oof_fold,2.0,M_predictor,1896,1896,1193.67871779038,0.629577382800832,-0.6295773828008333,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_16,oof_fold,0.0,M_predictor,1894,1894,1214.47956802591,0.641224692727513,-0.6412246927275133,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_16,oof_fold,1.0,M_predictor,1895,1895,1217.27378867453,0.642360838350677,-0.6423608383506754,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_16,oof_fold,2.0,M_predictor,1896,1896,1206.47834716906,0.636328242177776,-0.6363282421777743,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_18,oof_fold,0.0,M_predictor,1894,1894,1222.02961704111,0.64521099104599,-0.6452109910459926,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_18,oof_fold,1.0,M_predictor,1895,1895,1222.06781837662,0.644890669328032,-0.6448906693280316,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_18,oof_fold,2.0,M_predictor,1896,1896,1213.28951227679,0.639920628837968,-0.6399206288379694,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_2,oof_fold,0.0,M_predictor,1894,1894,1317.32890755082,0.695527406309832,-0.6955274063098311,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_2,oof_fold,1.0,M_predictor,1895,1895,1311.35667344458,0.692008798651496,-0.6920087986514935,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_2,oof_fold,2.0,M_predictor,1896,1896,1301.79180018025,0.686599050727981,-0.68659905072798,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_20,oof_fold,0.0,M_predictor,1894,1894,1187.81801407651,0.627147842701432,-0.6271478427014309,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_20,oof_fold,1.0,M_predictor,1895,1895,1185.8441353186,0.625775269297414,-0.6257752692974142,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_20,oof_fold,2.0,M_predictor,1896,1896,1179.42340120625,0.622058755910469,-0.6220587559104694,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_22,oof_fold,0.0,M_predictor,1894,1894,1223.00226462284,0.645724532535816,-0.6457245325358183,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_22,oof_fold,1.0,M_predictor,1895,1895,1220.12474446844,0.643865300511049,-0.6438653005110502,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_22,oof_fold,2.0,M_predictor,1896,1896,1212.87270995576,0.63970079639017,-0.6397007963901687,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_24,oof_fold,0.0,M_predictor,1894,1894,1211.22191581206,0.639504707398131,-0.6395047073981309,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_24,oof_fold,1.0,M_predictor,1895,1895,1215.79657285125,0.641581304934694,-0.6415813049346966,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_24,oof_fold,2.0,M_predictor,1896,1896,1202.71898072489,0.634345453968822,-0.6343454539688238,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_4,oof_fold,0.0,M_predictor,1894,1894,1316.34238561623,0.69500653939611,-0.6950065393961088,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_4,oof_fold,1.0,M_predictor,1895,1895,1309.29996266255,0.690923463146462,-0.6909234631464644,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_4,oof_fold,2.0,M_predictor,1896,1896,1296.2050146092,0.68365243386561,-0.6836524338656118,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_6,oof_fold,0.0,M_predictor,1894,1894,1278.03640727158,0.674781630027234,-0.6747816300272333,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_6,oof_fold,1.0,M_predictor,1895,1895,1276.1862316917,0.6734491987819,-0.6734491987818997,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_6,oof_fold,2.0,M_predictor,1896,1896,1257.38367314615,0.6631770427986,-0.6631770427986022,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_8,oof_fold,0.0,M_predictor,1894,1894,1238.11030918859,0.653701324809182,-0.6537013248091816,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_8,oof_fold,1.0,M_predictor,1895,1895,1243.19469250764,0.656039415571315,-0.656039415571314,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_8,oof_fold,2.0,M_predictor,1896,1896,1225.32703693931,0.646269534250691,-0.6462695342506909,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
