dataset_id,store_id,model_variant,feature_key,layer,pool_id,measure,linguistic_unit,tau,coordinate_scaling,value,value_status,status_reason,variant,exposure_talker_set
B23,B23_hubert_base_tsne,base,cnn_2,cnn_2,B23V:2036c2eede8f5bf2,overall,all,2.0,none,532.1043573768007,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,cnn_2,cnn_2,B23V:32aba1a79d958e3a,overall,all,2.0,none,636.8963366734865,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,cnn_2,cnn_2,B23V:5cbf296e4c2d4396,overall,all,2.0,none,490.4810765646948,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,cnn_2,cnn_2,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,708.2062497715943,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,cnn_3,cnn_3,B23V:2036c2eede8f5bf2,overall,all,2.0,none,395.2479969186485,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,cnn_3,cnn_3,B23V:32aba1a79d958e3a,overall,all,2.0,none,623.8749735183668,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,cnn_3,cnn_3,B23V:5cbf296e4c2d4396,overall,all,2.0,none,589.2490198620809,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,cnn_3,cnn_3,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,643.9973949355046,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,cnn_4,cnn_4,B23V:2036c2eede8f5bf2,overall,all,2.0,none,457.75989485241615,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,cnn_4,cnn_4,B23V:32aba1a79d958e3a,overall,all,2.0,none,590.0918771970958,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,cnn_4,cnn_4,B23V:5cbf296e4c2d4396,overall,all,2.0,none,467.5217301750067,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,cnn_4,cnn_4,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,631.6212549957138,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,cnn_5,cnn_5,B23V:2036c2eede8f5bf2,overall,all,2.0,none,422.8669318840245,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,cnn_5,cnn_5,B23V:32aba1a79d958e3a,overall,all,2.0,none,517.9036178453448,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,cnn_5,cnn_5,B23V:5cbf296e4c2d4396,overall,all,2.0,none,423.5556357427682,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,cnn_5,cnn_5,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,581.8781139074096,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,cnn_6,cnn_6,B23V:2036c2eede8f5bf2,overall,all,2.0,none,448.9138749490834,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,cnn_6,cnn_6,B23V:32aba1a79d958e3a,overall,all,2.0,none,549.6499488368954,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,cnn_6,cnn_6,B23V:5cbf296e4c2d4396,overall,all,2.0,none,484.8488552780023,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,cnn_6,cnn_6,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,631.8481910848442,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_0,tr_0,B23V:2036c2eede8f5bf2,overall,all,2.0,none,610.4889445820113,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_0,tr_0,B23V:32aba1a79d958e3a,overall,all,2.0,none,699.3093296127707,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_0,tr_0,B23V:5cbf296e4c2d4396,overall,all,2.0,none,597.3177609329509,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_0,tr_0,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,752.4055655863011,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_10,tr_10,B23V:2036c2eede8f5bf2,overall,all,2.0,none,947.5430580109152,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_10,tr_10,B23V:32aba1a79d958e3a,overall,all,2.0,none,921.8169334168784,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_10,tr_10,B23V:5cbf296e4c2d4396,overall,all,2.0,none,819.8973562054615,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_10,tr_10,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,937.8971668466432,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_12,tr_12,B23V:2036c2eede8f5bf2,overall,all,2.0,none,923.8562931653336,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_12,tr_12,B23V:32aba1a79d958e3a,overall,all,2.0,none,893.5495767162691,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_12,tr_12,B23V:5cbf296e4c2d4396,overall,all,2.0,none,812.0842361746962,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_12,tr_12,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,910.6480366695412,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_14,tr_14,B23V:2036c2eede8f5bf2,overall,all,2.0,none,890.2866124892295,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_14,tr_14,B23V:32aba1a79d958e3a,overall,all,2.0,none,889.1369626871518,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_14,tr_14,B23V:5cbf296e4c2d4396,overall,all,2.0,none,791.9841081044805,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_14,tr_14,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,896.6626331447006,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_16,tr_16,B23V:2036c2eede8f5bf2,overall,all,2.0,none,885.3250270167127,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_16,tr_16,B23V:32aba1a79d958e3a,overall,all,2.0,none,887.9668318334539,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_16,tr_16,B23V:5cbf296e4c2d4396,overall,all,2.0,none,823.4086944313773,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_16,tr_16,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,906.7992239028634,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_18,tr_18,B23V:2036c2eede8f5bf2,overall,all,2.0,none,928.1313548530215,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_18,tr_18,B23V:32aba1a79d958e3a,overall,all,2.0,none,925.4973937527402,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_18,tr_18,B23V:5cbf296e4c2d4396,overall,all,2.0,none,855.3045958439158,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_18,tr_18,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,941.6822445550102,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_2,tr_2,B23V:2036c2eede8f5bf2,overall,all,2.0,none,865.5200780524725,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_2,tr_2,B23V:32aba1a79d958e3a,overall,all,2.0,none,915.659745602496,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_2,tr_2,B23V:5cbf296e4c2d4396,overall,all,2.0,none,795.0137109119227,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_2,tr_2,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,954.264776739991,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_20,tr_20,B23V:2036c2eede8f5bf2,overall,all,2.0,none,947.9589490417712,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_20,tr_20,B23V:32aba1a79d958e3a,overall,all,2.0,none,958.7449279186682,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_20,tr_20,B23V:5cbf296e4c2d4396,overall,all,2.0,none,870.1092953510238,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_20,tr_20,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,965.94348909448,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_22,tr_22,B23V:2036c2eede8f5bf2,overall,all,2.0,none,890.4169317998111,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_22,tr_22,B23V:32aba1a79d958e3a,overall,all,2.0,none,906.054912003372,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_22,tr_22,B23V:5cbf296e4c2d4396,overall,all,2.0,none,765.9603927633392,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_22,tr_22,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,895.69343781233,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_24,tr_24,B23V:2036c2eede8f5bf2,overall,all,2.0,none,783.750826394308,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_24,tr_24,B23V:32aba1a79d958e3a,overall,all,2.0,none,787.1095250748187,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_24,tr_24,B23V:5cbf296e4c2d4396,overall,all,2.0,none,736.6087745298859,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_24,tr_24,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,768.4615885248791,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_4,tr_4,B23V:2036c2eede8f5bf2,overall,all,2.0,none,971.341488587909,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_4,tr_4,B23V:32aba1a79d958e3a,overall,all,2.0,none,899.9480805175414,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_4,tr_4,B23V:5cbf296e4c2d4396,overall,all,2.0,none,683.348173257747,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_4,tr_4,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,939.1712680377371,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_6,tr_6,B23V:2036c2eede8f5bf2,overall,all,2.0,none,986.2595854042588,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_6,tr_6,B23V:32aba1a79d958e3a,overall,all,2.0,none,916.8820200439606,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_6,tr_6,B23V:5cbf296e4c2d4396,overall,all,2.0,none,693.9575121133146,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_6,tr_6,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,950.7520900650036,available,,base,B23.BRP.BRP
B23,B23_hubert_base_tsne,base,tr_8,tr_8,B23V:2036c2eede8f5bf2,overall,all,2.0,none,942.7776469598662,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_8,tr_8,B23V:32aba1a79d958e3a,overall,all,2.0,none,872.4525872856888,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_8,tr_8,B23V:5cbf296e4c2d4396,overall,all,2.0,none,699.1042007441782,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_8,tr_8,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,891.3685991834035,available,,base,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,cnn_2,cnn_2,B23V:2036c2eede8f5bf2,overall,all,2.0,none,532.1043573768007,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,cnn_2,cnn_2,B23V:32aba1a79d958e3a,overall,all,2.0,none,636.8963366734865,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,cnn_2,cnn_2,B23V:5cbf296e4c2d4396,overall,all,2.0,none,490.4810765646948,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,cnn_2,cnn_2,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,708.2062497715943,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,cnn_3,cnn_3,B23V:2036c2eede8f5bf2,overall,all,2.0,none,395.2479969186485,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,cnn_3,cnn_3,B23V:32aba1a79d958e3a,overall,all,2.0,none,623.8749735183668,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,cnn_3,cnn_3,B23V:5cbf296e4c2d4396,overall,all,2.0,none,589.2490198620809,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,cnn_3,cnn_3,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,643.9973949355046,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,cnn_4,cnn_4,B23V:2036c2eede8f5bf2,overall,all,2.0,none,457.75989485241615,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,cnn_4,cnn_4,B23V:32aba1a79d958e3a,overall,all,2.0,none,590.0918771970958,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,cnn_4,cnn_4,B23V:5cbf296e4c2d4396,overall,all,2.0,none,467.5217301750067,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,cnn_4,cnn_4,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,631.6212549957138,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,cnn_5,cnn_5,B23V:2036c2eede8f5bf2,overall,all,2.0,none,422.8669318840245,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,cnn_5,cnn_5,B23V:32aba1a79d958e3a,overall,all,2.0,none,517.9036178453448,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,cnn_5,cnn_5,B23V:5cbf296e4c2d4396,overall,all,2.0,none,423.5556357427682,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,cnn_5,cnn_5,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,581.8781139074096,available,,ft,B23.BRP.BRP
