feature_key,M_condition,M_joint,M_predictor,predictor_oof_total_log_loss,predictor_oof_total_trials,layer,dataset_id,variant,predictor_beyond_condition_oof_gain,condition_beyond_predictor_oof_gain
cnn_2::overall_order_sensitive,0.684140214084024,0.684045633577973,0.690074182552896,3974.82729150468,5760,cnn_2,AN19,base,9.458050605104518e-05,0.006028548974922998
cnn_3::overall_order_sensitive,0.684140214084024,0.684423174135676,0.68977851860139,3973.12426714401,5760,cnn_3,AN19,base,-0.00028296005165195925,0.0053553444657139515
cnn_4::overall_order_sensitive,0.684140214084024,0.684285574542137,0.690692565474789,3978.38917713478,5760,cnn_4,AN19,base,-0.00014536045811297527,0.006406990932651957
cnn_5::overall_order_sensitive,0.684140214084024,0.683962491834036,0.690174141787092,3975.40305669365,5760,cnn_5,AN19,base,0.00017772224998802155,0.006211649953056009
cnn_6::overall_order_sensitive,0.684140214084024,0.684617769954244,0.690786286828096,3978.92901212983,5760,cnn_6,AN19,base,-0.0004775558702199145,0.0061685168738520035
tr_0::overall_order_sensitive,0.684140214084024,0.683923017319478,0.690603808309356,3977.87793586189,5760,tr_0,AN19,base,0.00021719676454601267,0.006680790989877949
tr_10::overall_order_sensitive,0.684140214084024,0.684062310967207,0.690182849919815,3975.45321553813,5760,tr_10,AN19,base,7.79031168169908e-05,0.006120538952608001
tr_12::overall_order_sensitive,0.684140214084024,0.683932683171897,0.690167442722177,3975.36447007974,5760,tr_12,AN19,base,0.00020753091212699637,0.006234759550279967
tr_14::overall_order_sensitive,0.684140214084024,0.684090483886212,0.689901048637656,3973.8300401529,5760,tr_14,AN19,base,4.973019781207011e-05,0.005810564751444036
tr_16::overall_order_sensitive,0.684140214084024,0.684111162181076,0.689975846089791,3974.2608734772,5760,tr_16,AN19,base,2.905190294799631e-05,0.005864683908714974
tr_18::overall_order_sensitive,0.684140214084024,0.684132263851912,0.689906982677203,3973.86422022069,5760,tr_18,AN19,base,7.95023211208612e-06,0.005774718825291014
tr_20::overall_order_sensitive,0.684140214084024,0.683883032663504,0.690249128399941,3975.83497958366,5760,tr_20,AN19,base,0.0002571814205200029,0.006366095736436983
tr_22::overall_order_sensitive,0.684140214084024,0.683900550904912,0.690102895615951,3974.99267874788,5760,tr_22,AN19,base,0.0002396631791120596,0.006202344711038976
tr_24::overall_order_sensitive,0.684140214084024,0.684554247994592,0.689831430575812,3973.42904011668,5760,tr_24,AN19,base,-0.0004140339105679347,0.005277182581220008
tr_2::overall_order_sensitive,0.684140214084024,0.684121498795235,0.689983308052653,3974.30385438328,5760,tr_2,AN19,base,1.871528878905071e-05,0.005861809257417971
tr_4::overall_order_sensitive,0.684140214084024,0.684204919324135,0.69000540513932,3974.43113360248,5760,tr_4,AN19,base,-6.470524011092937e-05,0.005800485815184997
tr_6::overall_order_sensitive,0.684140214084024,0.684150624797966,0.69030819468304,3976.17520137431,5760,tr_6,AN19,base,-1.0410713941921834e-05,0.006157569885074099
tr_8::overall_order_sensitive,0.684140214084024,0.684134645914031,0.690168345645946,3975.36967092065,5760,tr_8,AN19,base,5.568169993086514e-06,0.006033699731915032
cnn_2::overall_order_sensitive,0.684140214084024,0.684045633577973,0.690074182552896,3974.82729150468,5760,cnn_2,AN19,ft,9.458050605104518e-05,0.006028548974922998
cnn_3::overall_order_sensitive,0.684140214084024,0.684423174135676,0.68977851860139,3973.12426714401,5760,cnn_3,AN19,ft,-0.00028296005165195925,0.0053553444657139515
cnn_4::overall_order_sensitive,0.684140214084024,0.684285574542137,0.690692565474789,3978.38917713478,5760,cnn_4,AN19,ft,-0.00014536045811297527,0.006406990932651957
cnn_5::overall_order_sensitive,0.684140214084024,0.683962491834036,0.690174141787092,3975.40305669365,5760,cnn_5,AN19,ft,0.00017772224998802155,0.006211649953056009
cnn_6::overall_order_sensitive,0.684140214084024,0.684617769954244,0.690786286828096,3978.92901212983,5760,cnn_6,AN19,ft,-0.0004775558702199145,0.0061685168738520035
tr_0::overall_order_sensitive,0.684140214084024,0.683872972122346,0.690478598791246,3977.15672903758,5760,tr_0,AN19,ft,0.00026724196167804415,0.0066056266688999665
tr_10::overall_order_sensitive,0.684140214084024,0.684119656492187,0.689999844816681,3974.39910614408,5760,tr_10,AN19,ft,2.0557591837055966e-05,0.005880188324493996
tr_12::overall_order_sensitive,0.684140214084024,0.684283050458198,0.690085946838862,3974.89505379184,5760,tr_12,AN19,ft,-0.00014283637417400463,0.005802896380664002
tr_14::overall_order_sensitive,0.684140214084024,0.684178798701421,0.69009425957232,3974.94293513656,5760,tr_14,AN19,ft,-3.858461739691954e-05,0.005915460870899003
tr_16::overall_order_sensitive,0.684140214084024,0.68409203902849,0.690172117886495,3975.39139902621,5760,tr_16,AN19,ft,4.817505553400547e-05,0.006080078858004989
tr_18::overall_order_sensitive,0.684140214084024,0.684008630279501,0.690189814527429,3975.49333167799,5760,tr_18,AN19,ft,0.00013158380452304996,0.006181184247928018
tr_20::overall_order_sensitive,0.684140214084024,0.68401844528181,0.690234581564779,3975.75118981313,5760,tr_20,AN19,ft,0.00012176880221403952,0.00621613628296902
tr_22::overall_order_sensitive,0.684140214084024,0.684186646086753,0.690068115014877,3974.79234248569,5760,tr_22,AN19,ft,-4.6432002728913346e-05,0.005881468928124023
tr_24::overall_order_sensitive,0.684140214084024,0.684037255468784,0.689992104366317,3974.35452114999,5760,tr_24,AN19,ft,0.00010295861524001193,0.0059548488975329494
tr_2::overall_order_sensitive,0.684140214084024,0.684289422507434,0.689980680678557,3974.28872070849,5760,tr_2,AN19,ft,-0.00014920842340993,0.005691258171123037
tr_4::overall_order_sensitive,0.684140214084024,0.684324219890389,0.689966898551064,3974.20933565413,5760,tr_4,AN19,ft,-0.0001840058063650174,0.005642678660674916
tr_6::overall_order_sensitive,0.684140214084024,0.684272068224639,0.690223389671119,3975.68672450564,5760,tr_6,AN19,ft,-0.00013185414061500644,0.005951321446479918
tr_8::overall_order_sensitive,0.684140214084024,0.684123445969799,0.690293305814318,3976.08944149047,5760,tr_8,AN19,ft,1.676811422501867e-05,0.00616985984451901
cnn_2::overall_order_sensitive,0.48721765133721,0.487719898914035,0.492784869613262,8119.61629661773,16477,cnn_2,X21,base,-0.0005022475768249879,0.005064970699227012
cnn_3::overall_order_sensitive,0.48721765133721,0.487036260880948,0.493867620387282,8137.45678112125,16477,cnn_3,X21,base,0.00018139045626203165,0.006831359506334012
cnn_4::overall_order_sensitive,0.48721765133721,0.486966252327366,0.493838712311775,8136.98046276112,16477,cnn_4,X21,base,0.000251399009844,0.006872459984408996
cnn_5::overall_order_sensitive,0.48721765133721,0.487061474653979,0.494208014600972,8143.06545658022,16477,cnn_5,X21,base,0.00015617668323103517,0.007146539946993047
cnn_6::overall_order_sensitive,0.48721765133721,0.487382567099342,0.490355675678278,8079.59046815099,16477,cnn_6,X21,base,-0.00016491576213201187,0.002973108578935957
tr_0::overall_order_sensitive,0.48721765133721,0.48701851829826,0.493885602264819,8137.75306851743,16477,tr_0,X21,base,0.00019913303895002787,0.0068670839665589956
tr_10::overall_order_sensitive,0.48721765133721,0.487418791527925,0.494011697534646,8139.83074027837,16477,tr_10,X21,base,-0.0002011401907149879,0.006592906006721022
