speaker_id,accent,file_word,source_filename,recording_id,real_audio_available,audio_sha256,tr24_feature_present,asr_screening
AN19.ENG.ef1,ENG,wade,ef1hw74 wade.WAV,AN19-rec-e3b5f76d470883981ffb,True,19890b7938d2a089bfcf89125a178ba8ab074fe34984a6a673849596208f6aa4,True,Wade
AN19.ENG.ef2,ENG,wade,ef2hw74 wade.WAV,AN19-rec-1351663fb8ede1f84bc4,True,b658abdb823fac0bef37d5d2fe5ed4855bc5f54339ac750b6883865fe6320876,True,Wade
AN19.ENG.ef3,ENG,wade,ef3hw74 wade.WAV,AN19-rec-c2738165ec358901531e,True,50ce815f9cb85f4bec5d6eb3d41c6d3b7b47f60f66e5b5cb2e804110d458bde3,True,weight.
AN19.ENG.em1,ENG,wade,em1hw74 wade.WAV,AN19-rec-7d90830437bdf109fa4f,True,aaf79b005407f93268cad6a7c53047f3b505867cf66f1e318508febf0621516c,True,Wade.
AN19.ENG.em2,ENG,wade,em2hw74 wade.WAV,AN19-rec-f341978e405703079015,True,84dd9e9b82f676ef1a77592e22d48bdff994eb164a7875a63e30e5058c6c8449,True,Wade.
AN19.ENG.em3,ENG,wade,em3hw74 wade.WAV,AN19-rec-2560712e4db691136871,True,f542f1b6057fb2febb758a38193687b838ea0b49d608c506288ad32c655fee51,True,Wade.
AN19.KOR.kf1,KOR,wave,kf1hw74 wave.wav,AN19-rec-ffda4fada93a7b4a686b,True,c7936e2b67ec3d6579211830fd83d7f7ec6ae937caf93b15c3e3d1cdff67ee36,True,
AN19.KOR.kf2,KOR,wave,Kf2hw74 wave.wav,AN19-rec-576c1dd3c06c4de16dfc,True,c2537822873fe6af03a8043f3564297448022da5cdcdbf864537a83beeb56e10,True,
AN19.KOR.kf3,KOR,wave,kf3hw74 wave.wav,AN19-rec-c532fc266f4c3e9da40c,True,9b9381358b3da7a3f4cff48d86c4b79bdad980c6de3f69cd06d5c80a0a59b240,True,
AN19.KOR.kf4,KOR,wave,kf4hw74 wave.wav,AN19-rec-ca3d9122db52d4e02482,True,7ff7b971e0e6f685dbb8279a4d9b9300121583453bf601eb5a826b35db464e13,True,
AN19.KOR.kf5,KOR,wave,kf5hw74 wave.wav,AN19-rec-57d13b4c99abb9cd350f,True,c90ff498a97c06fc06d95d7fd75985ed1415f34eac2cfe8af50f7fe43ff2ef0f,True,
AN19.KOR.kf6,KOR,wave,kf6hw74 wave.wav,AN19-rec-951fea78da44f6b8e45a,True,363fa379edc989f4af8f4695b94cb5e9086138b5e2863cc80c3ef8d079faae7c,True,
AN19.KOR.km1,KOR,wave,km1hw74 wave.wav,AN19-rec-30ccae21075024154c6c,True,12f3cbbbd278f6d315efa0a917b470f638f4a7699ba324bca13a926271ca2352,True,
AN19.KOR.km2,KOR,wave,km2hw74 wave.wav,AN19-rec-1ee510489b5d212e60a4,True,7742841b1e4a56d1533f058a90ba9c55222d47c5f3a7dbc71687f771347f8bf5,True,
AN19.KOR.km3,KOR,wave,km3hw74 wave.wav,AN19-rec-3ac473fefce89c515dba,True,9329a6a49fcd6ffd930c53465aca3a41c7b588e465721a54e21deaf8793daf3c,True,Wave.
AN19.KOR.km6,KOR,wave,km6hw74 wave.wav,AN19-rec-b0cd779d23610e0516c7,True,ee83fba32c27269816ae311d618d6eaba2876e0f4db8f4f3ef3fb7bc52a98ee3,True,Wave.
AN19.KOR.km7,KOR,wave,km7hw74 wave.wav,AN19-rec-59c7635de8a9df353328,True,673ee804b03aa61008f657bed134955291e15b9de0188fe5e9586466ed0d116d,True,
AN19.KOR.km8,KOR,wave,km8hw74 wave.wav,AN19-rec-28861f7e86b19634f212,True,8b20129068a437b5b10353d97109a81f47e48d104c1fc92c36be5059655d194d,True,
AN19.MIX.if1,MIX,wave,If1hw74 wave.wav,AN19-rec-6cdfdbaa7dede2e0fba2,True,884434249fcf20bd10c2e1b8924d94f0f6270f2b6125cb4b9f3dc10f6ffa77d3,True,
AN19.MIX.if2,MIX,wave,IF2hw74 wave.wav,AN19-rec-5b118f5365c23d9475c4,True,650a553dfddfeee988cf299855d4feaef0bd4e4ae56726920fcf34e277d0d9a2,True,
