recording_id,speaker_id,word,source_wav_relpath
AN19-rec-d27436921808918b6273,AN19.KOR.kf1,judge,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf1/kf1ew50 judge.wav
AN19-rec-a8c9d02aa8aa6c6c75fc,AN19.KOR.kf1,dog,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf1/kf1ew51 dog.wav
AN19-rec-747a2f67c6727c9a5e21,AN19.KOR.kf1,league,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf1/kf1ew53 league.wav
AN19-rec-cd93755eac5cf536ed35,AN19.KOR.kf1,hung,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf1/kf1ew56 hung.wav
AN19-rec-c4b391fbfedb4dab5b89,AN19.KOR.kf1,bun,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf1/kf1hw52 bun.wav
AN19-rec-4ac7bda6a7baa4787421,AN19.KOR.kf1,lice,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf1/kf1hw54 lice.wav
AN19-rec-c83ac1c2e37690856a88,AN19.KOR.kf1,wick,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf1/kf1hw56 wick.wav
AN19-rec-e3949d4c00bf54f00ee2,AN19.KOR.kf1,mote,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf1/kf1hw58 mote.wav
AN19-rec-4e22b6caf9291b22924b,AN19.KOR.kf2,judge,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf2/kf2ew50 judge.wav
AN19-rec-e5ec55f83fd517a6d1b1,AN19.KOR.kf2,dog,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf2/kf2ew51 dog.wav
AN19-rec-7455a50b50dfcb0b3e44,AN19.KOR.kf2,league,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf2/kf2ew53 league.wav
AN19-rec-b326566f26439e604d0f,AN19.KOR.kf2,hung,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf2/kf2ew56 hung.wav
AN19-rec-f448d385cb3bc09e88f6,AN19.KOR.kf2,bun,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf2/kf2hw52 bun.wav
AN19-rec-4302f29e2e732e320536,AN19.KOR.kf2,lice,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf2/kf2hw54 lice.wav
AN19-rec-b3b9923f5eed5cddc108,AN19.KOR.kf2,wick,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf2/Kf2hw56 wick.wav
AN19-rec-be427d431d55aad97a22,AN19.KOR.kf2,mote,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf2/Kf2hw58 mote.wav
AN19-rec-254e243417a3c17041ee,AN19.KOR.kf3,vote,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf3/kf3ew52 vote.wav
AN19-rec-0e0da6e8eea07ec22d9b,AN19.KOR.kf3,thick,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf3/kf3ew54 thick.wav
AN19-rec-0fc2b3d7b7206014db75,AN19.KOR.kf3,page,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf3/kf3ew55 page.wav
AN19-rec-b908d020849f92e50575,AN19.KOR.kf3,join,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf3/kf3ew57 join.wav
AN19-rec-f4dca73475edd9a37966,AN19.KOR.kf3,gut,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf3/kf3hw53 gut.wav
AN19-rec-35d6edfef139dad0e8de,AN19.KOR.kf3,hurl,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf3/kf3hw57 hurl.wav
AN19-rec-12745f7bcc936f9522ed,AN19.KOR.kf3,teat,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf3/kf3hw59 teat.wav
AN19-rec-f68ad87d01df4c80f630,AN19.KOR.kf3,hoot,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf3/kf3hw62 hoot.wav
AN19-rec-bc3be77d1966626f4edc,AN19.KOR.kf4,vote,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf4/kf4ew52 vote.wav
AN19-rec-653f45dfbf72dec94eb9,AN19.KOR.kf4,thick,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf4/kf4ew54 thick.wav
AN19-rec-aba115d0e349646b9ef1,AN19.KOR.kf4,page,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf4/kf4ew55 page.wav
AN19-rec-ffb78b450d98db59a947,AN19.KOR.kf4,join,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf4/kf4ew57 join.wav
AN19-rec-18a9d4f41335873eb070,AN19.KOR.kf4,gut,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf4/kf4hw53 gut.wav
AN19-rec-fa200985e6ab4e652d01,AN19.KOR.kf4,hurl,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf4/kf4hw57 hurl.wav
AN19-rec-e1d6f69d3cbc9ef14f44,AN19.KOR.kf4,teat,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf4/kf4hw59 teat.wav
AN19-rec-e78f403e9c753613cb24,AN19.KOR.kf4,hoot,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf4/kf4hw62 hoot.wav
AN19-rec-576fcdfe554548452601,AN19.KOR.kf5,shop,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf5/kf5ew58 shop.wav
AN19-rec-55cd78055e705b163184,AN19.KOR.kf5,roof,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf5/kf5ew59 roof.wav
AN19-rec-a5e30066178d51dd33b4,AN19.KOR.kf5,pull,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf5/kf5ew64 pull.wav
AN19-rec-4cdac32d74c829204cfb,AN19.KOR.kf5,chain,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf5/kf5ew65 chain.wav
AN19-rec-d041b66d7a915f41e57d,AN19.KOR.kf5,mid,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf5/kf5hw55 mid.wav
AN19-rec-36347a437c1185912247,AN19.KOR.kf5,hash,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf5/kf5hw60 hash.wav
AN19-rec-ea4e22db8c2e2a3533b8,AN19.KOR.kf5,hid,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf5/kf5hw61 hid.wav
AN19-rec-dab51e99088a6fc47d72,AN19.KOR.kf5,mace,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf5/kf5hw63 mace.wav
AN19-rec-1d21c79a16ac3b6e949f,AN19.KOR.kf6,shop,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf6/kf6ew58 shop.wav
AN19-rec-581ead41eb8d55ac58ca,AN19.KOR.kf6,roof,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf6/kf6ew59 roof.wav
AN19-rec-3929c4522019a1fb732e,AN19.KOR.kf6,pull,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf6/kf6ew64 pull.wav
AN19-rec-b4219d4dc939ef5c633b,AN19.KOR.kf6,chain,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf6/kf6ew65 chain.wav
AN19-rec-4348d5d0ada9848216e0,AN19.KOR.kf6,mid,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf6/kf6hw55 mid.wav
AN19-rec-5b9305f224cb6653a498,AN19.KOR.kf6,hash,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf6/kf6hw60 hash.wav
AN19-rec-19b6117c2fcabd0e7910,AN19.KOR.kf6,hid,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf6/kf6hw61 hid.wav
AN19-rec-11be2bc3240cca1618de,AN19.KOR.kf6,mace,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/kf6/kf6hw63 mace.wav
AN19-rec-0cd77e207f2c1a20b459,AN19.KOR.km1,leg,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km1/km1ew60 leg.wav
AN19-rec-d1786429ffe377f5ac0b,AN19.KOR.km1,lose,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km1/km1ew61 lose.wav
AN19-rec-466ef5d6e4722b405524,AN19.KOR.km1,theme,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km1/km1ew62 theme.wav
AN19-rec-dea3b318b204faf34c56,AN19.KOR.km1,soil,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km1/km1ew63 soil.wav
AN19-rec-00b0080c896440442143,AN19.KOR.km1,main,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km1/km1hw64 main.wav
AN19-rec-a418f21a7a2aba39c134,AN19.KOR.km1,moan,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km1/km1hw65 moan.wav
AN19-rec-00cd2a165259bb4e0496,AN19.KOR.km1,mum,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km1/km1hw66 mum.wav
AN19-rec-6a937297c85ac3d7c001,AN19.KOR.km1,rim,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km1/km1hw67 rim.wav
AN19-rec-2fe565767a320399b8b9,AN19.KOR.km2,leg,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km2/km2ew60 leg.wav
AN19-rec-65836cddef83f89e36ad,AN19.KOR.km2,lose,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km2/km2ew61 lose.wav
AN19-rec-9606b29a3bd5c12d1f07,AN19.KOR.km2,theme,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km2/km2ew62 theme.wav
AN19-rec-ee7ac91ca8756020de56,AN19.KOR.km2,soil,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km2/km2ew63 soil.wav
AN19-rec-c65edcd5a6610e7d9d44,AN19.KOR.km2,main,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km2/km2hw64 main.wav
AN19-rec-c8d9ae15df3bedec17bc,AN19.KOR.km2,moan,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km2/km2hw65 moan.wav
AN19-rec-4c8f44329d23e09ffb5a,AN19.KOR.km2,mum,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km2/km2hw66 mum.wav
AN19-rec-921921b88821238aec3a,AN19.KOR.km2,rim,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km2/km2hw67 rim.wav
AN19-rec-dba4be25a95c71a4238c,AN19.KOR.km3,curve,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km3/km3ew66 curve.wav
AN19-rec-ea0aac3235d06709ca68,AN19.KOR.km3,path,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km3/km3ew67 path.wav
AN19-rec-f354e84cc4f72666a83e,AN19.KOR.km3,noise,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km3/km3ew72 noise.wav
AN19-rec-ea49fe2066cc124f4155,AN19.KOR.km3,wash,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km3/km3ew73 wash.wav
AN19-rec-c54ffd9ada4c289f7f41,AN19.KOR.km3,route,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km3/km3hw68 route.wav
AN19-rec-07d2177457a473d16f05,AN19.KOR.km3,wail,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km3/km3hw69 wail.wav
AN19-rec-3ac473fefce89c515dba,AN19.KOR.km3,wave,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km3/km3hw74 wave.wav
AN19-rec-d63ae1ad172687440a75,AN19.KOR.km3,weed,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km3/km3hw75 weed.wav
AN19-rec-9ee4c6a03243ed7180e3,AN19.KOR.km6,curve,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km6/km6ew66 curve.wav
AN19-rec-056d823ed319234cb09f,AN19.KOR.km6,path,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km6/km6ew67 path.wav
AN19-rec-d1e485555dfeaab714ac,AN19.KOR.km6,noise,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km6/km6ew72 noise.wav
AN19-rec-afccf10d609a3e61b462,AN19.KOR.km6,wash,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km6/km6ew73 wash.wav
AN19-rec-e635c99cc3fc2497a9a2,AN19.KOR.km6,route,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km6/km6hw68 route.wav
AN19-rec-7eb5ceba6ce5963324b5,AN19.KOR.km6,wail,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km6/km6hw69 wail.wav
AN19-rec-b0cd779d23610e0516c7,AN19.KOR.km6,wave,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km6/km6hw74 wave.wav
AN19-rec-f1f270db6ff535d947d5,AN19.KOR.km6,weed,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km6/km6hw75 weed.wav
AN19-rec-fa9aa001b26d761eea2b,AN19.KOR.km7,real,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km7/km7ew18 real.wav
AN19-rec-be65c4e46aa7d6819f5c,AN19.KOR.km7,dirt,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km7/km7ew68 dirt.wav
AN19-rec-03028c8b783bdbde83a9,AN19.KOR.km7,vice,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km7/km7ew69 vice.wav
AN19-rec-08c15860673f09191da0,AN19.KOR.km7,fig,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km7/km7ew75 fig.wav
AN19-rec-a7eae9ee9ddf0a0eff17,AN19.KOR.km7,suck,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km7/km7hw29 suck.wav
AN19-rec-f5fe81e1dce196b0ece5,AN19.KOR.km7,hum,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km7/km7hw70 hum.wav
AN19-rec-0f60995ad3f406bd4350,AN19.KOR.km7,beak,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km7/km7hw72 beak.wav
AN19-rec-c501cadf59b1aec98145,AN19.KOR.km7,hag,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km7/km7hw73 hag.wav
AN19-rec-a2cee94d85114667d084,AN19.KOR.km8,real,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km8/km8ew18 real.wav
AN19-rec-6846aa179caf273d92ee,AN19.KOR.km8,dirt,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km8/km8ew68 dirt.wav
AN19-rec-ee4860db9c8f790c6284,AN19.KOR.km8,vice,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km8/km8ew69 vice.wav
AN19-rec-cb42db8f47a682cffbde,AN19.KOR.km8,fig,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km8/km8ew75 fig.wav
AN19-rec-f2475772c52f81d7a1de,AN19.KOR.km8,suck,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km8/km8hw29 suck.wav
AN19-rec-0d9882c36e1493e91bd4,AN19.KOR.km8,hum,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km8/km8hw70 hum.wav
AN19-rec-71fa37166ce8e550a7bf,AN19.KOR.km8,beak,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km8/km8hw72 beak.wav
AN19-rec-9eac2bca2f7312c0ac03,AN19.KOR.km8,hag,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Korean L2-English/km8/km8hw73 hag.wav
AN19-rec-910a8f14ea27c1b6692e,AN19.SPA.sf1,judge,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Spanish L2-English/sf1/sf1ew50 judge.wav
AN19-rec-e5f93ed719ec1f23f4bd,AN19.SPA.sf1,dog,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Spanish L2-English/sf1/sf1ew51 dog.wav
AN19-rec-51ecb0823b6354e05ef7,AN19.SPA.sf1,league,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Spanish L2-English/sf1/sf1ew53 league.wav
AN19-rec-ac36e4cea8f87eada131,AN19.SPA.sf1,hung,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Spanish L2-English/sf1/sf1ew56 hung.wav
AN19-rec-3c347bc6e72fc051aea2,AN19.SPA.sf1,bun,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Spanish L2-English/sf1/sf1hw52 bun.wav
AN19-rec-27b4824aed32d64a0a40,AN19.SPA.sf1,lice,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Spanish L2-English/sf1/sf1hw54 lice.wav
AN19-rec-051ee5bae748dbe028d9,AN19.SPA.sf1,wick,data/raw_data/alexander_nygaard19/sound_stimuli/L1-Spanish L2-English/sf1/sf1hw56 wick.wav
