InventoryID,ISO6393,LanguageName,Phoneme,SegmentClass,Source
1,kor,Korean,a,vowel,spa
1,kor,Korean,aː,vowel,spa
1,kor,Korean,æ,vowel,spa
1,kor,Korean,æː,vowel,spa
1,kor,Korean,e,vowel,spa
1,kor,Korean,eː,vowel,spa
1,kor,Korean,ɤ,vowel,spa
1,kor,Korean,ɤː,vowel,spa
1,kor,Korean,h,consonant,spa
1,kor,Korean,i,vowel,spa
1,kor,Korean,iː,vowel,spa
1,kor,Korean,j,consonant,spa
1,kor,Korean,k,consonant,spa
1,kor,Korean,kʰ,consonant,spa
1,kor,Korean,kˀ,consonant,spa
1,kor,Korean,l,consonant,spa
1,kor,Korean,m,consonant,spa
1,kor,Korean,n,consonant,spa
1,kor,Korean,ŋ,consonant,spa
1,kor,Korean,o,vowel,spa
1,kor,Korean,ø,vowel,spa
1,kor,Korean,oː,vowel,spa
1,kor,Korean,p,consonant,spa
1,kor,Korean,pʰ,consonant,spa
1,kor,Korean,pˀ,consonant,spa
1,kor,Korean,s,consonant,spa
1,kor,Korean,sˀ,consonant,spa
1,kor,Korean,t,consonant,spa
1,kor,Korean,tʰ,consonant,spa
1,kor,Korean,t̠ʃ,consonant,spa
1,kor,Korean,t̠ʃʰ,consonant,spa
1,kor,Korean,t̠ʃˀ,consonant,spa
1,kor,Korean,tˀ,consonant,spa
1,kor,Korean,u,vowel,spa
1,kor,Korean,uː,vowel,spa
1,kor,Korean,ɯ,vowel,spa
1,kor,Korean,ɯː,vowel,spa
1,kor,Korean,w,consonant,spa
1,kor,Korean,y,vowel,spa
1,kor,Korean,ʔ,consonant,spa
16,cmn,Mandarin Chinese,a,vowel,spa
16,cmn,Mandarin Chinese,a˞,vowel,spa
16,cmn,Mandarin Chinese,a̟˞,vowel,spa
16,cmn,Mandarin Chinese,ɑ̃˞,vowel,spa
16,cmn,Mandarin Chinese,ç,consonant,spa
16,cmn,Mandarin Chinese,cç,consonant,spa
16,cmn,Mandarin Chinese,cçʰ,consonant,spa
16,cmn,Mandarin Chinese,ə˞,vowel,spa
16,cmn,Mandarin Chinese,ə̃˞,vowel,spa
16,cmn,Mandarin Chinese,ɤ,vowel,spa
16,cmn,Mandarin Chinese,ɤ˞,vowel,spa
16,cmn,Mandarin Chinese,f,consonant,spa
16,cmn,Mandarin Chinese,i,vowel,spa
16,cmn,Mandarin Chinese,j,consonant,spa
16,cmn,Mandarin Chinese,k,consonant,spa
16,cmn,Mandarin Chinese,kʰ,consonant,spa
16,cmn,Mandarin Chinese,l,consonant,spa
