dataset,speaker_id,original_label,language,iso6393,branch
AN19,AN19.MIX.if1,Albanian,Albanian,als,Albanian
AN19,AN19.MIX.if6,Somalian,Somali,som,Cushitic
AN19,AN19.MIX.if2,Dutch,Dutch,nld,Germanic
AN19,AN19.MIX.if4,German,German,deu,Germanic
AN19,AN19.MIX.im2,Bengali,Bengali,ben,Indo-Aryan
AN19,AN19.MIX.im6,Indian,Hindi,hin,Indo-Aryan
AN19,AN19.MIX.if5,Japanese,Japanese,jpn,Japonic
AN19,AN19.KOR.kf1,Korean,Korean,kor,Koreanic
AN19,AN19.KOR.kf2,Korean,Korean,kor,Koreanic
AN19,AN19.KOR.kf3,Korean,Korean,kor,Koreanic
AN19,AN19.KOR.kf4,Korean,Korean,kor,Koreanic
AN19,AN19.KOR.kf5,Korean,Korean,kor,Koreanic
AN19,AN19.KOR.kf6,Korean,Korean,kor,Koreanic
AN19,AN19.KOR.km1,Korean,Korean,kor,Koreanic
AN19,AN19.KOR.km2,Korean,Korean,kor,Koreanic
AN19,AN19.KOR.km3,Korean,Korean,kor,Koreanic
AN19,AN19.KOR.km6,Korean,Korean,kor,Koreanic
AN19,AN19.KOR.km7,Korean,Korean,kor,Koreanic
AN19,AN19.KOR.km8,Korean,Korean,kor,Koreanic
AN19,AN19.MIX.if3,French,French,fra,Romance
AN19,AN19.MIX.im1,Romanian,Romanian,ron,Romance
AN19,AN19.SPA.sf1,Spanish,Spanish,spa,Romance
AN19,AN19.SPA.sf2,Spanish,Spanish,spa,Romance
AN19,AN19.SPA.sf3,Spanish,Spanish,spa,Romance
AN19,AN19.SPA.sf4,Spanish,Spanish,spa,Romance
AN19,AN19.SPA.sf5,Spanish,Spanish,spa,Romance
AN19,AN19.SPA.sf6,Spanish,Spanish,spa,Romance
AN19,AN19.SPA.sm2,Spanish,Spanish,spa,Romance
AN19,AN19.SPA.sm3,Spanish,Spanish,spa,Romance
AN19,AN19.SPA.sm4,Spanish,Spanish,spa,Romance
AN19,AN19.SPA.sm5,Spanish,Spanish,spa,Romance
AN19,AN19.SPA.sm6,Spanish,Spanish,spa,Romance
AN19,AN19.SPA.sm7,Spanish,Spanish,spa,Romance
AN19,AN19.MIX.im4,Chinese,Mandarin,cmn,Sinitic
AN19,AN19.MIX.im3,Russian,Russian,rus,Slavic
AN19,AN19.MIX.im5,Turkish,Turkish,tur,Turkic
