dataset_id,talker_id,mean_l2_l1_dtw,control_accuracy,accuracy_ci_low,accuracy_ci_high,n_control_participants,n_response_units,n_english_reference_talkers,l1_similarity_z
AN19,AN19.KOR.kf1,18.135691409639488,0.5555555555555556,0.4444444444444444,0.6527777777777778,9,72,12,-0.38248690417578846
AN19,AN19.KOR.kf2,16.87126421186179,0.5909090909090909,0.5338068181818182,0.6477272727272727,11,88,12,0.35946512248571766
AN19,AN19.KOR.kf3,17.88221033015248,0.4583333333333333,0.4027777777777778,0.5138888888888888,9,72,12,-0.23374698385749892
AN19,AN19.KOR.kf4,15.991642025210503,0.45454545454545453,0.42045454545454547,0.48863636363636365,11,88,12,0.875617784520664
AN19,AN19.KOR.kf5,16.605385956361943,0.6666666666666666,0.5694444444444444,0.75,9,72,12,0.5154795698655648
AN19,AN19.KOR.kf6,17.346477326691982,0.5227272727272727,0.45454545454545453,0.6022727272727273,11,88,12,0.08061527311196388
AN19,AN19.KOR.km1,18.503168617833524,0.8194444444444444,0.7222222222222222,0.9027777777777778,9,72,12,-0.5981185038840793
AN19,AN19.KOR.km2,15.1078098137788,0.875,0.8181818181818182,0.9431818181818182,11,88,12,1.39424084297196
AN19,AN19.KOR.km3,16.220425399636145,0.8472222222222222,0.7777777777777778,0.9027777777777778,9,72,12,0.741370206945694
AN19,AN19.KOR.km6,17.726623376614494,0.7386363636363636,0.6477272727272727,0.8295454545454546,11,88,12,-0.14245026412346784
AN19,AN19.KOR.km7,14.74309978989289,0.6931818181818182,0.625,0.7840909090909091,11,88,12,1.6082486892453614
AN19,AN19.KOR.km8,14.588365461966662,0.7222222222222222,0.6527777777777778,0.7777777777777778,9,72,12,1.699045097611733
AN19,AN19.SPA.sf1,20.40714914075062,0.15,0.1,0.2,10,80,12,-1.715353414826524
AN19,AN19.SPA.sf2,19.501558805462697,0.3625,0.2625,0.45,10,80,12,-1.1839629276772
AN19,AN19.SPA.sf3,17.817961584323594,0.45,0.3871875,0.5375,10,80,12,-0.19604652371081568
AN19,AN19.SPA.sf4,21.612480344067567,0.225,0.1625,0.2875,10,80,12,-2.4226285593909083
AN19,AN19.SPA.sf5,16.166603880360626,0.6125,0.5125,0.7125,10,80,12,0.7729520847909804
AN19,AN19.SPA.sf6,17.935393927079726,0.4875,0.4375,0.55,10,80,12,-0.2649545358578614
AN19,AN19.SPA.sm2,18.36512660021418,0.4875,0.4,0.5625,10,80,12,-0.5171169603257583
AN19,AN19.SPA.sm3,19.6918895929379,0.4375,0.3875,0.4875,10,80,12,-1.2956469485140687
AN19,AN19.SPA.sm4,16.639485554176883,0.7125,0.65,0.775,10,80,12,0.4954702994610657
AN19,AN19.SPA.sm5,15.889009392156126,0.575,0.5375,0.6125,10,80,12,0.9358414891595207
AN19,AN19.SPA.sm6,18.415528334280037,0.5625,0.525,0.6,10,80,12,-0.5466921456769928
AN19,AN19.SPA.sm7,17.44831471078528,0.4,0.3375,0.4625,10,80,12,0.02085821185076487
X21,X21.CMN.CMN_M_032,8.307397287425605,0.7456310679611651,0.6770047696175832,0.8040737148399612,20,1030,10,0.22945932929258517
X21,X21.CMN.CMN_M_035,9.756041017487059,0.804284323271665,0.7572763438313995,0.845332500171328,20,1027,10,-1.5746306547564728
X21,X21.CMN.CMN_M_037,7.525490035705699,0.7757281553398059,0.711230095362332,0.8328555073597383,20,1030,10,1.2032191378711694
X21,X21.CMN.CMN_M_043,8.377663556447617,0.8194174757281554,0.7592583603020496,0.8725711893984942,20,1030,10,0.14195218759272035
