dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high
AN19,SBI,base,HuBERT base,tr_24,predictor_only,0.053812809631688975,0.04549935897052862,0.0616811243987214,5685,120,5685,,
AN19,SBI,base,HuBERT base,tr_24,predictor_beyond_condition,0.05198255446530732,0.04510577082798075,0.05863398567000185,5685,120,5685,,
AN19,SBI,base,HuBERT base,tr_24,condition_beyond_predictor,0.005574205641712179,-0.005894687113801417,0.01618755207720988,5685,120,5685,,
AN19,SBI,base,HuBERT base,tr_24,predictor_only_percent_ceiling,15.578819412559621,13.619154044850378,17.434776014330733,5685,120,5685,96.52134673500365,106.1920694292525
AN19,SBI,ft,HuBERT ASR-FT,tr_24,predictor_only,0.03176497981507948,0.025684527161155442,0.03802294838936043,5685,120,5685,,
AN19,SBI,ft,HuBERT ASR-FT,tr_24,predictor_beyond_condition,0.027379864783447887,0.02263628020870557,0.03185838931143944,5685,120,5685,,
AN19,SBI,ft,HuBERT ASR-FT,tr_24,condition_beyond_predictor,0.0030193457764622284,-0.00850683445836201,0.014043671078623726,5685,120,5685,,
AN19,SBI,ft,HuBERT ASR-FT,tr_24,predictor_only_percent_ceiling,9.195968163894456,7.81982083879942,10.621882047073658,5685,120,5685,96.52134673500365,106.1920694292525
AN19,SBI,acoustic,acoustic,mfcc39,predictor_only,0.030110470840220716,0.026807561661870715,0.03334713227435106,5685,120,5685,,
AN19,SBI,acoustic,acoustic,mfcc39,predictor_beyond_condition,0.02929361034464153,0.026235105788906917,0.03251441495152252,5685,120,5685,,
AN19,SBI,acoustic,acoustic,mfcc39,condition_beyond_predictor,0.0065876003125146425,-0.00516139584035937,0.018595096765272094,5685,120,5685,,
AN19,SBI,acoustic,acoustic,mfcc39,predictor_only_percent_ceiling,8.71698747672726,7.831499600703133,9.610159081301662,5685,120,5685,96.52134673500365,106.1920694292525
AN19,SBI,acoustic,acoustic,strf24_legacy,predictor_only,0.05190543958159595,0.04649920550957229,0.05745141501050451,5685,120,5685,,
AN19,SBI,acoustic,acoustic,strf24_legacy,predictor_beyond_condition,0.04805750793376745,0.04358161807339778,0.052766459597685444,5685,120,5685,,
AN19,SBI,acoustic,acoustic,strf24_legacy,condition_beyond_predictor,0.003556529160265331,-0.007461140866511806,0.014345234908233284,5685,120,5685,,
AN19,SBI,acoustic,acoustic,strf24_legacy,predictor_only_percent_ceiling,15.026635392310547,13.719021897544085,16.376891994253512,5685,120,5685,96.52134673500365,106.1920694292525
AN19,HVE,base,base,tr_24::between_type_word,predictor_only,-0.0002565166223515732,-0.0026520472373713425,0.00231497068166177,5760,120,5760,,
AN19,HVE,base,base,tr_24::between_type_word,predictor_beyond_condition,-7.684497689819535e-05,-0.0016045165226612444,0.0014105664788792353,5760,120,5760,,
AN19,HVE,base,base,tr_24::between_type_word,condition_beyond_predictor,0.006125184930811706,-0.006779401408709273,0.01883102887019209,5760,120,5760,,
AN19,HVE,base,base,tr_24::between_type_word,predictor_only_percent_ceiling,-0.07518365590077598,-0.7736795979094553,0.6559509605391651,5760,120,5760,96.47358390118681,105.97883352593493
AN19,HVE,base,base,tr_24::mean_dissimilarity_word,predictor_only,-0.00048780748317248774,-0.0026701771955210197,0.001591583804294013,5760,120,5760,,
AN19,HVE,base,base,tr_24::mean_dissimilarity_word,predictor_beyond_condition,0.0002936021987927236,-0.0008299711581140041,0.001354027705890993,5760,120,5760,,
AN19,HVE,base,base,tr_24::mean_dissimilarity_word,condition_beyond_predictor,0.0067269229673235405,-0.005737470752514457,0.01871500962411797,5760,120,5760,,
AN19,HVE,base,base,tr_24::mean_dissimilarity_word,predictor_only_percent_ceiling,-0.14297377543977693,-0.7645538178921119,0.4815484754458757,5760,120,5760,96.47358390118681,105.97883352593493
AN19,HVE,base,base,tr_24::order_word,predictor_only,-0.0004009669737749114,-0.0038541252886029236,0.0027656074336709566,5760,120,5760,,
AN19,HVE,base,base,tr_24::order_word,predictor_beyond_condition,-0.0007994755719190335,-0.0026933142351061212,0.000789913906047388,5760,120,5760,,
AN19,HVE,base,base,tr_24::order_word,condition_beyond_predictor,0.005547004687214208,-0.006938827041650247,0.017918338972563376,5760,120,5760,,
AN19,HVE,base,base,tr_24::order_word,predictor_only_percent_ceiling,-0.11752128461504172,-1.1381293883174952,0.7899227531076097,5760,120,5760,96.47358390118681,105.97883352593493
