dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high,display
AN19,SBI,base,HuBERT base,tr_24,predictor_only_percent_ceiling,15.578819412559621,13.619154044850378,17.434776014330733,5685,120,5685,96.52134673500365,106.1920694292525,HuBERT base
AN19,SBI,ft,HuBERT ASR-FT,tr_24,predictor_only_percent_ceiling,9.195968163894456,7.81982083879942,10.621882047073658,5685,120,5685,96.52134673500365,106.1920694292525,HuBERT ASR-FT
AN19,SBI,acoustic,acoustic,mfcc39,predictor_only_percent_ceiling,8.71698747672726,7.831499600703133,9.610159081301662,5685,120,5685,96.52134673500365,106.1920694292525,MFCC39
AN19,SBI,acoustic,acoustic,strf24_legacy,predictor_only_percent_ceiling,15.026635392310547,13.719021897544085,16.376891994253512,5685,120,5685,96.52134673500365,106.1920694292525,STRF24
X21,SBI,base,HuBERT base,tr_24,predictor_only_percent_ceiling,7.318404735233705,5.776186604161724,8.854671939469819,16477,320,16477,79.88342397630605,115.07691975609953,HuBERT base
X21,SBI,ft,HuBERT ASR-FT,tr_24,predictor_only_percent_ceiling,7.549767795342069,6.040050889080401,8.97496726238995,16477,320,16477,79.88342397630605,115.07691975609953,HuBERT ASR-FT
X21,SBI,acoustic,acoustic,mfcc39,predictor_only_percent_ceiling,3.9086556958635637,1.4592742919841712,6.211318364573854,16477,320,16477,79.88342397630605,115.07691975609953,MFCC39
X21,SBI,acoustic,acoustic,strf24_legacy,predictor_only_percent_ceiling,3.5657181512243716,1.4215959489672114,5.538468907992348,16477,320,16477,79.88342397630605,115.07691975609953,STRF24
B23,SBI,base,HuBERT base,tr_24,predictor_only_percent_ceiling,0.7680673903217906,0.5634313650318077,0.9678527496295235,10080,168,54096,96.16707054105137,102.19993902511295,HuBERT base
B23,SBI,ft,HuBERT ASR-FT,tr_24,predictor_only_percent_ceiling,0.404370031236222,0.217187721924892,0.6056071603176623,10080,168,54096,96.16707054105137,102.19993902511295,HuBERT ASR-FT
B23,SBI,acoustic,acoustic,mfcc39,predictor_only_percent_ceiling,-0.02650341455525806,-0.21831007590585486,0.15538382527745892,10080,168,54096,96.16707054105137,102.19993902511295,MFCC39
B23,SBI,acoustic,acoustic,strf24_legacy,predictor_only_percent_ceiling,0.29143292606990373,0.15024041241230823,0.4383194798516615,10080,168,54096,96.16707054105137,102.19993902511295,STRF24
