dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high,display
AN19,SBI,base,HuBERT base,tr_24,predictor_beyond_condition,0.05198255446530732,0.04510577082798075,0.05863398567000185,5685,120,5685,,,HuBERT base
AN19,SBI,base,HuBERT base,tr_24,condition_beyond_predictor,0.005574205641712179,-0.005894687113801417,0.01618755207720988,5685,120,5685,,,HuBERT base
AN19,SBI,ft,HuBERT ASR-FT,tr_24,predictor_beyond_condition,0.027379864783447887,0.02263628020870557,0.03185838931143944,5685,120,5685,,,HuBERT ASR-FT
AN19,SBI,ft,HuBERT ASR-FT,tr_24,condition_beyond_predictor,0.0030193457764622284,-0.00850683445836201,0.014043671078623726,5685,120,5685,,,HuBERT ASR-FT
AN19,SBI,acoustic,acoustic,mfcc39,predictor_beyond_condition,0.02929361034464153,0.026235105788906917,0.03251441495152252,5685,120,5685,,,MFCC39
AN19,SBI,acoustic,acoustic,mfcc39,condition_beyond_predictor,0.0065876003125146425,-0.00516139584035937,0.018595096765272094,5685,120,5685,,,MFCC39
AN19,SBI,acoustic,acoustic,strf24_legacy,predictor_beyond_condition,0.04805750793376745,0.04358161807339778,0.052766459597685444,5685,120,5685,,,STRF24
AN19,SBI,acoustic,acoustic,strf24_legacy,condition_beyond_predictor,0.003556529160265331,-0.007461140866511806,0.014345234908233284,5685,120,5685,,,STRF24
X21,SBI,base,HuBERT base,tr_24,predictor_beyond_condition,0.004847286283169813,0.004093699286765808,0.005600310985956866,16477,320,16477,,,HuBERT base
X21,SBI,base,HuBERT base,tr_24,condition_beyond_predictor,0.0012146673168596336,-0.0030626446146626222,0.006038244396433664,16477,320,16477,,,HuBERT base
X21,SBI,ft,HuBERT ASR-FT,tr_24,predictor_beyond_condition,0.006465984384578461,0.005466768778242088,0.0074651682069477015,16477,320,16477,,,HuBERT ASR-FT
X21,SBI,ft,HuBERT ASR-FT,tr_24,condition_beyond_predictor,0.0025047897471214566,-0.002077178832056974,0.007182927767125501,16477,320,16477,,,HuBERT ASR-FT
X21,SBI,acoustic,acoustic,mfcc39,predictor_beyond_condition,-0.00018913367853976509,-0.000301159024736277,-7.888230127922837e-05,16477,320,16477,,,MFCC39
X21,SBI,acoustic,acoustic,mfcc39,condition_beyond_predictor,0.0010206823511625751,-0.0025315533409268143,0.004770720182743402,16477,320,16477,,,MFCC39
X21,SBI,acoustic,acoustic,strf24_legacy,predictor_beyond_condition,3.1793756747379597e-06,-0.00014863558876754065,0.0001469809894909523,16477,320,16477,,,STRF24
X21,SBI,acoustic,acoustic,strf24_legacy,condition_beyond_predictor,0.0017000261951604196,-0.0022163237087763593,0.006172229504204781,16477,320,16477,,,STRF24
B23,SBI,base,HuBERT base,tr_24,predictor_beyond_condition,0.0005309439098479078,0.0004097276226368046,0.000656278096669576,10080,168,54096,,,HuBERT base
B23,SBI,base,HuBERT base,tr_24,condition_beyond_predictor,-0.0011241144162609884,-0.0042265174139204985,0.0022417436972675016,10080,168,54096,,,HuBERT base
B23,SBI,ft,HuBERT ASR-FT,tr_24,predictor_beyond_condition,0.0002612951196647993,0.00014280795756438524,0.0003820902008105643,10080,168,54096,,,HuBERT ASR-FT
B23,SBI,ft,HuBERT ASR-FT,tr_24,condition_beyond_predictor,-0.0011388776998971998,-0.00429927734439172,0.002171512008490994,10080,168,54096,,,HuBERT ASR-FT
B23,SBI,acoustic,acoustic,mfcc39,predictor_beyond_condition,1.4438867027027318e-05,-0.00012998139133915112,0.00015999667449334584,10080,168,54096,,,MFCC39
B23,SBI,acoustic,acoustic,mfcc39,condition_beyond_predictor,-0.0010837702628224764,-0.004067037206898269,0.0022436146241175863,10080,168,54096,,,MFCC39
B23,SBI,acoustic,acoustic,strf24_legacy,predictor_beyond_condition,0.00022779963219083356,0.00011767707040143232,0.00034124562817110883,10080,168,54096,,,STRF24
B23,SBI,acoustic,acoustic,strf24_legacy,condition_beyond_predictor,-0.001093224877549414,-0.004196238114285673,0.0023035722098923334,10080,168,54096,,,STRF24
