dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high,mean_cv_train_z,cv_train_z_ci_low,cv_train_z_ci_high
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,mfcc_c0,predictor_only_percent_ceiling,5.455389285011754,4.684407353512282,6.185659355157642,5685,120,5685,96.52394832796476,106.18684561747371,1.6502343549847966,1.17266243440083,2.02492716307195
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,mfcc_delta13,predictor_only_percent_ceiling,13.670471863008752,12.393566630240809,14.960768431792385,5685,120,5685,96.5311180745339,106.20281978449424,3.07295856227539,2.48116566064525,3.83922933426151
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,mfcc_delta_delta13,predictor_only_percent_ceiling,15.258330956181096,13.619774716420611,16.987146086490288,5685,120,5685,96.54326057423218,106.19648187328649,3.5278196135659066,3.13844905376001,4.06568718002365
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,mfcc_static13,predictor_only_percent_ceiling,5.290698709002496,4.154447529767492,6.353245799689632,5685,120,5685,96.52394832796476,106.18684561747371,2.0097777810363904,1.27582093050184,2.46513871665315
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,mfcc_static_spectral12,predictor_only_percent_ceiling,3.107855090655198,2.0311950505023333,4.181408491360817,5685,120,5685,96.52394832796476,106.18684561747371,2.069567733332993,1.53113744109665,2.51830724866287
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,strf_direction_negative,predictor_only_percent_ceiling,7.062241480329807,6.254773238760631,7.825511857563958,5685,120,5685,96.52394832796476,106.18684561747371,2.4932082921507233,2.06249265666915,2.7927313036283805
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,strf_direction_positive,predictor_only_percent_ceiling,7.974871372181848,6.878907366311284,9.109106956796397,5685,120,5685,96.52394832796476,106.18684561747371,2.9698263057351735,2.70533339838089,3.36898427671459
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,strf_rate_16,predictor_only_percent_ceiling,10.466397497351217,9.664967814542791,11.38768549082197,5685,120,5685,96.52394832796476,106.18684561747371,2.3295058465453766,1.20682706246224,3.45383292466485
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,strf_rate_2,predictor_only_percent_ceiling,2.9683632694568063,2.346816198388895,3.5780018861414145,5685,120,5685,96.52394832796476,106.18684561747371,1.8869356691806167,1.8403431262100003,1.97468295408537
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,strf_rate_4,predictor_only_percent_ceiling,8.818128010807925,7.79601910739955,9.935564342528684,5685,120,5685,96.52134673500365,106.1920694292525,2.9183797632344195,2.5389589078763,3.63127110149264
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,strf_rate_8,predictor_only_percent_ceiling,7.133974381154095,6.409062624578033,7.957464906591605,5685,120,5685,96.52134673500365,106.1920694292525,2.2640943623161403,1.99231760201065,2.58733200386156
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,strf_scale_0p25,predictor_only_percent_ceiling,7.38960600510289,6.363418344220121,8.371927364959559,5685,120,5685,96.52394832796476,106.18684561747371,2.8383942459011764,2.55278553558565,3.06206799304007
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,strf_scale_0p5,predictor_only_percent_ceiling,3.6674644754311903,2.9328988534074227,4.402601846394722,5685,120,5685,96.52394832796476,106.18684561747371,1.8487901264514097,1.32914877663146,2.53913437996698
AN19,ACOUSTIC_DIAGNOSTIC,diagnostic,diagnostic,strf_scale_1p0,predictor_only_percent_ceiling,1.9967396345900283,1.4885351992619629,2.4866702713970064,5685,120,5685,96.52394832796476,106.18684561747371,1.64417095989318,1.15391798028458,2.2808335479229
