dataset_id,feature_key,scope,fold,model_id,term,estimate,std_error,z_value,p_value,conf_low,conf_high,source_file,model_variant,layer,measure,fit_ok,singular,convergence,formula,n_rows,sample_stratum
AN19,cnn_2::between_type_word,revised_training_two_folds,0.0,M_predictor,variability_z,0.0786101821743413,0.0617600312064437,1.27283261745081,0.203077444136374,-0.0424394789902883,0.199659843338971,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,between_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::between_type_word,revised_training_two_folds,1.0,M_predictor,variability_z,0.0147374363563189,0.0563181451555544,0.261681848995793,0.793566735439247,-0.0956461281485676,0.125121000861205,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,between_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::between_type_word,revised_training_two_folds,2.0,M_predictor,variability_z,0.0984415067348855,0.064124206738066,1.53516919339055,0.12474227341964,-0.0272419384717238,0.224124951941495,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,between_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::mean_dissimilarity_word,revised_training_two_folds,0.0,M_predictor,variability_z,-0.0765260038365674,0.0608824922247687,-1.25694597970867,0.208773197366134,-0.195855688597114,0.0428036809239792,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,mean_dissimilarity_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::mean_dissimilarity_word,revised_training_two_folds,1.0,M_predictor,variability_z,-0.0878874933609792,0.0562537610472151,-1.56233986359087,0.118207945734965,-0.198144865013521,0.0223698782915623,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,mean_dissimilarity_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::mean_dissimilarity_word,revised_training_two_folds,2.0,M_predictor,variability_z,-0.12027818305462,0.0638414556281181,-1.88401379434783,0.0595631096007779,-0.245407436085731,0.004851069976492,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,mean_dissimilarity_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::order_word,revised_training_two_folds,0.0,M_predictor,variability_z,0.0197452270142747,0.0624106660110133,0.316375842084274,0.751717251196293,-0.102579678367311,0.142070132395861,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,order_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::order_word,revised_training_two_folds,1.0,M_predictor,variability_z,0.0232685881693607,0.0567357336228454,0.410122275390678,0.681716253051075,-0.0879334497314162,0.134470626070138,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,order_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::order_word,revised_training_two_folds,2.0,M_predictor,variability_z,0.0005268487048969,0.0667893415992546,0.00788821527929,0.993706180087479,-0.130380260829642,0.131433958239436,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,order_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::overall,revised_training_two_folds,0.0,M_predictor,variability_z,0.0259002986719459,0.0628377738579478,0.412177215738045,0.68020953582161,-0.0972617380896319,0.149062335433524,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,overall,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::overall,revised_training_two_folds,1.0,M_predictor,variability_z,-0.0565531224647248,0.0572988623918114,-0.986985083194372,0.323649951352305,-0.168858892752675,0.0557526478232254,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,overall,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
