interval_id,recording_id,speaker_id,comparison_word,canonical_sequence,canonical_position,canonical_phone,audio_sha256
AN19-rec-000410f33e1d4ee3c20c:phone:2,AN19-rec-000410f33e1d4ee3c20c,AN19.ENG.em1,bum,b ah m,1,ah,82c8f5a40ca94c46f2e70096af36d01ac803f8d3a48327f1362f378ffa29b2e7
AN19-rec-000410f33e1d4ee3c20c:phone:3,AN19-rec-000410f33e1d4ee3c20c,AN19.ENG.em1,bum,b ah m,2,m,82c8f5a40ca94c46f2e70096af36d01ac803f8d3a48327f1362f378ffa29b2e7
AN19-rec-003feaef879364a2d71d:phone:2,AN19-rec-003feaef879364a2d71d,AN19.ENG.em3,mace,m ey s,1,ey,1fe94706f2e1c2642648ef6669ff29fc943001ae9ba2559f7cb4cb1de72990b8
AN19-rec-003feaef879364a2d71d:phone:3,AN19-rec-003feaef879364a2d71d,AN19.ENG.em3,mace,m ey s,2,s,1fe94706f2e1c2642648ef6669ff29fc943001ae9ba2559f7cb4cb1de72990b8
AN19-rec-005d12e59da331f71df1:phone:1,AN19-rec-005d12e59da331f71df1,AN19.ENG.em3,shop,sh aa p,0,sh,576abd994141a637f0df42ea2d96b0290415cd3995dad33e989ee5ef1b1c2c98
AN19-rec-005d12e59da331f71df1:phone:2,AN19-rec-005d12e59da331f71df1,AN19.ENG.em3,shop,sh aa p,1,aa,576abd994141a637f0df42ea2d96b0290415cd3995dad33e989ee5ef1b1c2c98
AN19-rec-005d12e59da331f71df1:phone:3,AN19-rec-005d12e59da331f71df1,AN19.ENG.em3,shop,sh aa p,2,p,576abd994141a637f0df42ea2d96b0290415cd3995dad33e989ee5ef1b1c2c98
AN19-rec-0068f6ee36e900b806f0:phone:1,AN19-rec-0068f6ee36e900b806f0,AN19.ENG.em2,lace,l ey s,0,l,b790e3cb4b4697fb4285b2580499fb4a3d6d5284f1c9819a8cc83fbf826b7b1e
AN19-rec-0068f6ee36e900b806f0:phone:2,AN19-rec-0068f6ee36e900b806f0,AN19.ENG.em2,lace,l ey s,1,ey,b790e3cb4b4697fb4285b2580499fb4a3d6d5284f1c9819a8cc83fbf826b7b1e
AN19-rec-0068f6ee36e900b806f0:phone:3,AN19-rec-0068f6ee36e900b806f0,AN19.ENG.em2,lace,l ey s,2,s,b790e3cb4b4697fb4285b2580499fb4a3d6d5284f1c9819a8cc83fbf826b7b1e
