recording_id,speaker_id,accent,intended_word_metadata,source_filename,external_filename,mapping_method,status,processed_transcript,predicted_transcript,ipa_tokens_json,n_ipa_tokens,empty_hypothesis,mean_token_max_posterior,emitted_token_posteriors_finite,emitted_token_posteriors_in_0_1,all_logits_finite,ipa_tokens_match_utf8_vocabulary,decoded_source_samples,source_sampling_rate,decoded_duration_seconds,recorded_decoded_length_matches_source_audit,model_input_samples_16khz,model_input_duration_seconds,resampled_length_matches_decoded_audio,wav_header_duration_seconds,audio_sha256,source_hash_matches,interpretation
AN19-rec-0a243f22f9cde94de798,AN19.ENG.ef2,ENG,five,ef2ew14 five.WAV,ef2ew14 five.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,8704,22050,0.3947392290249433,True,6316,0.39475,True,0.3947392290249433,2b49b7f288fc91de0f7cad2678ad5dcc6f0a9719f1caf8eabd1b518cc6f9e0df,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-f0bd71104d655da6b376,AN19.ENG.ef2,ENG,job,ef2ew20 job.WAV,ef2ew20 job.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,10368,22050,0.47020408163265304,True,7524,0.47025,True,0.47020408163265304,3d635f1b3baad93a73a25ca874bcb82432a0f566c87b68fe98c9b3e99b3373ae,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-652588f37690d975e458,AN19.ENG.ef2,ENG,thick,ef2ew54 thick.WAV,ef2ew54 thick.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,6400,22050,0.29024943310657597,True,4644,0.29025,True,0.29024943310657597,544da62fcecfb7abfef2eb2191d9f7f03d26ca2ff33b7fccaea59c05592fc799,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-4166169b833280e74d11,AN19.ENG.ef2,ENG,path,ef2ew67 path.WAV,ef2ew67 path.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,8352,22050,0.3787755102040816,True,6061,0.3788125,True,0.3787755102040816,daffde4a5479386485b0635a95be016459af5dea4631912d7125e8da27ef770c,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-0bca3f33b236437ddc13,AN19.ENG.ef2,ENG,chat,ef2hw06 chat.WAV,ef2hw06 chat.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,8032,22050,0.36426303854875286,True,5829,0.3643125,True,0.36426303854875286,7c148acc0612fc10a15d3d353f08c1a810ce407276cbc0031676b7e47db40af3,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-ceb8e3ab158e67a8d9b8,AN19.ENG.ef2,ENG,hick,ef2hw37 hick.WAV,ef2hw37 hick.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,7488,22050,0.3395918367346939,True,5434,0.339625,True,0.3395918367346939,4d40f138d9de59cb49e8913bf198e8b4a81fd94040f75446fff7775539fc9610,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-8a5241df9d7b46fce6b8,AN19.ENG.ef3,ENG,thought,ef3ew06 thought.WAV,ef3ew06 thought.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,7968,22050,0.3613605442176871,True,5782,0.361375,True,0.3613605442176871,daf34723330167bb7a1ef3461f5ae1c14d071db8245e59fcb10aa62ae16f71bc,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-b347764304c1eb385609,AN19.ENG.ef3,ENG,put,ef3ew08 put.WAV,ef3ew08 put.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,6496,22050,0.2946031746031746,True,4714,0.294625,True,0.2946031746031746,aac2c48ba3959aed77934694b40709a16e24a62784859fc06d6b42bdfb7d1247,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-6c7fb9785842e6d752ad,AN19.ENG.ef3,ENG,young,ef3ew10 young.WAV,ef3ew10 young.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,9792,22050,0.4440816326530612,True,7106,0.444125,True,0.4440816326530612,e953eb62b5c122021f6309b49b2e2756f8d2c3ab1f82c1f3adaf209e01664fdd,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-57ac1ae6c2423ccd8ed6,AN19.ENG.ef3,ENG,thing,ef3ew11 thing.WAV,ef3ew11 thing.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,7520,22050,0.34104308390022675,True,5457,0.3410625,True,0.34104308390022675,9b2467aff28672c73a40b3e23fac36d441f3ef76b11f068a2ecd54447f15bd3d,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-279c8b12cbf26caa6f59,AN19.ENG.ef3,ENG,death,ef3ew16 death.WAV,ef3ew16 death.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,8128,22050,0.3686167800453515,True,5898,0.368625,True,0.3686167800453515,9cb4141092313b100491ce96116c7da3dbb219c4fb84c1e1cbfc320394300a82,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-6f73d19364d12aa9852d,AN19.ENG.ef3,ENG,full,ef3ew22 full.WAV,ef3ew22 full.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,6656,22050,0.301859410430839,True,4830,0.301875,True,0.301859410430839,01920e6122cdee2daf5b29d2a59117f21099c7640086ca5e5f8b7cae4c880b00,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-3fe983a9623217c521ea,AN19.ENG.ef3,ENG,chief,ef3ew32 chief.WAV,ef3ew32 chief.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,7712,22050,0.34975056689342404,True,5597,0.3498125,True,0.34975056689342404,4ad4851b664ffb2baad65b34f58cd7738741dd5850bd3d2a2b25bd5af6ae0c8e,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-cc9d9242f0a4272a91aa,AN19.ENG.ef3,ENG,faith,ef3ew33 faith.WAV,ef3ew33 faith.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,7520,22050,0.34104308390022675,True,5457,0.3410625,True,0.34104308390022675,e5e16a7e856504213136ab1ddbb2f5e319780aec59ae416238bbe6f9290dfd6d,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-91c0b13ba9780d3420b2,AN19.ENG.ef3,ENG,check,ef3ew43 check.WAV,ef3ew43 check.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,8448,22050,0.3831292517006803,True,6131,0.3831875,True,0.3831292517006803,0353f77455ae0e59a0230d11a1c3e6305f8741b1e7324f96797d211c95070556,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-336dd5db4b33b2594352,AN19.ENG.ef3,ENG,shape,ef3ew45 shape.WAV,ef3ew45 shape.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,9568,22050,0.4339229024943311,True,6943,0.4339375,True,0.4339229024943311,afb99c1c4990ac6ccf3ba8bfd6c1c229355fad77256e8154852be6cbe7c2be7c,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-6ee349c7ad625499a3ac,AN19.ENG.ef3,ENG,thick,ef3ew54 thick.WAV,ef3ew54 thick.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,6400,22050,0.29024943310657597,True,4644,0.29025,True,0.29024943310657597,d0ea27328ff7bd1eff80a599354fa807c2a8b6a14d4b58c9ab5b332db9e06b9f,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-6d479a7333925c91548f,AN19.ENG.ef3,ENG,bead,ef3hw02 bead.WAV,ef3hw02 bead.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,7856,22050,0.35628117913832197,True,5701,0.3563125,True,0.35628117913832197,7f0b8753485267dad80c1a684d874cb6108f60b42de5bca3f45f849e9853d00a,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-7e55d12d8118e548f9d1,AN19.ENG.ef3,ENG,pup,ef3hw23 pup.WAV,ef3hw23 pup.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,7008,22050,0.3178231292517007,True,5086,0.317875,True,0.3178231292517007,fafddf263ab34cf9be956e1e180663d694be8458b6a7a45818f90b690cfff54e,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-9baed181426984d86dfc,AN19.ENG.ef3,ENG,whore,ef3hw33 whore.WAV,ef3hw33 whore.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,7808,22050,0.35410430839002266,True,5666,0.354125,True,0.35410430839002266,240e2ede87bb12f16e6606e1dcc36054a1782f7ee9715ca48fa6ec368deaa6ad,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-a3f71989bea2927ba80c,AN19.ENG.ef3,ENG,hick,ef3hw37 hick.WAV,ef3hw37 hick.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,6624,22050,0.3004081632653061,True,4807,0.3004375,True,0.3004081632653061,edf7b8f6b8dd9f5f88baf3b3e3f441524e7f183d619efd168e795f9d12676fc4,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-689bcd4fe7b360221b99,AN19.ENG.ef3,ENG,rut,ef3hw38 rut.WAV,ef3hw38 rut.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,9664,22050,0.4382766439909297,True,7013,0.4383125,True,0.4382766439909297,8ae85a8938784e0dca511d59dadcea601159d8bd798d1600abce1ce62cd5f745,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-0c75ab1f60b961753735,AN19.ENG.ef3,ENG,toot,ef3hw39 toot.WAV,ef3hw39 toot.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,6208,22050,0.2815419501133787,True,4505,0.2815625,True,0.2815419501133787,47aca02d7de7eb78153a2dc7dda156612748fd995b827114f2a6a27c8015096d,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
AN19-rec-e0b9f313dce42b0a7725,AN19.ENG.ef3,ENG,kit,ef3hw50 kit.WAV,ef3hw50 kit.WAV,exact_filename_case_insensitive,ok,,,[],0,True,,True,True,True,True,6496,22050,0.2946031746031746,True,4714,0.294625,True,0.2946031746031746,15233ef137da8911c9c3587023cb0abed8cda8f955ee4506585a744a2eb9f8ff,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
