plot_index,speaker_id,dataset,original_label,language,iso6393,branch,source_branch,display_label,mean_distance_to_english
0,AN19.ENG.em1,AN19,English,English,eng,Germanic,Germanic,English em1,14.649099428931867
1,AN19.ENG.em3,AN19,English,English,eng,Germanic,Germanic,English em3,15.174400268202088
2,AN19.ENG.em2,AN19,English,English,eng,Germanic,Germanic,English em2,13.55176542422054
3,AN19.ENG.ef1,AN19,English,English,eng,Germanic,Germanic,English ef1,13.662463357566235
4,AN19.ENG.ef2,AN19,English,English,eng,Germanic,Germanic,English ef2,13.576890491562335
5,AN19.ENG.ef3,AN19,English,English,eng,Germanic,Germanic,English ef3,15.029599184357949
6,AN19.MIX.if6,AN19,Somalian,Somali,som,Afro-Asiatic,Cushitic,Somali if6,14.808316217932386
7,AN19.MIX.if4,AN19,German,German,deu,Germanic,Germanic,German if4,15.269522270163856
8,AN19.MIX.im2,AN19,Bengali,Bengali,ben,Indo-Aryan,Indo-Aryan,Bengali im2,15.69440266393732
9,AN19.MIX.im3,AN19,Russian,Russian,rus,Slavic,Slavic,Russian im3,15.73044937716184
10,AN19.MIX.im5,AN19,Turkish,Turkish,tur,Turkic,Turkic,Turkish im5,15.936116232153639
11,AN19.MIX.if2,AN19,Dutch,Dutch,nld,Germanic,Germanic,Dutch if2,16.14083418038994
12,AN19.MIX.im4,AN19,Chinese,Mandarin,cmn,Sino-Tibetan,Sinitic,Mandarin im4,16.26805001127845
13,AN19.MIX.if1,AN19,Albanian,Albanian,als,Albanian,Albanian,Albanian if1,16.63415969943747
14,AN19.KOR.kf5,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean kf5,16.605385956361943
15,AN19.KOR.km1,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean km1,18.50316861783352
16,AN19.KOR.kf3,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean kf3,17.882210330152482
17,AN19.KOR.kf6,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean kf6,17.346477326691982
18,AN19.KOR.kf1,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean kf1,18.135691409639488
19,AN19.KOR.kf2,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean kf2,16.87126421186179
20,AN19.KOR.km3,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean km3,16.22042539963615
21,AN19.KOR.km8,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean km8,14.58836546196666
22,AN19.KOR.km7,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean km7,14.74309978989289
23,AN19.KOR.kf4,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean kf4,15.991642025210501
24,AN19.KOR.km2,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean km2,15.1078098137788
25,AN19.KOR.km6,AN19,Korean,Korean,kor,Koreanic,Koreanic,Korean km6,17.726623376614494
26,AN19.MIX.im6,AN19,Indian,Hindi,hin,Indo-Aryan,Indo-Aryan,Hindi im6,18.02362953591903
27,AN19.SPA.sf1,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sf1,20.40714914075062
28,AN19.SPA.sf4,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sf4,21.612480344067567
29,AN19.SPA.sf2,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sf2,19.501558805462697
30,AN19.SPA.sf6,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sf6,17.935393927079726
31,AN19.SPA.sf3,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sf3,17.817961584323594
32,AN19.SPA.sm6,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sm6,18.415528334280037
33,AN19.SPA.sf5,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sf5,16.166603880360622
34,AN19.SPA.sm4,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sm4,16.63948555417688
35,AN19.SPA.sm5,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sm5,15.889009392156126
36,AN19.SPA.sm7,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sm7,17.448314710785276
37,AN19.SPA.sm3,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sm3,19.6918895929379
38,AN19.SPA.sm2,AN19,Spanish,Spanish,spa,Romance,Romance,Spanish sm2,18.36512660021418
39,AN19.MIX.im1,AN19,Romanian,Romanian,ron,Romance,Romance,Romanian im1,18.365522811198144
40,AN19.MIX.if3,AN19,French,French,fra,Romance,Romance,French if3,18.49123520456712
41,AN19.MIX.if5,AN19,Japanese,Japanese,jpn,Japonic,Japonic,Japanese if5,23.50539325273318
