language,start,n_talkers,mean_distance_to_english
English,0,6,14.274036359140169
Somali,6,1,14.808316217932386
German,7,1,15.269522270163856
Bengali,8,1,15.69440266393732
Russian,9,1,15.73044937716184
Turkish,10,1,15.936116232153639
Dutch,11,1,16.14083418038994
Mandarin,12,1,16.26805001127845
Albanian,13,1,16.63415969943747
Korean,14,12,16.64351364330339
Hindi,26,1,18.02362953591903
Spanish,27,12,18.324208488882935
Romanian,39,1,18.365522811198144
French,40,1,18.49123520456712
Japanese,41,1,23.50539325273318
