dataset,item_accent,item_talker,target_key,similarity
AN19,KOR,AN19.KOR.km8,AN19-rec-71fa37166ce8e550a7bf,0.2970497316802007
AN19,KOR,AN19.KOR.kf5,AN19-rec-dab51e99088a6fc47d72,0.3523688753997258
AN19,KOR,AN19.KOR.kf1,AN19-rec-e3949d4c00bf54f00ee2,0.2513081198766863
AN19,KOR,AN19.KOR.kf3,AN19-rec-12745f7bcc936f9522ed,0.3742069343623559
AN19,KOR,AN19.KOR.kf3,AN19-rec-254e243417a3c17041ee,0.3314987736730687
AN19,KOR,AN19.KOR.km3,AN19-rec-07d2177457a473d16f05,0.3958010785717535
AN19,KOR,AN19.KOR.kf1,AN19-rec-a8c9d02aa8aa6c6c75fc,0.2620470740049027
AN19,KOR,AN19.KOR.km8,AN19-rec-cb42db8f47a682cffbde,0.2532240817079175
AN19,KOR,AN19.KOR.kf3,AN19-rec-f4dca73475edd9a37966,0.1497957465929178
AN19,KOR,AN19.KOR.kf5,AN19-rec-ea4e22db8c2e2a3533b8,0.3758574932543134
AN19,KOR,AN19.KOR.kf3,AN19-rec-f68ad87d01df4c80f630,0.2598608859304339
AN19,KOR,AN19.KOR.kf1,AN19-rec-747a2f67c6727c9a5e21,0.4183886238615673
AN19,KOR,AN19.KOR.km1,AN19-rec-0cd77e207f2c1a20b459,0.2651491043853328
AN19,KOR,AN19.KOR.kf5,AN19-rec-a5e30066178d51dd33b4,0.509355530657831
AN19,KOR,AN19.KOR.km3,AN19-rec-c54ffd9ada4c289f7f41,0.2355968721384857
AN19,KOR,AN19.KOR.km8,AN19-rec-ee4860db9c8f790c6284,0.4399674311002503
AN19,KOR,AN19.KOR.kf1,AN19-rec-c4b391fbfedb4dab5b89,0.39227967414458
AN19,KOR,AN19.KOR.kf5,AN19-rec-4cdac32d74c829204cfb,0.4359922727030022
AN19,KOR,AN19.KOR.km3,AN19-rec-dba4be25a95c71a4238c,0.4870257015923037
AN19,KOR,AN19.KOR.km8,AN19-rec-6846aa179caf273d92ee,0.5467675591911392
AN19,KOR,AN19.KOR.km8,AN19-rec-9eac2bca2f7312c0ac03,0.4293175039976185
AN19,KOR,AN19.KOR.kf5,AN19-rec-36347a437c1185912247,0.5331637096749804
AN19,KOR,AN19.KOR.km8,AN19-rec-0d9882c36e1493e91bd4,0.4648236584297135
AN19,KOR,AN19.KOR.kf1,AN19-rec-cd93755eac5cf536ed35,0.2724301474213637
AN19,KOR,AN19.KOR.kf3,AN19-rec-35d6edfef139dad0e8de,0.4550951417383732
AN19,KOR,AN19.KOR.kf3,AN19-rec-b908d020849f92e50575,0.3985812357866412
AN19,KOR,AN19.KOR.kf1,AN19-rec-d27436921808918b6273,0.3296281214056646
AN19,KOR,AN19.KOR.kf1,AN19-rec-4ac7bda6a7baa4787421,0.3650961500949116
AN19,KOR,AN19.KOR.km1,AN19-rec-d1786429ffe377f5ac0b,0.2573951795001218
AN19,KOR,AN19.KOR.km1,AN19-rec-00b0080c896440442143,0.2741441679886909
AN19,KOR,AN19.KOR.kf5,AN19-rec-d041b66d7a915f41e57d,0.4123943712745344
AN19,KOR,AN19.KOR.km1,AN19-rec-a418f21a7a2aba39c134,0.310952224913113
AN19,KOR,AN19.KOR.km1,AN19-rec-00cd2a165259bb4e0496,0.3213474316572576
AN19,KOR,AN19.KOR.km3,AN19-rec-f354e84cc4f72666a83e,0.4923741021602925
AN19,KOR,AN19.KOR.kf3,AN19-rec-0fc2b3d7b7206014db75,0.3709115828643345
AN19,KOR,AN19.KOR.km3,AN19-rec-ea0aac3235d06709ca68,0.2708301398397456
AN19,KOR,AN19.KOR.km8,AN19-rec-a2cee94d85114667d084,0.602156165794994
AN19,KOR,AN19.KOR.km1,AN19-rec-6a937297c85ac3d7c001,0.3149899408435913
AN19,KOR,AN19.KOR.kf5,AN19-rec-55cd78055e705b163184,0.3928602536605284
AN19,KOR,AN19.KOR.kf5,AN19-rec-576fcdfe554548452601,0.5821530563480632
AN19,KOR,AN19.KOR.km1,AN19-rec-dea3b318b204faf34c56,0.337505625736803
AN19,KOR,AN19.KOR.km8,AN19-rec-f2475772c52f81d7a1de,0.4590994513947791
AN19,KOR,AN19.KOR.km1,AN19-rec-466ef5d6e4722b405524,0.2326763347996481
AN19,KOR,AN19.KOR.kf3,AN19-rec-0e0da6e8eea07ec22d9b,0.2441082018900977
AN19,KOR,AN19.KOR.km3,AN19-rec-ea49fe2066cc124f4155,0.5757974982100602
AN19,KOR,AN19.KOR.km3,AN19-rec-d63ae1ad172687440a75,0.4388124527593353
AN19,KOR,AN19.KOR.kf1,AN19-rec-c83ac1c2e37690856a88,0.3144891055002468
AN19,KOR,AN19.KOR.km7,AN19-rec-08c15860673f09191da0,0.3313334489545039
AN19,KOR,AN19.KOR.kf2,AN19-rec-be427d431d55aad97a22,0.2743673102674814
AN19,KOR,AN19.KOR.km6,AN19-rec-e635c99cc3fc2497a9a2,0.2034940073680763
AN19,KOR,AN19.KOR.kf4,AN19-rec-bc3be77d1966626f4edc,0.3739431662661671
AN19,KOR,AN19.KOR.kf4,AN19-rec-18a9d4f41335873eb070,0.2669738992071575
AN19,KOR,AN19.KOR.km7,AN19-rec-c501cadf59b1aec98145,0.3589911207501768
AN19,KOR,AN19.KOR.kf6,AN19-rec-5b9305f224cb6653a498,0.4203676534568359
AN19,KOR,AN19.KOR.kf6,AN19-rec-19b6117c2fcabd0e7910,0.2565681870206553
AN19,KOR,AN19.KOR.kf4,AN19-rec-e78f403e9c753613cb24,0.2624903278421224
AN19,KOR,AN19.KOR.kf2,AN19-rec-7455a50b50dfcb0b3e44,0.2577680844440513
AN19,KOR,AN19.KOR.kf2,AN19-rec-4302f29e2e732e320536,0.5188658455907906
AN19,KOR,AN19.KOR.kf6,AN19-rec-11be2bc3240cca1618de,0.4992900892407628
AN19,KOR,AN19.KOR.kf6,AN19-rec-4348d5d0ada9848216e0,0.2454630572070094
AN19,KOR,AN19.KOR.km7,AN19-rec-fa9aa001b26d761eea2b,0.6106309514877596
AN19,KOR,AN19.KOR.kf6,AN19-rec-1d21c79a16ac3b6e949f,0.4445737464921392
AN19,KOR,AN19.KOR.kf4,AN19-rec-653f45dfbf72dec94eb9,0.2264285971722818
AN19,KOR,AN19.KOR.kf2,AN19-rec-b3b9923f5eed5cddc108,0.3487376671812481
AN19,KOR,AN19.KOR.km7,AN19-rec-0f60995ad3f406bd4350,0.39521873500982
AN19,KOR,AN19.KOR.kf2,AN19-rec-f448d385cb3bc09e88f6,0.3770250636785245
AN19,KOR,AN19.KOR.kf6,AN19-rec-b4219d4dc939ef5c633b,0.395756576162299
AN19,KOR,AN19.KOR.km6,AN19-rec-9ee4c6a03243ed7180e3,0.4778960716331759
AN19,KOR,AN19.KOR.km7,AN19-rec-be65c4e46aa7d6819f5c,0.4386716464411808
AN19,KOR,AN19.KOR.kf2,AN19-rec-e5ec55f83fd517a6d1b1,0.3264021582747632
AN19,KOR,AN19.KOR.km7,AN19-rec-f5fe81e1dce196b0ece5,0.4690555745190488
AN19,KOR,AN19.KOR.kf2,AN19-rec-b326566f26439e604d0f,0.4146937945008704
AN19,KOR,AN19.KOR.kf4,AN19-rec-fa200985e6ab4e652d01,0.4774033586253229
AN19,KOR,AN19.KOR.kf4,AN19-rec-ffb78b450d98db59a947,0.3195373687048006
AN19,KOR,AN19.KOR.kf2,AN19-rec-4e22b6caf9291b22924b,0.4500472884819601
AN19,KOR,AN19.KOR.km2,AN19-rec-2fe565767a320399b8b9,0.3472606645104762
AN19,KOR,AN19.KOR.km2,AN19-rec-65836cddef83f89e36ad,0.6008640809313036
AN19,KOR,AN19.KOR.km2,AN19-rec-c65edcd5a6610e7d9d44,0.4915359306801525
AN19,KOR,AN19.KOR.km2,AN19-rec-c8d9ae15df3bedec17bc,0.3774350531151553
AN19,KOR,AN19.KOR.km2,AN19-rec-4c8f44329d23e09ffb5a,0.4772553588176032
AN19,KOR,AN19.KOR.km6,AN19-rec-d1e485555dfeaab714ac,0.5668089268218819
AN19,KOR,AN19.KOR.kf4,AN19-rec-aba115d0e349646b9ef1,0.3818418889876331
AN19,KOR,AN19.KOR.km6,AN19-rec-056d823ed319234cb09f,0.301741425129274
AN19,KOR,AN19.KOR.kf6,AN19-rec-3929c4522019a1fb732e,0.5403673174529141
AN19,KOR,AN19.KOR.km2,AN19-rec-921921b88821238aec3a,0.284630761241166
AN19,KOR,AN19.KOR.kf6,AN19-rec-581ead41eb8d55ac58ca,0.2236271696206624
AN19,KOR,AN19.KOR.km2,AN19-rec-ee7ac91ca8756020de56,0.4947022418209006
AN19,KOR,AN19.KOR.km7,AN19-rec-a7eae9ee9ddf0a0eff17,0.4929417835327276
AN19,KOR,AN19.KOR.kf4,AN19-rec-e1d6f69d3cbc9ef14f44,0.3899884743086121
AN19,KOR,AN19.KOR.km2,AN19-rec-9606b29a3bd5c12d1f07,0.3321630023268079
AN19,KOR,AN19.KOR.km7,AN19-rec-03028c8b783bdbde83a9,0.4673766490045725
AN19,KOR,AN19.KOR.km6,AN19-rec-7eb5ceba6ce5963324b5,0.424990227058366
AN19,KOR,AN19.KOR.km6,AN19-rec-afccf10d609a3e61b462,0.5951411757223513
AN19,KOR,AN19.KOR.km6,AN19-rec-f1f270db6ff535d947d5,0.3696268372188535
AN19,SPA,AN19.SPA.sf2,AN19-rec-d12cc5b85c6eaf3624b8,0.3017530856988585
AN19,SPA,AN19.SPA.sf3,AN19-rec-edd6a76807a7e94e48b1,0.1956373605821927
AN19,SPA,AN19.SPA.sf3,AN19-rec-2dd3c7ba879bddacbcad,0.3059924758115074
AN19,SPA,AN19.SPA.sf1,AN19-rec-473dd879f0fa34109667,0.4468938287118171
AN19,SPA,AN19.SPA.sf3,AN19-rec-fc4f201d95ca4854e3a1,0.3489980796987083
AN19,SPA,AN19.SPA.sm5,AN19-rec-9b53144404f8fb4980b2,0.5507700142276619
AN19,SPA,AN19.SPA.sm5,AN19-rec-6d557ef2e36361078d82,0.287288799565513
AN19,SPA,AN19.SPA.sm7,AN19-rec-b55b5daa9aba1fada0e1,0.4273742878611002
AN19,SPA,AN19.SPA.sf1,AN19-rec-3c347bc6e72fc051aea2,0.1926938308011285
AN19,SPA,AN19.SPA.sf1,AN19-rec-e5f93ed719ec1f23f4bd,0.2057541254918862
AN19,SPA,AN19.SPA.sm7,AN19-rec-b2ada4bf41b8a03b0beb,0.3677091337240566
AN19,SPA,AN19.SPA.sm7,AN19-rec-ec9b2f39e8e7f91b5d6e,0.2332975382321507
AN19,SPA,AN19.SPA.sf5,AN19-rec-76ff55ea9705344daaaa,0.5872502764636429
AN19,SPA,AN19.SPA.sf5,AN19-rec-d4cb8f147f3c9af98826,0.4257872081378331
AN19,SPA,AN19.SPA.sf3,AN19-rec-d0e7e60c85a08cec8926,0.3192603099320882
AN19,SPA,AN19.SPA.sf1,AN19-rec-910a8f14ea27c1b6692e,0.1625441685118573
AN19,SPA,AN19.SPA.sf1,AN19-rec-51ecb0823b6354e05ef7,0.2691167606567901
AN19,SPA,AN19.SPA.sm3,AN19-rec-6aff5fadfac885c54b93,0.3488527209730389
AN19,SPA,AN19.SPA.sf1,AN19-rec-27b4824aed32d64a0a40,0.4103541997064366
AN19,SPA,AN19.SPA.sm3,AN19-rec-7bb809119cececb06c5c,0.2187210926926477
AN19,SPA,AN19.SPA.sf5,AN19-rec-94e44e2830139762f2b3,0.4992260277018773
AN19,SPA,AN19.SPA.sf5,AN19-rec-bcae4e9cf6465238b35a,0.3824461730726205
AN19,SPA,AN19.SPA.sm3,AN19-rec-fe5e3390051576a89595,0.3611098157128178
AN19,SPA,AN19.SPA.sm3,AN19-rec-af711b67fe5b7672ad16,0.3045852081836902
AN19,SPA,AN19.SPA.sf5,AN19-rec-b30b26948f6eb4766e18,0.5304402693642655
AN19,SPA,AN19.SPA.sm5,AN19-rec-e22fce14699067c07709,0.2018638834496013
AN19,SPA,AN19.SPA.sm7,AN19-rec-0696c051fb052c117e49,0.4456275109518337
AN19,SPA,AN19.SPA.sm3,AN19-rec-6fe5550175339b6a5e3e,0.2443720016932111
AN19,SPA,AN19.SPA.sm7,AN19-rec-382e916cecb442e2d7b0,0.2983663975794202
AN19,SPA,AN19.SPA.sf3,AN19-rec-a83296bd736aa3dc6367,0.490035099261904
AN19,SPA,AN19.SPA.sf1,AN19-rec-051ee5bae748dbe028d9,0.2900920758082416
AN19,SPA,AN19.SPA.sf5,AN19-rec-2a93f84b4864a2b7a27c,0.5914522358984409
AN19,SPA,AN19.SPA.sm5,AN19-rec-32ee51d568f99bc79b76,0.5028906682226565
AN19,SPA,AN19.SPA.sm7,AN19-rec-ecf7b6144c75b37d5acd,0.3140983516512383
AN19,SPA,AN19.SPA.sm7,AN19-rec-ba6af8001c8c265f3172,0.4745651224765839
AN19,SPA,AN19.SPA.sf1,AN19-rec-ac36e4cea8f87eada131,0.2871097594447186
AN19,SPA,AN19.SPA.sf3,AN19-rec-212832509a7555bd973d,0.4791483702156138
AN19,SPA,AN19.SPA.sm3,AN19-rec-0630aa81cb54db09a885,0.4682047042258394
AN19,SPA,AN19.SPA.sm5,AN19-rec-af6db39024a259a5c170,0.6241270824871652
AN19,SPA,AN19.SPA.sf3,AN19-rec-e5719b24ee4181832826,0.4777196386144589
AN19,SPA,AN19.SPA.sm5,AN19-rec-132b5360c7eaab8cb6ac,0.2706875822834018
AN19,SPA,AN19.SPA.sm7,AN19-rec-3e06c07c753fe55954a4,0.5017681048479196
AN19,SPA,AN19.SPA.sm3,AN19-rec-6c38b50774314b5329b0,0.2689771933682977
AN19,SPA,AN19.SPA.sf5,AN19-rec-4b84ce0119586a29ed77,0.3308183102787347
