dataset,speaker_id,original_label,language,iso6393,branch,source_branch
AN19,AN19.ENG.ef1,English,English,eng,Germanic,Germanic
AN19,AN19.ENG.ef2,English,English,eng,Germanic,Germanic
AN19,AN19.ENG.ef3,English,English,eng,Germanic,Germanic
AN19,AN19.ENG.em1,English,English,eng,Germanic,Germanic
AN19,AN19.ENG.em2,English,English,eng,Germanic,Germanic
AN19,AN19.ENG.em3,English,English,eng,Germanic,Germanic
AN19,AN19.KOR.kf1,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.KOR.kf2,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.KOR.kf3,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.KOR.kf4,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.KOR.kf5,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.KOR.kf6,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.KOR.km1,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.KOR.km2,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.KOR.km3,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.KOR.km6,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.KOR.km7,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.KOR.km8,Korean,Korean,kor,Koreanic,Koreanic
AN19,AN19.MIX.if1,Albanian,Albanian,als,Albanian,Albanian
AN19,AN19.MIX.if2,Dutch,Dutch,nld,Germanic,Germanic
AN19,AN19.MIX.if3,French,French,fra,Romance,Romance
AN19,AN19.MIX.if4,German,German,deu,Germanic,Germanic
AN19,AN19.MIX.if5,Japanese,Japanese,jpn,Japonic,Japonic
AN19,AN19.MIX.if6,Somalian,Somali,som,Afro-Asiatic,Cushitic
AN19,AN19.MIX.im1,Romanian,Romanian,ron,Romance,Romance
AN19,AN19.MIX.im2,Bengali,Bengali,ben,Indo-Aryan,Indo-Aryan
AN19,AN19.MIX.im3,Russian,Russian,rus,Slavic,Slavic
AN19,AN19.MIX.im4,Chinese,Mandarin,cmn,Sino-Tibetan,Sinitic
AN19,AN19.MIX.im5,Turkish,Turkish,tur,Turkic,Turkic
AN19,AN19.MIX.im6,Indian,Hindi,hin,Indo-Aryan,Indo-Aryan
AN19,AN19.SPA.sf1,Spanish,Spanish,spa,Romance,Romance
AN19,AN19.SPA.sf2,Spanish,Spanish,spa,Romance,Romance
AN19,AN19.SPA.sf3,Spanish,Spanish,spa,Romance,Romance
AN19,AN19.SPA.sf4,Spanish,Spanish,spa,Romance,Romance
AN19,AN19.SPA.sf5,Spanish,Spanish,spa,Romance,Romance
AN19,AN19.SPA.sf6,Spanish,Spanish,spa,Romance,Romance
AN19,AN19.SPA.sm2,Spanish,Spanish,spa,Romance,Romance
AN19,AN19.SPA.sm3,Spanish,Spanish,spa,Romance,Romance
AN19,AN19.SPA.sm4,Spanish,Spanish,spa,Romance,Romance
AN19,AN19.SPA.sm5,Spanish,Spanish,spa,Romance,Romance
AN19,AN19.SPA.sm6,Spanish,Spanish,spa,Romance,Romance
AN19,AN19.SPA.sm7,Spanish,Spanish,spa,Romance,Romance
X21,X21.CMN.CMN_M_016,Mandarin,Mandarin,cmn,Sino-Tibetan,Sinitic
X21,X21.CMN.CMN_M_021,Mandarin,Mandarin,cmn,Sino-Tibetan,Sinitic
X21,X21.CMN.CMN_M_032,Mandarin,Mandarin,cmn,Sino-Tibetan,Sinitic
X21,X21.CMN.CMN_M_035,Mandarin,Mandarin,cmn,Sino-Tibetan,Sinitic
X21,X21.CMN.CMN_M_037,Mandarin,Mandarin,cmn,Sino-Tibetan,Sinitic
X21,X21.CMN.CMN_M_043,Mandarin,Mandarin,cmn,Sino-Tibetan,Sinitic
X21,X21.ENG.ENG_M_055,English,English,eng,Germanic,Germanic
X21,X21.ENG.ENG_M_066,English,English,eng,Germanic,Germanic
X21,X21.ENG.ENG_M_070,English,English,eng,Germanic,Germanic
X21,X21.ENG.ENG_M_131,English,English,eng,Germanic,Germanic
X21,X21.ENG.ENG_M_133,English,English,eng,Germanic,Germanic
B23,B23.BRP.BRP,Brazilian Portuguese,Brazilian Portuguese,por,Romance,Romance
B23,B23.FAR.FAR,Farsi,Farsi,pes,Iranian,Iranian
B23,B23.SPA.SPA,Spanish,Spanish,spa,Romance,Romance
B23,B23.TUR.TUR,Turkish,Turkish,tur,Turkic,Turkic
