dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
AN19,mfcc39,oof_all,,M_condition,5685,5685,3893.56893245033,0.684884596737085
AN19,mfcc39,oof_all,,M_joint,5685,5685,3727.03475764104,0.655590986392444
AN19,mfcc39,oof_all,,M_null,5685,5685,3935.66329214435,0.69228905754518
AN19,mfcc39,oof_all,,M_predictor,5685,5685,3764.48526541769,0.662178586704959
AN19,mfcc39,oof_fold,0.0,M_condition,1894,1894,1297.264283141,0.684933623622493
AN19,mfcc39,oof_fold,0.0,M_joint,1894,1894,1239.27130500007,0.654314310982087
AN19,mfcc39,oof_fold,0.0,M_null,1894,1894,1316.97176343364,0.695338840250074
AN19,mfcc39,oof_fold,0.0,M_predictor,1894,1894,1253.59876960403,0.661878970223879
AN19,mfcc39,oof_fold,1.0,M_condition,1895,1895,1297.9193149903,0.684917844322057
AN19,mfcc39,oof_fold,1.0,M_joint,1895,1895,1250.08919856888,0.659677677345057
AN19,mfcc39,oof_fold,1.0,M_null,1895,1895,1313.16944284179,0.692965405193555
AN19,mfcc39,oof_fold,1.0,M_predictor,1895,1895,1270.59580735898,0.670499106785741
AN19,mfcc39,oof_fold,2.0,M_condition,1896,1896,1298.38533431903,0.684802391518476
AN19,mfcc39,oof_fold,2.0,M_joint,1896,1896,1237.67425407209,0.652781779573886
AN19,mfcc39,oof_fold,2.0,M_null,1896,1896,1305.52208586892,0.688566500985719
AN19,mfcc39,oof_fold,2.0,M_predictor,1896,1896,1240.29068845468,0.654161755514074
AN19,mfcc_c0,oof_all,,M_condition,5685,5685,3893.64234879413,0.684897510781729
AN19,mfcc_c0,oof_all,,M_joint,5685,5685,3766.78394047299,0.662582927084079
AN19,mfcc_c0,oof_all,,M_null,5685,5685,3935.61039112845,0.692279752177388
AN19,mfcc_c0,oof_all,,M_predictor,5685,5685,3828.48411878863,0.673436080701607
AN19,mfcc_c0,oof_fold,0.0,M_condition,1894,1894,1297.3376994848,0.684972386211616
AN19,mfcc_c0,oof_fold,0.0,M_joint,1894,1894,1257.32049021622,0.663843975826936
AN19,mfcc_c0,oof_fold,0.0,M_null,1894,1894,1316.91886241774,0.695310909407465
AN19,mfcc_c0,oof_fold,0.0,M_predictor,1894,1894,1281.25183494464,0.676479321512482
AN19,mfcc_c0,oof_fold,1.0,M_condition,1895,1895,1297.9193149903,0.684917844322057
AN19,mfcc_c0,oof_fold,1.0,M_joint,1895,1895,1258.28798883102,0.664004215741964
AN19,mfcc_c0,oof_fold,1.0,M_null,1895,1895,1313.16944284179,0.692965405193555
AN19,mfcc_c0,oof_fold,1.0,M_predictor,1895,1895,1285.41666345315,0.678320139025408
AN19,mfcc_c0,oof_fold,2.0,M_condition,1896,1896,1298.38533431903,0.684802391518476
AN19,mfcc_c0,oof_fold,2.0,M_joint,1896,1896,1251.17546142575,0.659902669528351
AN19,mfcc_c0,oof_fold,2.0,M_null,1896,1896,1305.52208586892,0.688566500985719
AN19,mfcc_c0,oof_fold,2.0,M_predictor,1896,1896,1261.81562039085,0.665514567716691
AN19,mfcc_delta13,oof_all,,M_condition,5685,5685,3893.56893245033,0.684884596737085
AN19,mfcc_delta13,oof_all,,M_joint,5685,5685,3705.87203792179,0.651868432352118
AN19,mfcc_delta13,oof_all,,M_null,5685,5685,3935.66329214435,0.69228905754518
AN19,mfcc_delta13,oof_all,,M_predictor,5685,5685,3754.92173411922,0.660496347250522
