feature_key,source_feature,dimensions,frame_count,parent_sha256,sliced_sha256,old_fitted_mean_max_abs_difference,old_fitted_scale_max_abs_difference
mfcc_static13,mfcc39,13,330920,154d09f55c1133f969e66c78632f550786c6e1bb4f2ec975667ffd6f4a4f5746,df091cdc73b859dd53a3e87c52ffe5775209062c2c7f7fe7f400ac4a1d599b9d,0.0,7.105427357601002e-15
mfcc_delta13,mfcc39,13,330920,154d09f55c1133f969e66c78632f550786c6e1bb4f2ec975667ffd6f4a4f5746,4409772aefd243442f6b210a293aed0c3f47b687b4ac02de64f338731c2eeae1,0.0,4.440892098500626e-16
mfcc_delta_delta13,mfcc39,13,330920,154d09f55c1133f969e66c78632f550786c6e1bb4f2ec975667ffd6f4a4f5746,11af953cff68d30bce021fab9bc31cbc58416f2371c2a743244af39e08113433,0.0,4.440892098500626e-16
mfcc_c0,mfcc39,1,330920,154d09f55c1133f969e66c78632f550786c6e1bb4f2ec975667ffd6f4a4f5746,04f2c16feeffe4c0e30cee226fe06e17ee5d631924d659aeb6bd350e83489a8c,0.0,7.105427357601002e-15
mfcc_static_spectral12,mfcc39,12,330920,154d09f55c1133f969e66c78632f550786c6e1bb4f2ec975667ffd6f4a4f5746,ccef3dcaf11edb593c969d50daa7ae5d9a584c9a3cb4b5574ef3d2cbe026b4ea,0.0,7.105427357601002e-15
strf_rate_2,strf24_legacy,6,330920,da73cc3eb27c1711493608d1af498e270ac4f3429825d8fdb1da9e0d16cf4203,8d1bfdf420c07b6063e067eacab70b55a4a58be936025ef1c6c52931a05535dc,0.0,2.5579538487363607e-13
strf_rate_4,strf24_legacy,6,330920,da73cc3eb27c1711493608d1af498e270ac4f3429825d8fdb1da9e0d16cf4203,d781e3a00de04b887f113fa0c19461b68533fc2229b2ae83fa0ea9897a4a989f,0.0,1.7053025658242404e-13
strf_rate_8,strf24_legacy,6,330920,da73cc3eb27c1711493608d1af498e270ac4f3429825d8fdb1da9e0d16cf4203,718c3ea4f2916c509129b83cb0585332a5673e01568b72b1a7f1a5c6de9caaa0,0.0,4.618527782440651e-14
strf_rate_16,strf24_legacy,6,330920,da73cc3eb27c1711493608d1af498e270ac4f3429825d8fdb1da9e0d16cf4203,31d3a4895fe9f42d7556c2e44744c5cf985b3cd5d4391e83980f0edf65f35996,0.0,7.993605777301127e-15
strf_scale_0p25,strf24_legacy,8,330920,da73cc3eb27c1711493608d1af498e270ac4f3429825d8fdb1da9e0d16cf4203,f8feb0887f816e375ff85c69907c0cdefdc73d22337d48411e147551b807b795,0.0,2.5579538487363607e-13
strf_scale_0p5,strf24_legacy,8,330920,da73cc3eb27c1711493608d1af498e270ac4f3429825d8fdb1da9e0d16cf4203,f0bb40b7c4b1c216969f82bab903aa8f5a3c6fe90ead774cc15086a448854766,0.0,1.1368683772161603e-13
strf_scale_1p0,strf24_legacy,8,330920,da73cc3eb27c1711493608d1af498e270ac4f3429825d8fdb1da9e0d16cf4203,debf7ecb41d057a399ea4f430670239e49eee2a24a5559d0e1f7a2bd442241db,0.0,3.197442310920451e-14
strf_direction_positive,strf24_legacy,12,330920,da73cc3eb27c1711493608d1af498e270ac4f3429825d8fdb1da9e0d16cf4203,d27ffa4fa7bd65df7a27b1cb3f8e9ee08c2aa98dd87f11d1cc75292c183d4a61,0.0,3.197442310920451e-14
strf_direction_negative,strf24_legacy,12,330920,da73cc3eb27c1711493608d1af498e270ac4f3429825d8fdb1da9e0d16cf4203,d01d85ba7583a84c7abe044f7de46dc900b877ccc96f56f95e12fff3128ec36b,0.0,2.5579538487363607e-13
mfcc39,mfcc39,39,330920,154d09f55c1133f969e66c78632f550786c6e1bb4f2ec975667ffd6f4a4f5746,4f4b03b4a2870085a78e72f0850db8af7f0883d73c6f17e3f296bc589b3ddfaa,,
strf24_legacy,strf24_legacy,24,330920,da73cc3eb27c1711493608d1af498e270ac4f3429825d8fdb1da9e0d16cf4203,acb61079485b08ef1a1eb691bf13f77c382adebcb4712cb46ba9e4938ea2885c,,
