dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
AN19,mfcc39,oof_all,,M_null,950,950,646.33736323052,0.680355119190021
AN19,mfcc39,oof_all,,M_predictor,950,950,632.88098346959,0.666190508915358
AN19,mfcc39,oof_fold,0.0,M_null,237,237,164.435599319008,0.693821094173028
AN19,mfcc39,oof_fold,0.0,M_predictor,237,237,156.482413606545,0.660263348550824
AN19,mfcc39,oof_fold,1.0,M_null,380,380,276.054330143552,0.726458763535664
AN19,mfcc39,oof_fold,1.0,M_predictor,380,380,281.628389365543,0.741127340435638
AN19,mfcc39,oof_fold,2.0,M_null,333,333,205.84743376796,0.618160461765646
AN19,mfcc39,oof_fold,2.0,M_predictor,333,333,194.770180497503,0.584895436929437
AN19,strf24_legacy,oof_all,,M_null,950,950,646.33736323052,0.680355119190021
AN19,strf24_legacy,oof_all,,M_predictor,950,950,620.780065748809,0.653452700788219
AN19,strf24_legacy,oof_fold,0.0,M_null,237,237,164.435599319008,0.693821094173028
AN19,strf24_legacy,oof_fold,0.0,M_predictor,237,237,159.710294162674,0.673883097732803
AN19,strf24_legacy,oof_fold,1.0,M_null,380,380,276.054330143552,0.726458763535664
AN19,strf24_legacy,oof_fold,1.0,M_predictor,380,380,274.308066618571,0.721863333206766
AN19,strf24_legacy,oof_fold,2.0,M_null,333,333,205.84743376796,0.618160461765646
AN19,strf24_legacy,oof_fold,2.0,M_predictor,333,333,186.761704967563,0.560845960863553
