condition_id,feature_key,n_folds,mean_training_slope,mean_training_z,min_training_z,max_training_z,positive_slope_folds,positive_test_improvement_folds,pooled_test_mean_log_loss_null,pooled_test_mean_log_loss_predictor,pooled_test_improvement,random_structures,singular_training_fits,non_ok_training_convergence_flags,selected_singular_fits_full_and_cv_both_models,selected_non_ok_fits_full_and_cv_both_models,fit_quality
AN19.Korean.test_Korean,mfcc39,3,1.1256542438525279,3.31508761722336,3.03388156471536,3.50659065245916,3,3,0.693174406741841,0.632939679194109,0.06023472754773207,participant_item_intercepts,0,0,0,0,no_selected_fit_flags
AN19.Korean.test_Korean,strf24_legacy,3,1.4829848544145934,4.416803765803297,4.13429853741088,4.64397169698952,3,3,0.693171771345548,0.603922183892874,0.08924958745267397,participant_item_intercepts;participant_item_talker_intercepts,0,0,0,0,no_selected_fit_flags
AN19.Korean.test_Spanish,mfcc39,3,1.274897184728886,3.4861151072187737,2.70972565666249,3.92727858259003,3,3,0.698718240214229,0.661565862151245,0.03715237806298399,participant_item_intercepts,1,1,2,2,review_singular_or_convergence_flags
AN19.Korean.test_Spanish,strf24_legacy,3,1.9673601914106167,4.820881807989614,4.70360713843269,4.89180534875447,3,3,0.69862119247683,0.669830891114762,0.02879030136206795,participant_item_intercepts;participant_item_talker_intercepts,1,1,2,2,review_singular_or_convergence_flags
AN19.Mixed.test_Korean,mfcc39,3,0.61527833821624,2.904967334560196,2.567842505366,3.25475473135569,3,3,0.667690325097091,0.626117289349896,0.041573035747195064,participant_item_talker_intercepts,0,0,0,0,no_selected_fit_flags
AN19.Mixed.test_Korean,strf24_legacy,3,0.5596885810617264,2.750014541822113,2.61759650699763,3.00138054886799,3,3,0.667690325097091,0.625577189851324,0.042113135245766986,participant_item_talker_intercepts,0,0,0,0,no_selected_fit_flags
AN19.Mixed.test_Spanish,mfcc39,3,1.0196726831584106,3.2493170958726534,2.68320901867057,4.38075499307609,3,2,0.704456631316816,0.658602065793834,0.04585456552298206,participant_item_intercepts,0,0,0,0,no_selected_fit_flags
AN19.Mixed.test_Spanish,strf24_legacy,3,1.0735818397829304,3.4528894324425266,2.59257870203868,4.26766227560827,3,3,0.704868294872507,0.647825484867902,0.05704281000460498,participant_item_intercepts;participant_item_talker_intercepts,0,0,0,0,no_selected_fit_flags
AN19.Spanish.test_Korean,mfcc39,3,0.7340522981024199,2.7483740854256298,2.03629066729778,3.61670055803328,3,2,0.680355119190021,0.666190508915358,0.014164610274662981,participant_item_talker_intercepts,0,0,0,0,no_selected_fit_flags
AN19.Spanish.test_Korean,strf24_legacy,3,0.898265254157003,3.4530265678653334,2.28097412872126,4.28926794456511,3,3,0.680355119190021,0.653452700788219,0.026902418401801964,participant_item_talker_intercepts,0,0,0,0,no_selected_fit_flags
AN19.Spanish.test_Spanish,mfcc39,3,1.5955476332358665,3.45854563633503,3.23929733256878,3.59473387505367,3,1,0.694886644190062,0.712673397114094,-0.01778675292403209,participant_item_intercepts,3,3,8,8,review_singular_or_convergence_flags
AN19.Spanish.test_Spanish,strf24_legacy,3,1.9244374080243267,4.2851041571696395,3.76557660464278,4.7267193450139,3,1,0.694886644190062,0.675284756473459,0.019601887716602984,participant_item_intercepts,3,3,8,8,review_singular_or_convergence_flags
