dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
AN19,mfcc39,oof_all,,M_null,940,940,628.214643185737,0.668313450197593
AN19,mfcc39,oof_all,,M_predictor,940,940,587.464121231902,0.624961831097768
AN19,mfcc39,oof_fold,0.0,M_null,376,376,249.578682779485,0.663773092498631
AN19,mfcc39,oof_fold,0.0,M_predictor,376,376,230.682251983566,0.613516627615866
AN19,mfcc39,oof_fold,1.0,M_null,282,282,183.16146045367,0.649508725013015
AN19,mfcc39,oof_fold,1.0,M_predictor,282,282,172.564226509462,0.611929881239228
AN19,mfcc39,oof_fold,2.0,M_null,282,282,195.474499952582,0.693171985647453
AN19,mfcc39,oof_fold,2.0,M_predictor,282,282,184.217642738874,0.653254052265511
AN19,strf24_legacy,oof_all,,M_null,940,940,628.214643185737,0.668313450197593
AN19,strf24_legacy,oof_all,,M_predictor,940,940,587.00715734011,0.62447569929799
AN19,strf24_legacy,oof_fold,0.0,M_null,376,376,249.578682779485,0.663773092498631
AN19,strf24_legacy,oof_fold,0.0,M_predictor,376,376,231.979665200191,0.61696719468136
AN19,strf24_legacy,oof_fold,1.0,M_null,282,282,183.16146045367,0.649508725013015
AN19,strf24_legacy,oof_fold,1.0,M_predictor,282,282,172.065568948003,0.610161592014197
AN19,strf24_legacy,oof_fold,2.0,M_null,282,282,195.474499952582,0.693171985647453
AN19,strf24_legacy,oof_fold,2.0,M_predictor,282,282,182.961923191916,0.648801146070622
