dataset_id,feature_key,scope,fold,model_id,term,estimate,std_error,z_value,p_value,conf_low,conf_high
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,(Intercept),1.91567003073818,0.351076412940333,5.45656147815251,4.85443249802039e-08,1.22756026137513,2.60377980010124
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,condition_idB23.b_FAR,0.541177139369604,0.28720148539483,1.88431177027382,0.0595228162420455,-0.021737772004263,1.10409205074347
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,condition_idB23.b_SPA,0.573274953708191,0.253384275984462,2.26247248958473,0.0236682266692452,0.0766417727786445,1.06990813463774
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,condition_idB23.b_TUR,-0.192140124239278,0.266060386214119,-0.722167350703041,0.470191593963392,-0.713618481218952,0.329338232740395
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,condition_idB23.c_noBRP,0.14109828451137,0.275661857067429,0.511852767780113,0.608754056588046,-0.399198955340792,0.681395524363531
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,condition_idB23.c_noFAR,0.445100864421607,0.287237914344002,1.54958952907778,0.121240067759196,-0.117885447692638,1.00808717653585
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,condition_idB23.c_noSPA,0.741290661043434,0.321157572919554,2.30818365671582,0.020988923780184,0.111821818121109,1.37075950396576
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,condition_idB23.c_noTUR,0.822459347968533,0.287862929793649,2.85712143817234,0.0042750224439558,0.258248005572982,1.38667069036408
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,test_talker_idB23.FAR.FAR,-0.896224577596967,0.426065157276458,-2.1034918305123,0.035422798675847,-1.73131228585882,-0.0611368693351094
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,test_talker_idB23.SPA.SPA,-0.807836338620394,0.426695468703836,-1.89323861599548,0.0583261441866295,-1.64415945727991,0.0284867800391246
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_condition,test_talker_idB23.TUR.TUR,-1.80030629393258,0.425714692594678,-4.22890336004128,2.34833185047379e-05,-2.63470709141815,-0.965905496447006
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,(Intercept),-2.16147432143139,4.82516764277425,-0.447958388485886,0.654183227988204,-11.6188029012689,7.29585425840614
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,condition_idB23.b_FAR,3.864953093044,3.93404798007805,0.982436694370799,0.325884756226176,-3.84578094790898,11.575687133997
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,condition_idB23.b_SPA,8.42739240315468,9.28118439424028,0.908008293465709,0.363873839937225,-9.76372900955626,26.6185138158656
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,condition_idB23.b_TUR,5.56825826864588,6.80917490096233,0.817758149795642,0.413495299157713,-7.77772453724029,18.914241074532
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,condition_idB23.c_noBRP,5.16191853616334,5.93529116531541,0.86969929400069,0.384464758181929,-6.47125214785486,16.7950892201815
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,condition_idB23.c_noFAR,4.52583003916846,4.8258717272251,0.937826427013392,0.348333617706234,-4.93287854619273,13.9845386245296
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,condition_idB23.c_noSPA,3.59187831393413,3.38044502031682,1.0625459938992,0.287987889524718,-3.03379392588684,10.2175505537551
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,condition_idB23.c_noTUR,3.75444933799653,3.47340429593002,1.08091342617265,0.279735625733706,-3.05342308202631,10.5623217580194
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,test_talker_idB23.FAR.FAR,-0.896248384038862,0.426126415731738,-2.10324530691165,0.0354443316775236,-1.73145615887307,-0.0610406092046556
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,test_talker_idB23.SPA.SPA,-0.807857302597816,0.426749220150228,-1.89304927684092,0.0583513166714501,-1.64428577409226,0.0285711688966312
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,test_talker_idB23.TUR.TUR,-1.80032270825635,0.425708210774148,-4.22900630688441,2.34725766559898e-05,-2.63471080137368,-0.96593461513902
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_joint,variability_z,2.45978409153946,2.90683523381649,0.846206920476163,0.397437321962016,-3.23761296674086,8.15718114981977
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_null,(Intercept),2.2553376408131,0.314257066134918,7.17672849349657,7.13992784334819e-13,1.63939379118866,2.87128149043754
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_null,test_talker_idB23.FAR.FAR,-0.896260396564136,0.426198654682134,-2.10291700060053,0.0354730254623015,-1.73160975974112,-0.0609110333871522
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_null,test_talker_idB23.SPA.SPA,-0.80784813294088,0.426822309378151,-1.89270362675713,0.0583972938416885,-1.64441985932206,0.0287235934402955
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_null,test_talker_idB23.TUR.TUR,-1.80035586065125,0.425870781113444,-4.22746978777037,2.36333896103884e-05,-2.6350625916336,-0.965649129668902
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_predictor,(Intercept),2.2553382726846,0.314198795699652,7.17806148067008,7.07067656431032e-13,1.63950863311328,2.87116791225592
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_predictor,test_talker_idB23.FAR.FAR,-0.896243990474148,0.426251165924876,-2.1026194462823,0.0354990486597509,-1.73169627568691,-0.0607917052613903
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_predictor,test_talker_idB23.SPA.SPA,-0.807828033476359,0.426949325390244,-1.89209347675624,0.0584785273136161,-1.64464871124124,0.0289926442885207
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_predictor,test_talker_idB23.TUR.TUR,-1.80034596429033,0.425844293801182,-4.22770949498944,2.36082328883959e-05,-2.63500078014065,-0.965691148440014
B23,cnn_2::overall_order_sensitive,cv_train,0.0,M_predictor,variability_z,-0.0497219664797311,0.0848371526387487,-0.586087167392992,0.557816939406033,-0.216002785651678,0.116558852692216
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,(Intercept),2.20389578083479,0.392258439434487,5.61847893957901,1.92645871682162e-08,1.4350692395432,2.97272232212639
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,condition_idB23.b_FAR,0.22063795905533,0.41326266674962,0.533892792181507,0.593415709164046,-0.589356867773924,1.03063278588458
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,condition_idB23.b_SPA,0.165809597157594,0.358122552063395,0.462996804312515,0.643366657734277,-0.53611060488666,0.867729799201849
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,condition_idB23.b_TUR,-0.189919980448583,0.367682610568743,-0.516532397751442,0.605482617386403,-0.91057789716332,0.530737936266154
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,condition_idB23.c_noBRP,0.1582032902105,0.367790302781308,0.430145354605964,0.667089909601433,-0.562665703240862,0.879072283661863
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,condition_idB23.c_noFAR,-0.0343556135612886,0.438169862940341,-0.0784070664530534,0.937504252621459,-0.893168544924357,0.82445731780178
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,condition_idB23.c_noSPA,0.373275425698481,0.413492363751051,0.90273837783185,0.366664762904964,-0.437169607253579,1.18372045865054
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,condition_idB23.c_noTUR,0.20611998666136,0.413161951494308,0.498884241193732,0.617860936453273,-0.603677438267485,1.0159174115902
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,test_talker_idB23.FAR.FAR,-0.907683509207791,0.422210624414888,-2.14983578507927,0.0315682064893159,-1.73521633306097,-0.0801506853546107
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,test_talker_idB23.SPA.SPA,-0.962341389360373,0.422657393394924,-2.27688289474964,0.0227932196053814,-1.79074988041442,-0.133932898306322
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_condition,test_talker_idB23.TUR.TUR,-1.85405947564124,0.422016013480909,-4.39333915400136,1.11622782673972e-05,-2.68121086206383,-1.02690808921866
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,(Intercept),-6.3519149787967,6.34760056805534,-1.00067969159293,0.316981688714321,-18.7932120921852,6.08938213459177
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,condition_idB23.b_FAR,7.18997035453081,5.17607252343204,1.38907836433548,0.164808922017615,-2.955131791396,17.3350725004576
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,condition_idB23.b_SPA,16.5172056584826,12.1196814386925,1.36284156824046,0.172932447305591,-7.23736996135481,40.27178127832
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,condition_idB23.b_TUR,11.8275738944631,8.91055471633043,1.3273667320382,0.184387398987338,-5.63711334954453,29.2922611384708
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,condition_idB23.c_noBRP,10.5874926250306,7.73415226597456,1.36892735763802,0.171021983110473,-4.57144581627951,25.7464310663408
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,condition_idB23.c_noFAR,8.44588759750158,6.29475162446795,1.34173484537056,0.179681984515278,-3.89182558645561,20.7836007814588
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,condition_idB23.c_noSPA,6.31293676919144,4.41550985424661,1.42971864576861,0.152797786544211,-2.34146254513192,14.9673360835148
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,condition_idB23.c_noTUR,6.29126739407076,4.52451026320278,1.39048582677263,0.16438140022682,-2.57677272180668,15.1593075099482
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,test_talker_idB23.FAR.FAR,-0.907653513191687,0.422338016021678,-2.14911629727668,0.031625182178608,-1.73543602459418,-0.0798710017891995
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,test_talker_idB23.SPA.SPA,-0.962319839841545,0.422600302924684,-2.27713949370512,0.0227778969412049,-1.79061643357393,-0.134023246109164
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,test_talker_idB23.TUR.TUR,-1.85402076385433,0.421927553155129,-4.39416850118026,1.1119754338002e-05,-2.68099876803838,-1.02704275967027
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_joint,variability_z,5.0777235061933,3.76408462032201,1.34899292082305,0.177339239932161,-2.29988234963783,12.4553293620244
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_null,(Intercept),2.30233127300746,0.317515818700865,7.25107581230938,4.13474152531138e-13,1.68000026835376,2.92466227766115
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_null,test_talker_idB23.FAR.FAR,-0.907610592227868,0.422166233012951,-2.14988912246808,0.0315639862496196,-1.73505640893325,-0.0801647755224845
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_null,test_talker_idB23.SPA.SPA,-0.962261837040432,0.42263165633941,-2.27683331952695,0.0227961809943197,-1.79061988346568,-0.133903790615189
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_null,test_talker_idB23.TUR.TUR,-1.8539978598329,0.421879642134164,-4.39461323721162,1.10970147029422e-05,-2.68088195841586,-1.02711376124993
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_predictor,(Intercept),2.30233188492533,0.317620066951689,7.24869781377989,4.20797530487097e-13,1.67979655370002,2.92486721615064
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_predictor,test_talker_idB23.FAR.FAR,-0.907614993572468,0.422317846745868,-2.14912772587286,0.0316242764679736,-1.73535797319437,-0.0798720139505673
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_predictor,test_talker_idB23.SPA.SPA,-0.962268189961186,0.422729569850853,-2.27632098294116,0.0228268051388118,-1.79081814686886,-0.133718233053514
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_predictor,test_talker_idB23.TUR.TUR,-1.8539967272162,0.422027050167148,-4.39307557769556,1.11758253526172e-05,-2.68116974554381,-1.02682370888859
B23,cnn_2::overall_order_sensitive,cv_train,1.0,M_predictor,variability_z,0.005587684527037,0.10473068726166,0.0533528870394666,0.957450742407559,-0.199684462505817,0.210859831559891
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,(Intercept),2.33653085247934,0.405248577274958,5.7656731781541,8.13325366450924e-09,1.54224364102042,3.13081806393825
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,condition_idB23.b_FAR,0.113664634692987,0.357577858724842,0.3178738054373,0.750580663065381,-0.587187968407704,0.814517237793678
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,condition_idB23.b_SPA,0.044794001094437,0.339477434025774,0.13194986353949,0.895023947994411,-0.62058176959608,0.710169771784954
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,condition_idB23.b_TUR,-0.160579719930046,0.369757931623864,-0.434283368107424,0.664082679923412,-0.88530526591282,0.564145826052728
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,condition_idB23.c_noBRP,0.279516031627007,0.429633693932415,0.650591505216015,0.515310215404535,-0.562566008480527,1.12159807173454
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,condition_idB23.c_noFAR,0.0479695531623004,0.369830719962424,0.129706783598654,0.896798415376059,-0.67689865796405,0.772837764288651
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,condition_idB23.c_noSPA,0.267247024257593,0.384822133149158,0.694468953931003,0.487388164036101,-0.487004356714757,1.02149840522994
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,condition_idB23.c_noTUR,0.405811636989582,0.357947003724496,1.1337198880478,0.256912064515286,-0.29576449031043,1.10738776428959
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,test_talker_idB23.FAR.FAR,-1.00655889323661,0.459808341483938,-2.18908358640938,0.028590765288184,-1.90778324254513,-0.105334543928089
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,test_talker_idB23.SPA.SPA,-0.951833844876906,0.460783388968105,-2.06568610688957,0.0388581279647102,-1.85496928725439,-0.0486984024994213
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_condition,test_talker_idB23.TUR.TUR,-2.00036199754424,0.45941732110422,-4.35412838317963,1.33597399488766e-05,-2.90081994690851,-1.09990404817996
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,(Intercept),8.82369806664899,4.95820086407793,1.77961690309413,0.075138678012524,-0.89437562694375,18.5417717602417
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,condition_idB23.b_FAR,-5.3886780337572,4.20694228585673,-1.28090134534846,0.200228320218885,-13.6342849140364,2.85692884652198
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,condition_idB23.b_SPA,-12.9509287260485,9.9128244803578,-1.30648219906553,0.191388628675064,-32.3800647075497,6.47820725545282
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,condition_idB23.b_TUR,-9.70674165182488,7.28425541707992,-1.3325647023668,0.18267469511027,-23.9838822693015,4.57039896565177
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,condition_idB23.c_noBRP,-8.0191142171916,6.33830412040423,-1.26518293613847,0.205805757916121,-20.4421902931839,4.40396185880068
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,condition_idB23.c_noFAR,-6.74357961167575,5.18953846471434,-1.29945652345154,0.193787304600947,-16.9150750025159,3.42791577916436
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,condition_idB23.c_noSPA,-4.42280071273634,3.59357066001101,-1.23075379091691,0.218414962978965,-11.4661992063579,2.62059778088523
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,condition_idB23.c_noTUR,-4.44150568593456,3.71044903978699,-1.19702646184019,0.231296240854259,-11.7139858039171,2.83097443204793
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,test_talker_idB23.FAR.FAR,-1.00658269442336,0.460044991827799,-2.18800924323536,0.0286689290297831,-1.90827087840585,-0.104894510440872
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,test_talker_idB23.SPA.SPA,-0.951861098298503,0.460917604296146,-2.06514372509608,0.0389094032808377,-1.85525960271895,-0.0484625938780573
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,test_talker_idB23.TUR.TUR,-2.0003972687504,0.459706105476311,-4.35146987373106,1.3522790449424e-05,-2.90142123548397,-1.09937330201683
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_joint,variability_z,-3.97979662188589,3.03595995329779,-1.31088574391861,0.189896367973414,-9.93027813034955,1.97068488657778
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_null,(Intercept),2.44739521514906,0.341564765174436,7.16524496869336,7.76475804105669e-13,1.77792827540716,3.11686215489096
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_null,test_talker_idB23.FAR.FAR,-1.00647135365458,0.460108566994909,-2.18746492861047,0.028708600779874,-1.9082841449646,-0.104658562344561
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_null,test_talker_idB23.SPA.SPA,-0.951746563116352,0.46096342754843,-2.06468996505446,0.0389523446811336,-1.85523488111127,-0.0482582451214294
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_null,test_talker_idB23.TUR.TUR,-2.00026999942614,0.459721463557232,-4.35104766253125,1.3548859356079e-05,-2.90132406799831,-1.09921593085396
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_predictor,(Intercept),2.44740023043541,0.341576019837198,7.16502356225676,7.77731764027402e-13,1.7779112315545,3.11688922931632
