dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
B23,cnn_2::overall_order_sensitive,oof_all,,M_condition,5820,31234,17833.1985630717,0.570954682815897
B23,cnn_2::overall_order_sensitive,oof_all,,M_joint,5820,31234,17876.3263640884,0.572335479416289
B23,cnn_2::overall_order_sensitive,oof_all,,M_null,5820,31234,17768.3096847155,0.568877175024507
B23,cnn_2::overall_order_sensitive,oof_all,,M_predictor,5820,31234,17778.7980577131,0.569212974889964
B23,cnn_2::overall_order_sensitive,oof_fold,0.0,M_condition,1920,10304,5991.23549100003,0.581447543769413
B23,cnn_2::overall_order_sensitive,oof_fold,0.0,M_joint,1920,10304,6000.60491127179,0.582356843097029
B23,cnn_2::overall_order_sensitive,oof_fold,0.0,M_null,1920,10304,5849.79712015317,0.567720993803685
B23,cnn_2::overall_order_sensitive,oof_fold,0.0,M_predictor,1920,10304,5858.48381649682,0.568564034986104
B23,cnn_2::overall_order_sensitive,oof_fold,1.0,M_condition,2160,11592,6434.14445631958,0.555050418937161
B23,cnn_2::overall_order_sensitive,oof_fold,1.0,M_joint,2160,11592,6446.15791108505,0.556086776318586
B23,cnn_2::overall_order_sensitive,oof_fold,1.0,M_null,2160,11592,6473.60236365666,0.558454310184322
B23,cnn_2::overall_order_sensitive,oof_fold,1.0,M_predictor,2160,11592,6474.00979930068,0.558489458186739
B23,cnn_2::overall_order_sensitive,oof_fold,2.0,M_condition,1740,9338,5407.81861575212,0.579119577613206
B23,cnn_2::overall_order_sensitive,oof_fold,2.0,M_joint,1740,9338,5429.56354173154,0.581448226786415
B23,cnn_2::overall_order_sensitive,oof_fold,2.0,M_null,1740,9338,5444.91020090563,0.583091689966334
B23,cnn_2::overall_order_sensitive,oof_fold,2.0,M_predictor,1740,9338,5446.30444191564,0.583240998277537
B23,cnn_3::overall_order_sensitive,oof_all,,M_condition,5820,31234,17833.1985630717,0.570954682815897
B23,cnn_3::overall_order_sensitive,oof_all,,M_joint,5820,31234,17879.3560872973,0.572432480223387
B23,cnn_3::overall_order_sensitive,oof_all,,M_null,5820,31234,17768.3096847155,0.568877175024507
B23,cnn_3::overall_order_sensitive,oof_all,,M_predictor,5820,31234,17799.3644112436,0.569871435334687
B23,cnn_3::overall_order_sensitive,oof_fold,0.0,M_condition,1920,10304,5991.23549100003,0.581447543769413
B23,cnn_3::overall_order_sensitive,oof_fold,0.0,M_joint,1920,10304,5990.33402090472,0.581360056376623
B23,cnn_3::overall_order_sensitive,oof_fold,0.0,M_null,1920,10304,5849.79712015317,0.567720993803685
B23,cnn_3::overall_order_sensitive,oof_fold,0.0,M_predictor,1920,10304,5893.50568079309,0.571962896039702
B23,cnn_3::overall_order_sensitive,oof_fold,1.0,M_condition,2160,11592,6434.14445631958,0.555050418937161
B23,cnn_3::overall_order_sensitive,oof_fold,1.0,M_joint,2160,11592,6477.55706936944,0.558795468372105
B23,cnn_3::overall_order_sensitive,oof_fold,1.0,M_null,2160,11592,6473.60236365666,0.558454310184322
B23,cnn_3::overall_order_sensitive,oof_fold,1.0,M_predictor,2160,11592,6466.02003728431,0.557800210255721
B23,cnn_3::overall_order_sensitive,oof_fold,2.0,M_condition,1740,9338,5407.81861575212,0.579119577613206
B23,cnn_3::overall_order_sensitive,oof_fold,2.0,M_joint,1740,9338,5411.46499702312,0.579510066076582
B23,cnn_3::overall_order_sensitive,oof_fold,2.0,M_null,1740,9338,5444.91020090563,0.583091689966334
B23,cnn_3::overall_order_sensitive,oof_fold,2.0,M_predictor,1740,9338,5439.8386931662,0.582548585689248
B23,cnn_4::overall_order_sensitive,oof_all,,M_condition,5820,31234,17833.1985630717,0.570954682815897
B23,cnn_4::overall_order_sensitive,oof_all,,M_joint,5820,31234,17850.4285688678,0.571506325442396
B23,cnn_4::overall_order_sensitive,oof_all,,M_null,5820,31234,17768.3096847155,0.568877175024507
B23,cnn_4::overall_order_sensitive,oof_all,,M_predictor,5820,31234,17787.9173257171,0.569504940952715
B23,cnn_4::overall_order_sensitive,oof_fold,0.0,M_condition,1920,10304,5991.23549100003,0.581447543769413
