dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
AN19,tr_24::between_type_word,oof_all,,M_condition,5760,5760,3940.64763312398,0.684140214084024
AN19,tr_24::between_type_word,oof_all,,M_joint,5760,5760,3943.83372865255,0.684693355668845
AN19,tr_24::between_type_word,oof_all,,M_null,5760,5760,3974.89378964765,0.690085727369383
AN19,tr_24::between_type_word,oof_all,,M_predictor,5760,5760,3978.08334353642,0.690639469363961
AN19,tr_24::between_type_word,oof_fold,0.0,M_condition,1920,1920,1311.01126744211,0.682818368459434
AN19,tr_24::between_type_word,oof_fold,0.0,M_joint,1920,1920,1311.10484414346,0.682867106324717
AN19,tr_24::between_type_word,oof_fold,0.0,M_null,1920,1920,1331.28623790319,0.693378248907913
AN19,tr_24::between_type_word,oof_fold,0.0,M_predictor,1920,1920,1331.26089463516,0.693365049289144
AN19,tr_24::between_type_word,oof_fold,1.0,M_condition,1920,1920,1311.5346064152,0.683090940841248
AN19,tr_24::between_type_word,oof_fold,1.0,M_joint,1920,1920,1314.63943015481,0.684708036538961
AN19,tr_24::between_type_word,oof_fold,1.0,M_null,1920,1920,1324.496970267,0.689842172014063
AN19,tr_24::between_type_word,oof_fold,1.0,M_predictor,1920,1920,1327.24294063913,0.691272364916215
AN19,tr_24::between_type_word,oof_fold,2.0,M_condition,1920,1920,1318.10175926667,0.686511332951391
AN19,tr_24::between_type_word,oof_fold,2.0,M_joint,1920,1920,1318.08945435429,0.686504924142857
AN19,tr_24::between_type_word,oof_fold,2.0,M_null,1920,1920,1319.11058147745,0.687036761186173
AN19,tr_24::between_type_word,oof_fold,2.0,M_predictor,1920,1920,1319.57950826213,0.687280993886524
AN19,tr_24::mean_dissimilarity_word,oof_all,,M_condition,5760,5760,3940.64763312398,0.684140214084024
AN19,tr_24::mean_dissimilarity_word,oof_all,,M_joint,5760,5760,3939.4586605269,0.683933795230365
AN19,tr_24::mean_dissimilarity_word,oof_all,,M_null,5760,5760,3974.89378964765,0.690085727369383
AN19,tr_24::mean_dissimilarity_word,oof_all,,M_predictor,5760,5760,3976.30908395761,0.690331438187085
AN19,tr_24::mean_dissimilarity_word,oof_fold,0.0,M_condition,1920,1920,1311.01126744211,0.682818368459434
AN19,tr_24::mean_dissimilarity_word,oof_fold,0.0,M_joint,1920,1920,1311.36311660188,0.683001623230144
AN19,tr_24::mean_dissimilarity_word,oof_fold,0.0,M_null,1920,1920,1331.28623790319,0.693378248907913
AN19,tr_24::mean_dissimilarity_word,oof_fold,0.0,M_predictor,1920,1920,1333.55229702817,0.694558488035507
AN19,tr_24::mean_dissimilarity_word,oof_fold,1.0,M_condition,1920,1920,1311.5346064152,0.683090940841248
AN19,tr_24::mean_dissimilarity_word,oof_fold,1.0,M_joint,1920,1920,1310.41897998293,0.682509885407774
AN19,tr_24::mean_dissimilarity_word,oof_fold,1.0,M_null,1920,1920,1324.496970267,0.689842172014063
