"k","kind","status","z","log_likelihood","coefficient","std_error","singular","var_participant","var_item","var_talker","n_rows","participants","n_word_responses","predictor_shifted_mean","predictor_sd","fit_seconds","warnings","convergence","lme4_version"
1e-06,"grid","ok",4.09047544295206,-3162.08562615811,0.22112650452221,0.0540588759439232,FALSE,0.812419098669103,2.42816129586261,NA,8290,161,8290,-1.80375798767982e-05,1.09180364157241e-05,3.84,"","ok","1.1.35.5"
1.43722826598624e-06,"grid","ok",4.09047220530503,-3162.08561548918,0.221126624652416,0.0540589481003274,FALSE,0.812419423547992,2.42816011832689,NA,8290,161,8290,-2.59239799732364e-05,1.56915292770259e-05,3.74,"","ok","1.1.35.5"
2.06562508854983e-06,"grid","ok",4.09048911395367,-3162.08559989366,0.221127052884654,0.0540588293293177,FALSE,0.812419399767916,2.42815967925351,NA,8290,161,8290,-3.7258388270103e-05,2.25519349881012e-05,4.09,"","ok","1.1.35.5"
2.96877476419415e-06,"grid","ok",4.09048339250922,-3162.08557716101,0.221127922413836,0.0540591175162283,FALSE,0.81241906876978,2.42815737904691,NA,8290,161,8290,-5.35482128143172e-05,3.241150501833e-05,3.94,"","ok","1.1.35.5"
4.26680700644649e-06,"grid","ok",4.09050834795443,-3162.08554467552,0.221128876101903,0.0540590208580027,FALSE,0.81241888572599,2.42815579854376,NA,8290,161,8290,-7.69597740643017e-05,4.65811336715552e-05,4.06,"","ok","1.1.35.5"
6.13237563517304e-06,"grid","ok",4.09051464894372,-3162.08549818275,0.221130143965192,0.0540592475380314,FALSE,0.812418774771909,2.42815402977888,NA,8290,161,8290,-0.000110606219960987,6.69444223762322e-05,4.58,"","ok","1.1.35.5"
8.81362360051604e-06,"grid","ok",4.09053027004415,-3162.08543115176,0.221131994033301,0.0540594933749052,FALSE,0.812418628719808,2.42814916919864,NA,8290,161,8290,-0.000158961133779062,9.62076009640464e-05,4.44,"","ok","1.1.35.5"
1.26671889644251e-05,"grid","ok",4.09055251328568,-3162.08533485237,0.221135168613691,0.0540599754912001,FALSE,0.81241801950735,2.42814331843104,NA,8290,161,8290,-0.000228452586876729,0.000138258207818359,4.14,"","ok","1.1.35.5"
1.82056420302608e-05,"grid","ok",4.09059446892289,-3162.08519650712,0.221139140443519,0.0540603919854584,FALSE,0.81241744797429,2.42813403512235,NA,8290,161,8290,-0.000328316110101491,0.000198679534536527,4.03,"","ok","1.1.35.5"
2.6165663326318e-05,"grid","ok",4.09065596462887,-3162.08499790975,0.221145093376716,0.0540610345355161,FALSE,0.812415970362424,2.42812397344026,NA,8290,161,8290,-0.000471818919587616,0.000285487811603517,3.58,"","ok","1.1.35.5"
3.76060309308639e-05,"grid","ok",4.09074468864812,-3162.08471284687,0.221153627450151,0.0540619481982964,FALSE,0.812415411462969,2.42810508844129,NA,8290,161,8290,-0.000678015922763557,0.000410187197408102,3.82,"","ok","1.1.35.5"
5.40484506253906e-05,"grid","ok",4.09086643705916,-3162.08430371294,0.221166005894616,0.0540633651324016,FALSE,0.812413476759258,2.42807938978817,NA,8290,161,8290,-0.00097426630679763,0.000589276729732649,4.16,"","ok","1.1.35.5"
7.76799609715734e-05,"grid","ok",4.09103864862361,-3162.08371694614,0.221183769422067,0.0540654314024831,FALSE,0.812411146446278,2.42804460498794,NA,8290,161,8290,-0.00139983561499125,0.000846396984103081,4.63999999999999,"","ok","1.1.35.5"
0.000111643835609,"grid","ok",4.0912728849166,-3162.08287648629,0.221208963459031,0.0540684940069794,FALSE,0.812407447958645,2.42799218482955,NA,8290,161,8290,-0.00201104217438671,0.00121537586064903,3.86000000000001,"","ok","1.1.35.5"
0.0001604576762604,"grid","ok",4.09160843864006,-3162.08167420763,0.221245084672937,0.0540728879585732,FALSE,0.812402696908686,2.42791855118463,NA,8290,161,8290,-0.0028885907204744,0.00174452504794903,4.2,"","ok","1.1.35.5"
0.0002306143078159,"grid","ok",4.09212436157235,-3162.07995762273,0.221296901696785,0.0540787332308136,FALSE,0.812394925556353,2.42781436202751,NA,8290,161,8290,-0.00414798300759691,0.00250264902094735,4.08000000000001,"","ok","1.1.35.5"
0.0003314454017339,"grid","ok",4.09283208237785,-3162.07751385552,0.22137107976246,0.0540875059877482,FALSE,0.81238467073216,2.42766257635774,NA,8290,161,8290,-0.00595421449321849,0.00358734248041679,4.08999999999999,"","ok","1.1.35.5"
0.0004763627000032,"grid","ok",4.09382442587335,-3162.0740509566,0.221476418095204,0.0541001262036185,FALSE,0.812369313124681,2.42744860742894,NA,8290,161,8290,-0.00854235299045754,0.00513622753974927,4.11,"","ok","1.1.35.5"
0.0006846419373062,"grid","ok",4.09523854726803,-3162.06917351907,0.221626383255689,0.0541180643563579,FALSE,0.81234726250022,2.42714206670996,NA,8290,161,8290,-0.0122460064637909,0.00734171724809853,3.89,"","ok","1.1.35.5"
0.000983986744376,"grid","ok",4.09720182944464,-3162.062366772,0.221838461574064,0.0541438940058595,FALSE,0.812316250615019,2.42670830254852,NA,8290,161,8290,0.982464008094345,0.0104694693911845,4.04000000000001,"","ok","1.1.35.5"
0.001,"grid","ok",4.0973139500316,-3162.06200946104,0.22184918794611,0.0541450302934192,FALSE,0.812314525676846,2.42668495438139,NA,8290,161,8290,0.982182114677578,0.0106354034607495,4.12,"","ok","1.1.35.5"
0.001414213562373,"grid","ok",4.09990940259693,-3162.05299721985,0.222134775683168,0.0541804108018742,FALSE,0.812271104042956,2.42609787680322,NA,8290,161,8290,0.974928600387198,0.014879484446749,3.83,"","ok","1.1.35.5"
0.0020325477059837,"grid","ok",4.10357544651478,-3162.04036487566,0.222545829817966,0.0542321769682526,FALSE,0.812205106060591,2.42524568507286,NA,8290,161,8290,0.96423596779903,0.0210460318700001,4.34,"","ok","1.1.35.5"
0.0029212350150052,"grid","ok",4.1083560897899,-3162.02386982629,0.223106418898103,0.0543055212406169,FALSE,0.812111470336484,2.42407062743647,NA,8290,161,8290,0.949146425586733,0.0295670441289264,4.09999999999999,"","ok","1.1.35.5"
