dataset_id,variant,layer,talker_a_id,talker_b_id,n_matched_items,mean_raw_distance,item_scope,tau,dtw_normalization
AN19,base,tr_24,AN19.ENG.ef1,AN19.ENG.ef1,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.ENG.ef2,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef3,AN19.ENG.ef3,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em1,AN19.ENG.em1,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em2,AN19.ENG.em2,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em3,AN19.ENG.em3,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf1,AN19.KOR.kf1,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf2,AN19.KOR.kf2,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf3,AN19.KOR.kf3,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf4,AN19.KOR.kf4,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf5,AN19.KOR.kf5,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf6,AN19.KOR.kf6,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km1,AN19.KOR.km1,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km2,AN19.KOR.km2,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km3,AN19.KOR.km3,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km6,AN19.KOR.km6,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km7,AN19.KOR.km7,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km8,AN19.KOR.km8,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf1,AN19.SPA.sf1,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf2,AN19.SPA.sf2,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf3,AN19.SPA.sf3,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf4,AN19.SPA.sf4,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf5,AN19.SPA.sf5,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf6,AN19.SPA.sf6,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm2,AN19.SPA.sm2,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm3,AN19.SPA.sm3,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm4,AN19.SPA.sm4,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm5,AN19.SPA.sm5,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm6,AN19.SPA.sm6,138,0.0,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm7,AN19.SPA.sm7,138,0.0,138 globally common words,2.0,mean_sequence_length
