dataset_id,participant_id,presentation_index,segment_id,source_filename,source_condition,source_list,source_trial,order_status
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,1,X21.CMN.CMN_M_043.HT1_S025,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S025,Talker-specific,a_rev,1,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,2,X21.CMN.CMN_M_043.HT1_S018,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S018,Talker-specific,a_rev,2,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,3,X21.CMN.CMN_M_043.HT1_S020,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S020,Talker-specific,a_rev,3,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,4,X21.CMN.CMN_M_043.HT1_S023,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S023,Talker-specific,a_rev,4,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,5,X21.CMN.CMN_M_043.HT1_S029,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S029,Talker-specific,a_rev,5,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,6,X21.CMN.CMN_M_043.HT1_S026,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S026,Talker-specific,a_rev,6,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,7,X21.CMN.CMN_M_043.HT1_S028,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S028,Talker-specific,a_rev,7,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,8,X21.CMN.CMN_M_043.HT1_S021,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S021,Talker-specific,a_rev,8,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,9,X21.CMN.CMN_M_043.HT1_S019,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S019,Talker-specific,a_rev,9,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,10,X21.CMN.CMN_M_043.HT1_S032,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S032,Talker-specific,a_rev,10,available
