recording_id,speaker_id,canonical_item_id,canonical_recording_item_id,accent,source_speaker_code,source_speaker_sex,source_corpus,source_l1_language,source_speaker_directory,difficulty_code,difficulty,item_number,word,used_in_experiment,behavior_phases,behavior_block_lists,behavior_item_id,behavior_talker_id,behavior_training_accents,behavior_test_accents,legacy_feature_key,legacy_key_collision,legacy_key_recording_count,legacy_key_collision_rank,source_filename,source_stem,source_wav_relpath
AN19-rec-42f9635ef1963d09142b,AN19.ENG.ef1,AN19.ENG.ef1.W01,AN19.ENG.ef1.EW01,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,01,was,false,,,,,,,ef1/was,false,1,1,ef1ew01 was.WAV,ef1ew01 was,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew01 was.WAV
AN19-rec-35264dd3388b3afc06dd,AN19.ENG.ef1,AN19.ENG.ef1.W02,AN19.ENG.ef1.EW02,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,02,down,false,,,,,,,ef1/down,false,1,1,ef1ew02 down.WAV,ef1ew02 down,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew02 down.WAV
AN19-rec-0555ed8b26decd68d6db,AN19.ENG.ef1,AN19.ENG.ef1.W03,AN19.ENG.ef1.EW03,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,03,work,false,,,,,,,ef1/work,false,1,1,ef1ew03 work.wav,ef1ew03 work,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew03 work.wav
AN19-rec-ad3b4d36121fe64f5d46,AN19.ENG.ef1,AN19.ENG.ef1.W04,AN19.ENG.ef1.EW04,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,04,long,false,,,,,,,ef1/long,false,1,1,ef1ew04 long.WAV,ef1ew04 long,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew04 long.WAV
AN19-rec-858bdf99be07439d3783,AN19.ENG.ef1,AN19.ENG.ef1.W05,AN19.ENG.ef1.EW05,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,05,both,false,,,,,,,ef1/both,false,1,1,ef1ew05 both.WAV,ef1ew05 both,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew05 both.WAV
AN19-rec-9d9464a4870d17e5ba67,AN19.ENG.ef1,AN19.ENG.ef1.W06,AN19.ENG.ef1.EW06,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,06,thought,false,,,,,,,ef1/thought,false,1,1,ef1ew06 thought.WAV,ef1ew06 thought,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew06 thought.WAV
AN19-rec-1d4933604c330432deb3,AN19.ENG.ef1,AN19.ENG.ef1.W07,AN19.ENG.ef1.EW07,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,07,does,false,,,,,,,ef1/does,false,1,1,ef1ew07 does.WAV,ef1ew07 does,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew07 does.WAV
AN19-rec-d9e0eacdf2ba4e5c24e7,AN19.ENG.ef1,AN19.ENG.ef1.W08,AN19.ENG.ef1.EW08,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,08,put,false,,,,,,,ef1/put,false,1,1,ef1ew08 put.WAV,ef1ew08 put,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew08 put.WAV
AN19-rec-0e3887b559ae567640a9,AN19.ENG.ef1,AN19.ENG.ef1.W09,AN19.ENG.ef1.EW09,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,09,give,false,,,,,,,ef1/give,false,1,1,ef1ew09 give.WAV,ef1ew09 give,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew09 give.WAV
AN19-rec-904fa318974f184cf3cf,AN19.ENG.ef1,AN19.ENG.ef1.W10,AN19.ENG.ef1.EW10,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,10,young,false,,,,,,,ef1/young,false,1,1,ef1ew10 young.WAV,ef1ew10 young,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew10 young.WAV
AN19-rec-a7223c84fe3c978bddd0,AN19.ENG.ef1,AN19.ENG.ef1.W11,AN19.ENG.ef1.EW11,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,11,thing,false,,,,,,,ef1/thing,false,1,1,ef1ew11 thing.WAV,ef1ew11 thing,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew11 thing.WAV
AN19-rec-dfa3f971b717a69fd24d,AN19.ENG.ef1,AN19.ENG.ef1.W12,AN19.ENG.ef1.EW12,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,12,peace,false,,,,,,,ef1/peace,false,1,1,ef1ew12 peace.WAV,ef1ew12 peace,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew12 peace.WAV
AN19-rec-e9e31e4d2f92d83141bb,AN19.ENG.ef1,AN19.ENG.ef1.W13,AN19.ENG.ef1.EW13,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,13,god,false,,,,,,,ef1/god,false,1,1,ef1ew13 god.WAV,ef1ew13 god,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew13 god.WAV
AN19-rec-0f9a1947cd564d38a76d,AN19.ENG.ef1,AN19.ENG.ef1.W14,AN19.ENG.ef1.EW14,ENG,ef1,F,L1_ENG,English,ef1,ew,easy,14,five,false,,,,,,,ef1/five,false,1,1,ef1ew14 five.WAV,ef1ew14 five,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/ef1/ef1ew14 five.WAV
