experiment_id,participant_id,exposure_test_condition_id,exposure_test_condition.original,exposure_condition.accent,exposure_condition.talker,test_condition.accent_generalization,test_condition.talker_generalization,exposure_accents,test_accents,exposure_talkers,test_talkers,phase,trial,trial.within_phase,item_id,item_unit,item_accent,item_talker,response_expected,response_expected.ipa,response_provided,response_provided.ipa,response_correct,response_incorrect
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,6.0,1,AN19.KOR.km6.W30,word,KOR,AN19.KOR.km6,cause,,cause,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,2.0,2,AN19.KOR.km6.W07,word,KOR,AN19.KOR.km6,cheer,,chair,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,16.0,3,AN19.KOR.km2.W02,word,KOR,AN19.KOR.km2,down,,down,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,20.0,4,AN19.KOR.kf4.W11,word,KOR,AN19.KOR.kf4,dune,,toon,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,23.0,5,AN19.KOR.kf6.W16,word,KOR,AN19.KOR.kf6,lad,,lead,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,3.0,6,AN19.KOR.kf2.W21,word,KOR,AN19.KOR.kf2,love,,love,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,22.0,7,AN19.KOR.km2.W19,word,KOR,AN19.KOR.km2,mitt,,mit,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,4.0,8,AN19.KOR.km2.W22,word,KOR,AN19.KOR.km2,pet,,pet,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,7.0,9,AN19.KOR.kf4.W25,word,KOR,AN19.KOR.kf4,rhyme,,rhyme,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,20.0,10,AN19.KOR.km2.W01,word,KOR,AN19.KOR.km2,was,,was,,1,0
