experiment_id,participant_id,exposure_test_condition_id,exposure_test_condition.original,exposure_condition.accent,exposure_condition.talker,test_condition.accent_generalization,test_condition.talker_generalization,exposure_accents,test_accents,exposure_talkers,test_talkers,phase,trial,trial.within_phase,item_id,item_unit,item_accent,item_talker,response_expected,response_expected.ipa,response_provided,response_provided.ipa,response_correct,response_incorrect
B23,B23.55ea70c37480920010aa9982,B23.b_SPA,b_SPA,single,single,within-accent,within-talker,SPA,"BRP, FAR, SPA, TUR",B23.SPA.SPA,"B23.BRP.BRP, B23.FAR.FAR, B23.SPA.SPA, B23.TUR.TUR",test,1,1,B23.SPA.SPA.S0812,sentence,SPA,B23.SPA.SPA,SWIMMERS CAN HOLD THEIR BREATH,,,,5,0
B23,B23.55ea70c37480920010aa9982,B23.b_SPA,b_SPA,single,single,cross-accent,cross-talker,SPA,"BRP, FAR, SPA, TUR",B23.SPA.SPA,"B23.BRP.BRP, B23.FAR.FAR, B23.SPA.SPA, B23.TUR.TUR",test,2,2,B23.TUR.TUR.S3199,sentence,TUR,B23.TUR.TUR,THE BALL BOUNCED VERY HIGH,,,,5,0
B23,B23.55ea70c37480920010aa9982,B23.b_SPA,b_SPA,single,single,cross-accent,cross-talker,SPA,"BRP, FAR, SPA, TUR",B23.SPA.SPA,"B23.BRP.BRP, B23.FAR.FAR, B23.SPA.SPA, B23.TUR.TUR",test,3,3,B23.BRP.BRP.S5787,sentence,BRP,B23.BRP.BRP,THE BOOK TELLS A STORY,,,,5,0
B23,B23.55ea70c37480920010aa9982,B23.b_SPA,b_SPA,single,single,cross-accent,cross-talker,SPA,"BRP, FAR, SPA, TUR",B23.SPA.SPA,"B23.BRP.BRP, B23.FAR.FAR, B23.SPA.SPA, B23.TUR.TUR",test,4,4,B23.TUR.TUR.S9029,sentence,TUR,B23.TUR.TUR,THE WAITER BROUGHT THE CREAM,,,,3,2
B23,B23.55ea70c37480920010aa9982,B23.b_SPA,b_SPA,single,single,cross-accent,cross-talker,SPA,"BRP, FAR, SPA, TUR",B23.SPA.SPA,"B23.BRP.BRP, B23.FAR.FAR, B23.SPA.SPA, B23.TUR.TUR",test,5,5,B23.TUR.TUR.S5774,sentence,TUR,B23.TUR.TUR,IT'S TIME TO GO TO BED,,,,6,0
B23,B23.55ea70c37480920010aa9982,B23.b_SPA,b_SPA,single,single,within-accent,within-talker,SPA,"BRP, FAR, SPA, TUR",B23.SPA.SPA,"B23.BRP.BRP, B23.FAR.FAR, B23.SPA.SPA, B23.TUR.TUR",test,6,6,B23.SPA.SPA.S2588,sentence,SPA,B23.SPA.SPA,THE BALL BROKE THE WINDOW,,,,4,1
B23,B23.55ea70c37480920010aa9982,B23.b_SPA,b_SPA,single,single,within-accent,within-talker,SPA,"BRP, FAR, SPA, TUR",B23.SPA.SPA,"B23.BRP.BRP, B23.FAR.FAR, B23.SPA.SPA, B23.TUR.TUR",test,7,7,B23.SPA.SPA.S9461,sentence,SPA,B23.SPA.SPA,THE MATCH BOXES ARE EMPTY,,,,4,1
B23,B23.55ea70c37480920010aa9982,B23.b_SPA,b_SPA,single,single,cross-accent,cross-talker,SPA,"BRP, FAR, SPA, TUR",B23.SPA.SPA,"B23.BRP.BRP, B23.FAR.FAR, B23.SPA.SPA, B23.TUR.TUR",test,8,8,B23.TUR.TUR.S2189,sentence,TUR,B23.TUR.TUR,THE BABY SLEPT ALL NIGHT,,,,5,0
B23,B23.55ea70c37480920010aa9982,B23.b_SPA,b_SPA,single,single,within-accent,within-talker,SPA,"BRP, FAR, SPA, TUR",B23.SPA.SPA,"B23.BRP.BRP, B23.FAR.FAR, B23.SPA.SPA, B23.TUR.TUR",test,9,9,B23.SPA.SPA.S2227,sentence,SPA,B23.SPA.SPA,THE PICTURE CAME FROM A BOOK,,,,6,0
B23,B23.55ea70c37480920010aa9982,B23.b_SPA,b_SPA,single,single,cross-accent,cross-talker,SPA,"BRP, FAR, SPA, TUR",B23.SPA.SPA,"B23.BRP.BRP, B23.FAR.FAR, B23.SPA.SPA, B23.TUR.TUR",test,10,10,B23.FAR.FAR.S9530,sentence,FAR,B23.FAR.FAR,THEY FOUND HIS BROTHER HIDING,,,,3,2
