experiment_id,participant_id,exposure_test_condition_id,exposure_test_condition.original,exposure_condition.accent,exposure_condition.talker,test_condition.accent_generalization,test_condition.talker_generalization,exposure_accents,test_accents,exposure_talkers,test_talkers,phase,trial,trial.within_phase,item_id,item_unit,item_accent,item_talker,response_expected,response_expected.ipa,response_provided,response_provided.ipa,response_correct,response_incorrect
X21,X21.f8b17be6a35f51d7f154ff160f33e71c,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_032,test,1,1,X21.CMN.CMN_M_032.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_032,shoes,,the shoes were very dirty,,1,0
X21,X21.f8b17be6a35f51d7f154ff160f33e71c,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_032,test,1,2,X21.CMN.CMN_M_032.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_032,were,,the shoes were very dirty,,1,0
X21,X21.f8b17be6a35f51d7f154ff160f33e71c,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_032,test,1,3,X21.CMN.CMN_M_032.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_032,very,,the shoes were very dirty,,1,0
X21,X21.f8b17be6a35f51d7f154ff160f33e71c,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_032,test,1,4,X21.CMN.CMN_M_032.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_032,dirty,,the shoes were very dirty,,1,0
X21,X21.9c2c7fd165b3aa898e658c3cc81da774,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_035, X21.CMN.CMN_M_037, X21.CMN.CMN_M_043",X21.CMN.CMN_M_032,test,13,1,X21.CMN.CMN_M_032.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_032,shoes,,the shoes were very dirty,,1,0
X21,X21.9c2c7fd165b3aa898e658c3cc81da774,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_035, X21.CMN.CMN_M_037, X21.CMN.CMN_M_043",X21.CMN.CMN_M_032,test,13,2,X21.CMN.CMN_M_032.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_032,were,,the shoes were very dirty,,1,0
X21,X21.9c2c7fd165b3aa898e658c3cc81da774,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_035, X21.CMN.CMN_M_037, X21.CMN.CMN_M_043",X21.CMN.CMN_M_032,test,13,3,X21.CMN.CMN_M_032.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_032,very,,the shoes were very dirty,,1,0
X21,X21.9c2c7fd165b3aa898e658c3cc81da774,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_035, X21.CMN.CMN_M_037, X21.CMN.CMN_M_043",X21.CMN.CMN_M_032,test,13,4,X21.CMN.CMN_M_032.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_032,dirty,,the shoes were very dirty,,1,0
X21,X21.f85defbfc037896d3ff7577f8a288ba9,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_021,X21.CMN.CMN_M_032,test,8,1,X21.CMN.CMN_M_032.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_032,shoes,,the shoes were very dirty,,1,0
X21,X21.f85defbfc037896d3ff7577f8a288ba9,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_021,X21.CMN.CMN_M_032,test,8,2,X21.CMN.CMN_M_032.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_032,were,,the shoes were very dirty,,1,0
