order,talker_id,display_label,accent_group,ordering_rule
1,AN19.ENG.ef1,ef1,ENG,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
2,AN19.ENG.ef2,ef2,ENG,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
3,AN19.ENG.ef3,ef3,ENG,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
4,AN19.ENG.em1,em1,ENG,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
5,AN19.ENG.em2,em2,ENG,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
6,AN19.ENG.em3,em3,ENG,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
7,AN19.SPA.sf1,sf1,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
8,AN19.SPA.sf2,sf2,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
9,AN19.SPA.sf3,sf3,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
10,AN19.SPA.sf4,sf4,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
11,AN19.SPA.sf5,sf5,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
12,AN19.SPA.sf6,sf6,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
13,AN19.SPA.sm2,sm2,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
14,AN19.SPA.sm3,sm3,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
15,AN19.SPA.sm4,sm4,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
16,AN19.SPA.sm5,sm5,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
17,AN19.SPA.sm6,sm6,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
18,AN19.SPA.sm7,sm7,SPA,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
19,AN19.KOR.kf1,kf1,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
20,AN19.KOR.kf2,kf2,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
21,AN19.KOR.kf3,kf3,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
22,AN19.KOR.kf4,kf4,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
23,AN19.KOR.kf5,kf5,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
24,AN19.KOR.kf6,kf6,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
25,AN19.KOR.km1,km1,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
26,AN19.KOR.km2,km2,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
27,AN19.KOR.km3,km3,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
28,AN19.KOR.km6,km6,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
29,AN19.KOR.km7,km7,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
30,AN19.KOR.km8,km8,KOR,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
31,AN19.MIX.if5,if5,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
32,AN19.MIX.if3,if3,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
33,AN19.MIX.im1,im1,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
34,AN19.MIX.if2,if2,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
35,AN19.MIX.im3,im3,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
36,AN19.MIX.im2,im2,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
37,AN19.MIX.if6,if6,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
38,AN19.MIX.if4,if4,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
39,AN19.MIX.if1,if1,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
40,AN19.MIX.im4,im4,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
41,AN19.MIX.im5,im5,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
42,AN19.MIX.im6,im6,MIX,fixed_ENG_SPA_KOR_then_MIX_average_linkage_1_minus_similarity
