frame_index,time_seconds,tsne_1_raw,tsne_2_raw,tsne_3_raw,tsne_1_display_z,tsne_2_display_z,tsne_3_display_z,hubert_rank_1_dimension,hubert_rank_1_value,hubert_rank_2_dimension,hubert_rank_2_value,hubert_rank_3_dimension,hubert_rank_3_value
0,0.0,34.20346,-14.000912,-8.3202095,2.4933503,-0.934606,-0.09346915,72,-37.5625,27,-15.890625,189,49.5
1,0.02045454545454545,33.590977,-9.240817,-16.895761,2.4529395,-0.66778064,-0.6019228,72,-33.15625,27,-10.5390625,189,42.0
2,0.0409090909090909,28.800865,-15.233772,-21.932596,2.1368968,-1.0037136,-0.9005621,72,-22.890625,27,-11.3984375,189,58.71875
3,0.061363636363636356,28.52635,-15.746015,-22.665922,2.1187847,-1.0324271,-0.9440418,72,-0.89941406,27,-7.1171875,189,68.3125
4,0.0818181818181818,28.438751,-16.196566,-23.460127,2.1130052,-1.0576826,-0.99113107,72,4.125,27,-0.84375,189,63.25
5,0.10227272727272725,28.702364,-16.754843,-24.308407,2.1303978,-1.0889766,-1.0414265,72,-9.5078125,27,4.21875,189,58.3125
6,0.12272727272727271,11.53502,-10.839675,-28.304518,0.9977276,-0.757404,-1.2783601,72,-34.40625,27,11.6484375,189,33.6875
7,0.14318181818181816,8.42705,-10.503768,-28.503094,0.7926693,-0.73857486,-1.290134,72,-46.03125,27,13.1328125,189,18.671875
8,0.1636363636363636,-4.193437,-20.074013,-27.267092,-0.040007513,-1.2750316,-1.21685,72,-42.40625,27,0.016357422,189,33.28125
9,0.18409090909090906,-4.3731728,-25.07409,-27.582968,-0.051866144,-1.555309,-1.2355787,72,-29.96875,27,-16.578125,189,64.625
10,0.2045454545454545,-24.257433,7.643816,-4.387333,-1.3637936,0.27868146,0.13971531,72,-50.78125,27,-1.0976562,189,31.03125
11,0.22499999999999995,-19.419525,20.312683,6.2079587,-1.0445971,0.98883027,0.7679215,72,-21.984375,27,14.53125,189,27.15625
12,0.24545454545454543,-19.00959,21.661089,7.669973,-1.0175505,1.0644146,0.85460585,72,-1.9160156,27,13.578125,189,23.0
13,0.2659090909090909,-18.649574,22.246431,8.230453,-0.99379724,1.0972258,0.8878373,72,13.828125,27,5.3710938,189,29.203125
14,0.2863636363636363,-17.864449,23.124258,9.089883,-0.94199604,1.146432,0.93879384,72,19.5625,27,0.80029297,189,33.40625
15,0.30681818181818177,-16.975006,23.77045,9.840877,-0.8833123,1.1826541,0.9833211,72,17.359375,27,-3.4433594,189,39.28125
16,0.3272727272727272,-16.32814,24.195572,10.422545,-0.8406332,1.2064842,1.0178088,72,14.625,27,0.17382812,189,52.53125
17,0.34772727272727266,14.687709,33.3726,4.197117,1.2057363,1.7208992,0.64869654,72,14.703125,27,-2.3808594,189,65.3125
18,0.3681818181818181,15.647172,34.442604,4.231662,1.2690399,1.780878,0.65074474,72,4.703125,27,-7.9570312,189,74.0625
19,0.38863636363636356,16.578852,35.74121,4.331664,1.3305105,1.8536708,0.65667397,72,-18.578125,27,-16.484375,189,76.0625
20,0.409090909090909,-14.637091,-29.477104,-3.6682062,-0.7290608,-1.8021184,0.18235311,72,-48.3125,27,-38.21875,189,78.375
21,0.42954545454545445,-13.400489,-27.71855,-2.6304328,-0.6474721,-1.7035433,0.2438838,72,-56.15625,27,-50.9375,189,78.25
22,0.4499999999999999,-2.4387388,-35.18876,18.294,0.0757643,-2.1222832,1.4845159,72,-31.390625,27,-30.609375,189,59.125
23,0.47045454545454535,-14.63847,-26.064154,0.9429056,-0.72915184,-1.6108067,0.45575085,72,-52.25,27,-50.03125,189,74.375
24,0.49090909090909085,-14.500553,-25.635454,2.7315917,-0.72005236,-1.5867761,0.561804,72,-26.5,27,-32.1875,189,59.8125
25,0.5113636363636362,-13.024667,20.057613,-7.4969177,-0.622676,0.9745324,-0.0446553,72,2.5019531,27,-21.59375,189,47.0
26,0.5318181818181817,-12.930608,20.15226,-7.568024,-0.6164702,0.9798378,-0.048871275,72,18.84375,27,-16.25,189,50.125
27,0.5522727272727271,-12.770731,20.371614,-7.714108,-0.6059218,0.9921336,-0.057532743,72,22.328125,27,-12.875,189,50.03125
28,0.5727272727272726,-12.717302,20.534094,-7.7931023,-0.60239667,1.0012413,-0.062216397,72,18.171875,27,-13.4921875,189,53.8125
29,0.593181818181818,-12.590481,21.789814,-8.060861,-0.59402925,1.0716302,-0.078092076,72,-10.9765625,27,-23.453125,189,59.5
30,0.6136363636363635,-12.098965,-27.807896,-4.304124,-0.5615999,-1.7085515,0.14464886,72,-54.3125,27,-42.21875,189,70.1875
31,0.6340909090909089,-13.30975,-27.612513,-2.62232,-0.6414853,-1.6975994,0.24436481,72,-58.34375,27,-43.78125,189,73.5
32,0.6545454545454544,-13.586606,-26.025703,-1.3570547,-0.6597518,-1.6086514,0.31938374,72,-50.9375,27,-31.265625,189,52.3125
33,0.6749999999999999,-15.378105,-23.874243,0.043777615,-0.77795166,-1.488052,0.4024406,72,-50.40625,27,-19.75,189,73.625
34,0.6954545454545453,-23.00533,-24.595835,3.3420947,-1.281182,-1.5285007,0.59800136,72,-18.765625,27,6.6796875,189,60.125
35,0.7159090909090908,-15.908224,3.2888892,-30.384867,-0.8129279,0.034567583,-1.4017063,72,-4.1953125,27,16.90625,189,53.9375
36,0.7363636363636362,-15.5510235,3.5701485,-30.38,-0.78936046,0.050333474,-1.4014177,72,-13.8984375,27,22.484375,189,46.5625
37,0.7568181818181817,-0.22877298,12.527975,-27.825323,0.22157384,0.5524612,-1.2499483,72,-35.34375,27,19.28125,189,23.953125
38,0.7772727272727271,0.22818571,12.853542,-27.699537,0.25172314,0.5707108,-1.2424903,72,-45.125,27,21.125,189,13.703125
39,0.7977272727272726,1.1058403,13.683687,-27.486187,0.3096292,0.61724424,-1.2298405,72,-49.09375,27,15.234375,189,11.3828125
40,0.818181818181818,1.3748862,13.957426,-27.38619,0.32738036,0.6325886,-1.2239115,72,-52.34375,27,7.6640625,189,7.0546875
41,0.8386363636363635,-0.52077323,-1.2038575,-41.299362,0.2023082,-0.21727173,-2.0488384,72,-23.359375,27,2.6679688,189,39.0
42,0.8590909090909089,3.2079546,2.0909832,-11.974681,0.4483229,-0.03258061,-0.31014666,72,-27.921875,27,0.21020508,189,36.5
43,0.8795454545454544,2.4285781,1.3862833,-11.304393,0.39690104,-0.07208231,-0.27040458,72,-12.5703125,27,10.53125,189,44.4375
44,0.8999999999999998,-8.861386,5.347466,-10.09061,-0.34799033,0.14996037,-0.19843806,72,-18.609375,27,22.859375,189,32.3125
45,0.9204545454545453,-8.608008,4.9729595,-11.444362,-0.33127293,0.12896754,-0.27870348,72,-30.984375,27,32.5,189,12.7421875
46,0.9409090909090907,-7.7720304,4.114172,-12.046588,-0.2761166,0.08082852,-0.31441012,72,-37.78125,27,22.796875,189,6.671875
47,0.9613636363636362,-7.4651775,3.8688135,-12.172748,-0.25587103,0.06707504,-0.32189026,72,-31.875,27,30.90625,189,10.6328125
48,0.9818181818181817,5.5321484,11.2426195,-6.0598264,0.601669,0.48041108,0.040551383,72,-22.9375,27,38.9375,189,11.578125
49,1.0022727272727272,6.571461,11.064136,-5.5913653,0.67024094,0.47040623,0.06832694,72,-17.6875,27,34.0,189,33.59375
50,1.0227272727272725,7.467415,10.790676,-5.1948028,0.7293544,0.45507756,0.09183956,72,-18.625,27,29.140625,189,48.59375
51,1.043181818181818,8.994805,12.562052,-23.986416,0.8301288,0.5543714,-1.0223353,72,-36.59375,27,24.46875,189,34.75
52,1.0636363636363635,8.80137,14.063541,-25.636272,0.8173663,0.6385369,-1.120157,72,-42.65625,27,26.75,189,14.4296875
53,1.084090909090909,8.793537,14.22237,-25.679884,0.8168495,0.64743996,-1.1227428,72,-42.375,27,29.234375,189,11.46875
54,1.1045454545454543,8.847368,14.417521,-25.65964,0.8204012,0.6583791,-1.1215425,72,-44.59375,27,26.609375,189,5.09375
55,1.1249999999999998,8.685177,14.825513,-25.458271,0.8097001,0.6812489,-1.1096032,72,-45.0625,27,15.4296875,189,14.4765625
56,1.1454545454545453,4.9118457,15.954101,-22.834745,0.56074256,0.7445115,-0.9540515,72,-40.75,27,2.1992188,189,41.21875
57,1.1659090909090908,-18.109457,4.203428,13.986229,-0.9581613,0.08583172,1.2291034,72,-18.578125,27,-0.85253906,189,52.4375
58,1.186363636363636,-18.020626,4.7028456,15.884001,-0.95230037,0.1138264,1.3416244,72,-0.8964844,27,-2.890625,189,59.59375
59,1.2068181818181816,-18.103891,4.8691115,16.316807,-0.9577941,0.123146385,1.367286,72,1.8691406,27,2.0507812,189,58.3125
60,1.227272727272727,-18.176083,5.0343156,16.989042,-0.96255714,0.13240683,1.4071435,72,-1.9082031,27,7.9648438,189,61.03125
61,1.2477272727272726,-18.186947,5.216265,17.760159,-0.96327394,0.14260596,1.4528638,72,-7.3398438,27,16.296875,189,54.28125
62,1.2681818181818179,-18.102999,5.2037926,18.064192,-0.9577352,0.14190681,1.4708903,72,-7.0078125,27,20.203125,189,54.6875
63,1.2886363636363634,-17.855108,5.1878037,18.859083,-0.9413798,0.14101057,1.5180202,72,-14.7109375,27,29.171875,189,49.78125
64,1.3090909090909089,-17.664616,5.1143537,19.373632,-0.92881143,0.13689335,1.5485284,72,-26.09375,27,27.3125,189,48.8125
65,1.3295454545454544,-17.448254,5.0186286,19.938406,-0.9145363,0.13152751,1.5820144,72,-36.9375,27,26.296875,189,39.53125
66,1.3499999999999999,2.259274,13.13525,35.859016,0.38573065,0.58650184,2.5259645,72,-36.21875,27,19.59375,189,27.0
