unit,order,label,start_seconds,end_seconds
word,1,A,0.0,0.121
word,2,BOY,0.121,0.39
word,3,FELL,0.39,0.62
word,4,FROM,0.62,0.86
word,5,A,0.86,0.901
word,6,WINDOW,0.901,1.35
phoneme,1,AH0,0.0,0.121
phoneme,2,B,0.121,0.231
phoneme,3,OY1,0.231,0.39
phoneme,4,F,0.39,0.521
phoneme,5,EH1,0.521,0.55
phoneme,6,L,0.55,0.62
phoneme,7,F,0.62,0.68
phoneme,8,ER0,0.68,0.75
phoneme,9,M,0.75,0.86
phoneme,10,AH0,0.86,0.901
phoneme,11,W,0.901,1.0
phoneme,12,IH1,1.0,1.031
phoneme,13,N,1.031,1.16
phoneme,14,D,1.16,1.23
phoneme,15,OW0,1.23,1.35
