layer,fold,stage,status,optimized_k,note,n_cells,n_trials,n_participants,converged,singular,optimizer_code,convergence_messages,warnings,log_likelihood,elapsed_seconds
cnn_2,1,notebook_optuna_similarity_compatibility,complete,0.11710914072423073,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_2,2,notebook_optuna_similarity_compatibility,complete,0.11710914072423073,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_2,3,notebook_optuna_similarity_compatibility,complete,0.04203988916437662,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_3,1,notebook_optuna_similarity_compatibility,complete,0.04203988916437662,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_3,2,notebook_optuna_similarity_compatibility,complete,0.04203988916437662,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_3,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_4,1,notebook_optuna_similarity_compatibility,complete,0.3128330461520691,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_4,2,notebook_optuna_similarity_compatibility,complete,0.3128330461520691,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_4,3,notebook_optuna_similarity_compatibility,complete,0.11710914072423073,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_5,1,notebook_optuna_similarity_compatibility,complete,0.8019648295935975,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_5,2,notebook_optuna_similarity_compatibility,complete,0.8019648295935975,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_5,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_6,1,notebook_optuna_similarity_compatibility,complete,0.8019648295935975,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
