dataset_id,participant_id,condition,training_test_file_key,fold,split_engine
AN19,AN19.1,AN19.Korean.test_Korean,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7||AN19.KOR.kf1.EW50|AN19.KOR.kf1.EW51|AN19.KOR.kf1.EW53|AN19.KOR.kf1.EW56|AN19.KOR.kf1.HW52|AN19.KOR.kf1.HW54|AN19.KOR.kf1.HW56|AN19.KOR.kf1.HW58|AN19.KOR.kf3.EW52|AN19.KOR.kf3.EW54|AN19.KOR.kf3.EW55|AN19.KOR.kf3.EW57|AN19.KOR.kf3.HW53|AN19.KOR.kf3.HW57|AN19.KOR.kf3.HW59|AN19.KOR.kf3.HW62|AN19.KOR.kf5.EW58|AN19.KOR.kf5.EW59|AN19.KOR.kf5.EW64|AN19.KOR.kf5.EW65|AN19.KOR.kf5.HW55|AN19.KOR.kf5.HW60|AN19.KOR.kf5.HW61|AN19.KOR.kf5.HW63|AN19.KOR.km1.EW60|AN19.KOR.km1.EW61|AN19.KOR.km1.EW62|AN19.KOR.km1.EW63|AN19.KOR.km1.HW64|AN19.KOR.km1.HW65|AN19.KOR.km1.HW66|AN19.KOR.km1.HW67|AN19.KOR.km3.EW66|AN19.KOR.km3.EW67|AN19.KOR.km3.EW72|AN19.KOR.km3.EW73|AN19.KOR.km3.HW68|AN19.KOR.km3.HW69|AN19.KOR.km3.HW74|AN19.KOR.km3.HW75|AN19.KOR.km8.EW18|AN19.KOR.km8.EW68|AN19.KOR.km8.EW69|AN19.KOR.km8.EW75|AN19.KOR.km8.HW29|AN19.KOR.km8.HW70|AN19.KOR.km8.HW72|AN19.KOR.km8.HW73",3,StratifiedKFold
AN19,AN19.2,AN19.Spanish.test_Korean,"AN19.SPA.sf1, AN19.SPA.sf3, AN19.SPA.sf5, AN19.SPA.sm3, AN19.SPA.sm5, AN19.SPA.sm7||AN19.KOR.kf1.EW50|AN19.KOR.kf1.EW51|AN19.KOR.kf1.EW53|AN19.KOR.kf1.EW56|AN19.KOR.kf1.HW52|AN19.KOR.kf1.HW54|AN19.KOR.kf1.HW56|AN19.KOR.kf1.HW58|AN19.KOR.kf3.EW52|AN19.KOR.kf3.EW54|AN19.KOR.kf3.EW55|AN19.KOR.kf3.EW57|AN19.KOR.kf3.HW53|AN19.KOR.kf3.HW57|AN19.KOR.kf3.HW59|AN19.KOR.kf3.HW62|AN19.KOR.kf5.EW58|AN19.KOR.kf5.EW59|AN19.KOR.kf5.EW64|AN19.KOR.kf5.EW65|AN19.KOR.kf5.HW55|AN19.KOR.kf5.HW60|AN19.KOR.kf5.HW61|AN19.KOR.kf5.HW63|AN19.KOR.km1.EW60|AN19.KOR.km1.EW61|AN19.KOR.km1.EW62|AN19.KOR.km1.EW63|AN19.KOR.km1.HW64|AN19.KOR.km1.HW65|AN19.KOR.km1.HW66|AN19.KOR.km1.HW67|AN19.KOR.km3.EW66|AN19.KOR.km3.EW67|AN19.KOR.km3.EW72|AN19.KOR.km3.EW73|AN19.KOR.km3.HW68|AN19.KOR.km3.HW69|AN19.KOR.km3.HW74|AN19.KOR.km3.HW75|AN19.KOR.km8.EW18|AN19.KOR.km8.EW68|AN19.KOR.km8.EW69|AN19.KOR.km8.EW75|AN19.KOR.km8.HW29|AN19.KOR.km8.HW70|AN19.KOR.km8.HW72|AN19.KOR.km8.HW73",2,StratifiedKFold
AN19,AN19.3,AN19.Control.test_Korean,English||AN19.KOR.kf1.EW50|AN19.KOR.kf1.EW51|AN19.KOR.kf1.EW53|AN19.KOR.kf1.EW56|AN19.KOR.kf1.HW52|AN19.KOR.kf1.HW54|AN19.KOR.kf1.HW56|AN19.KOR.kf1.HW58|AN19.KOR.kf3.EW52|AN19.KOR.kf3.EW54|AN19.KOR.kf3.EW55|AN19.KOR.kf3.EW57|AN19.KOR.kf3.HW53|AN19.KOR.kf3.HW57|AN19.KOR.kf3.HW59|AN19.KOR.kf3.HW62|AN19.KOR.kf5.EW58|AN19.KOR.kf5.EW59|AN19.KOR.kf5.EW64|AN19.KOR.kf5.EW65|AN19.KOR.kf5.HW55|AN19.KOR.kf5.HW60|AN19.KOR.kf5.HW61|AN19.KOR.kf5.HW63|AN19.KOR.km1.EW60|AN19.KOR.km1.EW61|AN19.KOR.km1.EW62|AN19.KOR.km1.EW63|AN19.KOR.km1.HW64|AN19.KOR.km1.HW65|AN19.KOR.km1.HW66|AN19.KOR.km1.HW67|AN19.KOR.km3.EW66|AN19.KOR.km3.EW67|AN19.KOR.km3.EW72|AN19.KOR.km3.EW73|AN19.KOR.km3.HW68|AN19.KOR.km3.HW69|AN19.KOR.km3.HW74|AN19.KOR.km3.HW75|AN19.KOR.km8.EW18|AN19.KOR.km8.EW68|AN19.KOR.km8.EW69|AN19.KOR.km8.EW75|AN19.KOR.km8.HW29|AN19.KOR.km8.HW70|AN19.KOR.km8.HW72|AN19.KOR.km8.HW73,1,StratifiedKFold
AN19,AN19.5,AN19.Spanish.test_Korean,"AN19.SPA.sf1, AN19.SPA.sf3, AN19.SPA.sf5, AN19.SPA.sm3, AN19.SPA.sm5, AN19.SPA.sm7||AN19.KOR.kf2.EW50|AN19.KOR.kf2.EW51|AN19.KOR.kf2.EW53|AN19.KOR.kf2.EW56|AN19.KOR.kf2.HW52|AN19.KOR.kf2.HW54|AN19.KOR.kf2.HW56|AN19.KOR.kf2.HW58|AN19.KOR.kf4.EW52|AN19.KOR.kf4.EW54|AN19.KOR.kf4.EW55|AN19.KOR.kf4.EW57|AN19.KOR.kf4.HW53|AN19.KOR.kf4.HW57|AN19.KOR.kf4.HW59|AN19.KOR.kf4.HW62|AN19.KOR.kf6.EW58|AN19.KOR.kf6.EW59|AN19.KOR.kf6.EW64|AN19.KOR.kf6.EW65|AN19.KOR.kf6.HW55|AN19.KOR.kf6.HW60|AN19.KOR.kf6.HW61|AN19.KOR.kf6.HW63|AN19.KOR.km2.EW60|AN19.KOR.km2.EW61|AN19.KOR.km2.EW62|AN19.KOR.km2.EW63|AN19.KOR.km2.HW64|AN19.KOR.km2.HW65|AN19.KOR.km2.HW66|AN19.KOR.km2.HW67|AN19.KOR.km6.EW66|AN19.KOR.km6.EW67|AN19.KOR.km6.EW72|AN19.KOR.km6.EW73|AN19.KOR.km6.HW68|AN19.KOR.km6.HW69|AN19.KOR.km6.HW74|AN19.KOR.km6.HW75|AN19.KOR.km7.EW18|AN19.KOR.km7.EW68|AN19.KOR.km7.EW69|AN19.KOR.km7.EW75|AN19.KOR.km7.HW29|AN19.KOR.km7.HW70|AN19.KOR.km7.HW72|AN19.KOR.km7.HW73",3,StratifiedKFold
AN19,AN19.7,AN19.Control.test_Korean,English||AN19.KOR.kf2.EW50|AN19.KOR.kf2.EW51|AN19.KOR.kf2.EW53|AN19.KOR.kf2.EW56|AN19.KOR.kf2.HW52|AN19.KOR.kf2.HW54|AN19.KOR.kf2.HW56|AN19.KOR.kf2.HW58|AN19.KOR.kf4.EW52|AN19.KOR.kf4.EW54|AN19.KOR.kf4.EW55|AN19.KOR.kf4.EW57|AN19.KOR.kf4.HW53|AN19.KOR.kf4.HW57|AN19.KOR.kf4.HW59|AN19.KOR.kf4.HW62|AN19.KOR.kf6.EW58|AN19.KOR.kf6.EW59|AN19.KOR.kf6.EW64|AN19.KOR.kf6.EW65|AN19.KOR.kf6.HW55|AN19.KOR.kf6.HW60|AN19.KOR.kf6.HW61|AN19.KOR.kf6.HW63|AN19.KOR.km2.EW60|AN19.KOR.km2.EW61|AN19.KOR.km2.EW62|AN19.KOR.km2.EW63|AN19.KOR.km2.HW64|AN19.KOR.km2.HW65|AN19.KOR.km2.HW66|AN19.KOR.km2.HW67|AN19.KOR.km6.EW66|AN19.KOR.km6.EW67|AN19.KOR.km6.EW72|AN19.KOR.km6.EW73|AN19.KOR.km6.HW68|AN19.KOR.km6.HW69|AN19.KOR.km6.HW74|AN19.KOR.km6.HW75|AN19.KOR.km7.EW18|AN19.KOR.km7.EW68|AN19.KOR.km7.EW69|AN19.KOR.km7.EW75|AN19.KOR.km7.HW29|AN19.KOR.km7.HW70|AN19.KOR.km7.HW72|AN19.KOR.km7.HW73,3,StratifiedKFold
AN19,AN19.8,AN19.Korean.test_Korean,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7||AN19.KOR.kf1.EW50|AN19.KOR.kf1.EW51|AN19.KOR.kf1.EW53|AN19.KOR.kf1.EW56|AN19.KOR.kf1.HW52|AN19.KOR.kf1.HW54|AN19.KOR.kf1.HW56|AN19.KOR.kf1.HW58|AN19.KOR.kf3.EW52|AN19.KOR.kf3.EW54|AN19.KOR.kf3.EW55|AN19.KOR.kf3.EW57|AN19.KOR.kf3.HW53|AN19.KOR.kf3.HW57|AN19.KOR.kf3.HW59|AN19.KOR.kf3.HW62|AN19.KOR.kf5.EW58|AN19.KOR.kf5.EW59|AN19.KOR.kf5.EW64|AN19.KOR.kf5.EW65|AN19.KOR.kf5.HW55|AN19.KOR.kf5.HW60|AN19.KOR.kf5.HW61|AN19.KOR.kf5.HW63|AN19.KOR.km1.EW60|AN19.KOR.km1.EW61|AN19.KOR.km1.EW62|AN19.KOR.km1.EW63|AN19.KOR.km1.HW64|AN19.KOR.km1.HW65|AN19.KOR.km1.HW66|AN19.KOR.km1.HW67|AN19.KOR.km3.EW66|AN19.KOR.km3.EW67|AN19.KOR.km3.EW72|AN19.KOR.km3.EW73|AN19.KOR.km3.HW68|AN19.KOR.km3.HW69|AN19.KOR.km3.HW74|AN19.KOR.km3.HW75|AN19.KOR.km8.EW18|AN19.KOR.km8.EW68|AN19.KOR.km8.EW69|AN19.KOR.km8.EW75|AN19.KOR.km8.HW29|AN19.KOR.km8.HW70|AN19.KOR.km8.HW72|AN19.KOR.km8.HW73",1,StratifiedKFold
AN19,AN19.9,AN19.Spanish.test_Korean,"AN19.SPA.sf1, AN19.SPA.sf3, AN19.SPA.sf5, AN19.SPA.sm3, AN19.SPA.sm5, AN19.SPA.sm7||AN19.KOR.kf1.EW50|AN19.KOR.kf1.EW51|AN19.KOR.kf1.EW53|AN19.KOR.kf1.EW56|AN19.KOR.kf1.HW52|AN19.KOR.kf1.HW54|AN19.KOR.kf1.HW56|AN19.KOR.kf1.HW58|AN19.KOR.kf3.EW52|AN19.KOR.kf3.EW54|AN19.KOR.kf3.EW55|AN19.KOR.kf3.EW57|AN19.KOR.kf3.HW53|AN19.KOR.kf3.HW57|AN19.KOR.kf3.HW59|AN19.KOR.kf3.HW62|AN19.KOR.kf5.EW58|AN19.KOR.kf5.EW59|AN19.KOR.kf5.EW64|AN19.KOR.kf5.EW65|AN19.KOR.kf5.HW55|AN19.KOR.kf5.HW60|AN19.KOR.kf5.HW61|AN19.KOR.kf5.HW63|AN19.KOR.km1.EW60|AN19.KOR.km1.EW61|AN19.KOR.km1.EW62|AN19.KOR.km1.EW63|AN19.KOR.km1.HW64|AN19.KOR.km1.HW65|AN19.KOR.km1.HW66|AN19.KOR.km1.HW67|AN19.KOR.km3.EW66|AN19.KOR.km3.EW67|AN19.KOR.km3.EW72|AN19.KOR.km3.EW73|AN19.KOR.km3.HW68|AN19.KOR.km3.HW69|AN19.KOR.km3.HW74|AN19.KOR.km3.HW75|AN19.KOR.km8.EW18|AN19.KOR.km8.EW68|AN19.KOR.km8.EW69|AN19.KOR.km8.EW75|AN19.KOR.km8.HW29|AN19.KOR.km8.HW70|AN19.KOR.km8.HW72|AN19.KOR.km8.HW73",1,StratifiedKFold
AN19,AN19.11,AN19.Korean.test_Korean,"AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8||AN19.KOR.kf2.EW50|AN19.KOR.kf2.EW51|AN19.KOR.kf2.EW53|AN19.KOR.kf2.EW56|AN19.KOR.kf2.HW52|AN19.KOR.kf2.HW54|AN19.KOR.kf2.HW56|AN19.KOR.kf2.HW58|AN19.KOR.kf4.EW52|AN19.KOR.kf4.EW54|AN19.KOR.kf4.EW55|AN19.KOR.kf4.EW57|AN19.KOR.kf4.HW53|AN19.KOR.kf4.HW57|AN19.KOR.kf4.HW59|AN19.KOR.kf4.HW62|AN19.KOR.kf6.EW58|AN19.KOR.kf6.EW59|AN19.KOR.kf6.EW64|AN19.KOR.kf6.EW65|AN19.KOR.kf6.HW55|AN19.KOR.kf6.HW60|AN19.KOR.kf6.HW61|AN19.KOR.kf6.HW63|AN19.KOR.km2.EW60|AN19.KOR.km2.EW61|AN19.KOR.km2.EW62|AN19.KOR.km2.EW63|AN19.KOR.km2.HW64|AN19.KOR.km2.HW65|AN19.KOR.km2.HW66|AN19.KOR.km2.HW67|AN19.KOR.km6.EW66|AN19.KOR.km6.EW67|AN19.KOR.km6.EW72|AN19.KOR.km6.EW73|AN19.KOR.km6.HW68|AN19.KOR.km6.HW69|AN19.KOR.km6.HW74|AN19.KOR.km6.HW75|AN19.KOR.km7.EW18|AN19.KOR.km7.EW68|AN19.KOR.km7.EW69|AN19.KOR.km7.EW75|AN19.KOR.km7.HW29|AN19.KOR.km7.HW70|AN19.KOR.km7.HW72|AN19.KOR.km7.HW73",1,StratifiedKFold
AN19,AN19.12,AN19.Mixed.test_Korean,"AN19.MIX.if1, AN19.MIX.if2, AN19.MIX.if5, AN19.MIX.im1, AN19.MIX.im2, AN19.MIX.im6||AN19.KOR.kf1.EW50|AN19.KOR.kf1.EW51|AN19.KOR.kf1.EW53|AN19.KOR.kf1.EW56|AN19.KOR.kf1.HW52|AN19.KOR.kf1.HW54|AN19.KOR.kf1.HW56|AN19.KOR.kf1.HW58|AN19.KOR.kf3.EW52|AN19.KOR.kf3.EW54|AN19.KOR.kf3.EW55|AN19.KOR.kf3.EW57|AN19.KOR.kf3.HW53|AN19.KOR.kf3.HW57|AN19.KOR.kf3.HW59|AN19.KOR.kf3.HW62|AN19.KOR.kf5.EW58|AN19.KOR.kf5.EW59|AN19.KOR.kf5.EW64|AN19.KOR.kf5.EW65|AN19.KOR.kf5.HW55|AN19.KOR.kf5.HW60|AN19.KOR.kf5.HW61|AN19.KOR.kf5.HW63|AN19.KOR.km1.EW60|AN19.KOR.km1.EW61|AN19.KOR.km1.EW62|AN19.KOR.km1.EW63|AN19.KOR.km1.HW64|AN19.KOR.km1.HW65|AN19.KOR.km1.HW66|AN19.KOR.km1.HW67|AN19.KOR.km3.EW66|AN19.KOR.km3.EW67|AN19.KOR.km3.EW72|AN19.KOR.km3.EW73|AN19.KOR.km3.HW68|AN19.KOR.km3.HW69|AN19.KOR.km3.HW74|AN19.KOR.km3.HW75|AN19.KOR.km8.EW18|AN19.KOR.km8.EW68|AN19.KOR.km8.EW69|AN19.KOR.km8.EW75|AN19.KOR.km8.HW29|AN19.KOR.km8.HW70|AN19.KOR.km8.HW72|AN19.KOR.km8.HW73",3,StratifiedKFold
AN19,AN19.14,AN19.Spanish.test_Korean,"AN19.SPA.sf1, AN19.SPA.sf3, AN19.SPA.sf5, AN19.SPA.sm3, AN19.SPA.sm5, AN19.SPA.sm7||AN19.KOR.kf2.EW50|AN19.KOR.kf2.EW51|AN19.KOR.kf2.EW53|AN19.KOR.kf2.EW56|AN19.KOR.kf2.HW52|AN19.KOR.kf2.HW54|AN19.KOR.kf2.HW56|AN19.KOR.kf2.HW58|AN19.KOR.kf4.EW52|AN19.KOR.kf4.EW54|AN19.KOR.kf4.EW55|AN19.KOR.kf4.EW57|AN19.KOR.kf4.HW53|AN19.KOR.kf4.HW57|AN19.KOR.kf4.HW59|AN19.KOR.kf4.HW62|AN19.KOR.kf6.EW58|AN19.KOR.kf6.EW59|AN19.KOR.kf6.EW64|AN19.KOR.kf6.EW65|AN19.KOR.kf6.HW55|AN19.KOR.kf6.HW60|AN19.KOR.kf6.HW61|AN19.KOR.kf6.HW63|AN19.KOR.km2.EW60|AN19.KOR.km2.EW61|AN19.KOR.km2.EW62|AN19.KOR.km2.EW63|AN19.KOR.km2.HW64|AN19.KOR.km2.HW65|AN19.KOR.km2.HW66|AN19.KOR.km2.HW67|AN19.KOR.km6.EW66|AN19.KOR.km6.EW67|AN19.KOR.km6.EW72|AN19.KOR.km6.EW73|AN19.KOR.km6.HW68|AN19.KOR.km6.HW69|AN19.KOR.km6.HW74|AN19.KOR.km6.HW75|AN19.KOR.km7.EW18|AN19.KOR.km7.EW68|AN19.KOR.km7.EW69|AN19.KOR.km7.EW75|AN19.KOR.km7.HW29|AN19.KOR.km7.HW70|AN19.KOR.km7.HW72|AN19.KOR.km7.HW73",2,StratifiedKFold
