layer,fold,fold_train,fold_val,k,status,note,n_cells,n_trials,converged,singular,optimizer_code,convergence_messages,warnings,log_likelihood,elapsed_seconds
cnn_2,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_2,2,1.0,3.0,0.5087953461386595,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_2,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_3,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_3,2,1.0,3.0,0.4896406426498247,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_3,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_4,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_4,2,1.0,3.0,0.440413860392759,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_4,3,2.0,1.0,0.005782528710635179,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_5,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_5,2,1.0,3.0,0.43907438067288473,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_5,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_6,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_6,2,1.0,3.0,0.41922202263573344,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
cnn_6,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_0,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_0,2,1.0,3.0,0.4517595488036216,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_0,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_2,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_2,2,1.0,3.0,0.5489311144311755,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_2,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_4,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_4,2,1.0,3.0,0.5870785836634664,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_4,3,2.0,1.0,0.001007034434817863,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_6,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_6,2,1.0,3.0,0.621574435247498,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_6,3,2.0,1.0,0.0010038334393897568,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_8,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_8,2,1.0,3.0,0.6945121444989584,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_8,3,2.0,1.0,0.0010036661796695248,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_10,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_10,2,1.0,3.0,0.7661913306806012,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_10,3,2.0,1.0,0.29433752100630795,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_12,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_12,2,1.0,3.0,0.8974851032216642,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_12,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_14,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_14,2,1.0,3.0,0.001004266744669043,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_14,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_16,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_16,2,1.0,3.0,0.0010037090704959266,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_16,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_18,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_18,2,1.0,3.0,0.0010036789358764647,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_18,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_20,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_20,2,1.0,3.0,0.001006218719827478,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_20,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_22,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_22,2,1.0,3.0,0.9147582121384479,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_22,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_24,1,3.0,2.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_24,2,1.0,3.0,0.9570791610250271,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
tr_24,3,2.0,1.0,0.0010037010865477953,complete,notebook train/validation/test k optimization on corrected repository mapping,,,,,,,,,
behavioral_ceiling,1,,,,,,540.0,20930.0,True,False,0.0,,,-1675.14052601127,0.12
behavioral_ceiling,2,,,,,,540.0,20930.0,True,False,0.0,,,-1718.83369970769,0.09
behavioral_ceiling,3,,,,,,540.0,20930.0,True,False,0.0,,,-1575.31100293699,0.11
