participant_id,fold,stratum,split_engine
B23.2003,1,b_BRP,StratifiedKFold
B23.2005,3,b_TUR,StratifiedKFold
B23.2015,3,b_TUR,StratifiedKFold
B23.2029,3,b_FAR,StratifiedKFold
B23.55ea70c37480920010aa9982,1,b_SPA,StratifiedKFold
B23.56ec9fa4f9ffc4000ac1941b,3,a_control,StratifiedKFold
B23.572bcf0d34b25a000edd2cf1,1,b_FAR,StratifiedKFold
B23.57e91ff08dcd2c00014bea18,1,c_noTUR,StratifiedKFold
B23.57fbd14e279ffd000124cc36,3,b_BRP,StratifiedKFold
B23.59042666cd3f250001dcf8f9,2,c_noFAR,StratifiedKFold
B23.590884b2ac756c0001ecb837,2,a_control,StratifiedKFold
B23.598cbe5651049400015fd93b,1,c_noTUR,StratifiedKFold
B23.59c3289b8e6ea10001f7b926,1,c_noSPA,StratifiedKFold
B23.5a0b8d4c7ecfc50001be130d,3,c_noSPA,StratifiedKFold
B23.5a15ef85087f2e0001eaf507,1,c_noFAR,StratifiedKFold
B23.5a8b3fa3b093f80001a80576,3,c_noTUR,StratifiedKFold
B23.5ab85787a3ba7a0001b41428,2,a_control,StratifiedKFold
B23.5ac4c730f69e940001d977e1,3,b_TUR,StratifiedKFold
B23.5aebb2f6aa05510001ff6561,1,c_noSPA,StratifiedKFold
B23.5af1c24d5bbd0b00015eca8b,3,b_BRP,StratifiedKFold
B23.5af529ca222e4d0001878444,1,b_BRP,StratifiedKFold
B23.5afa1dfb3aba4900015f26a6,3,c_noFAR,StratifiedKFold
B23.5b197b8088ee7400012ae154,1,b_SPA,StratifiedKFold
B23.5b9b412a07c6960001614bf6,3,b_SPA,StratifiedKFold
B23.5bbb4682b8653000016779e3,2,b_FAR,StratifiedKFold
B23.5c19d6768e10de0001ff255f,1,a_control,StratifiedKFold
B23.5c223d4a4a7e1f000137e5b9,3,c_noBRP,StratifiedKFold
B23.5c2805401d4eb70001177bfc,1,b_TUR,StratifiedKFold
B23.5c2ff645644d5300010c25f3,1,b_TUR,StratifiedKFold
B23.5c570f52b45c6600010b6d1e,2,c_noTUR,StratifiedKFold
B23.5c58e01e6f4ec5000164c35a,1,c_noSPA,StratifiedKFold
B23.5c6709ab926a5b0001eb29c1,2,b_SPA,StratifiedKFold
B23.5c9cf738902eb50016460dd2,2,b_FAR,StratifiedKFold
B23.5cb63178d946580001e4cef4,2,b_SPA,StratifiedKFold
B23.5cc0911796a3ca00011ddfcc,3,b_SPA,StratifiedKFold
B23.5cd1b38113a10a00013b9eaa,2,b_BRP,StratifiedKFold
B23.5d016916c12fb900015320ea,2,c_noSPA,StratifiedKFold
B23.5d01b9d4c9281200151c7c6b,2,c_noTUR,StratifiedKFold
B23.5d204134abea8100173fa8a4,1,c_noFAR,StratifiedKFold
B23.5d268981c22768000166c7c7,1,b_BRP,StratifiedKFold
B23.5d3dfb9322ed840001722278,3,c_noTUR,StratifiedKFold
B23.5d55d562e04e1c0001f5e682,1,b_FAR,StratifiedKFold
B23.5d5f07cdca10e90016bc0103,3,b_SPA,StratifiedKFold
B23.5d6394518df2870001a74b42,1,c_noTUR,StratifiedKFold
B23.5d67476c0ca617001699fe7a,3,c_noBRP,StratifiedKFold
B23.5d847ac9be4b0b00188463d7,3,c_noFAR,StratifiedKFold
B23.5d89a4e3241e9c0019e2592c,1,c_noFAR,StratifiedKFold
B23.5d9ae3ff9d2a700014869bcb,2,c_noFAR,StratifiedKFold
B23.5da7c6ecd11d560015a3d1da,3,c_noSPA,StratifiedKFold
B23.5dd4c2f2390fb648f7baf4d2,3,c_noBRP,StratifiedKFold
B23.5ddd7db419eecbce5c2dbc6f,3,a_control,StratifiedKFold
B23.5de7ccc24b7cf973d7b05bfb,3,c_noTUR,StratifiedKFold
B23.5dea9f92c3aca11bffec8b7e,1,b_FAR,StratifiedKFold
B23.5dfac1ba83907981767ce907,2,b_FAR,StratifiedKFold
B23.5e0e1b8800a6bf000a694f79,2,b_BRP,StratifiedKFold
B23.5e147a28de8da6a8f013acf6,1,c_noBRP,StratifiedKFold
B23.5e2c9026f4a3052be159c494,1,b_BRP,StratifiedKFold
B23.5e2f15bb8028224dd1dd90c9,2,c_noTUR,StratifiedKFold
B23.5e49da75ea0f3c4553a9e3b2,1,b_SPA,StratifiedKFold
B23.5e555e3152f93b5508f5bc16,1,a_control,StratifiedKFold
B23.5e63e793e50a6316a75213c4,3,b_BRP,StratifiedKFold
B23.5e6784bc622ffe000c766b4b,2,c_noBRP,StratifiedKFold
B23.5e680c9f65bd0b0be56430a4,2,b_FAR,StratifiedKFold
B23.5e683c4d6ca0f9000d3f35fe,2,a_control,StratifiedKFold
B23.5e70bf61017e070009a8a738,3,c_noBRP,StratifiedKFold
B23.5e77b301a4d61d32c335e5bf,3,b_SPA,StratifiedKFold
B23.5e89ce643ac81466c24cb5d8,1,c_noBRP,StratifiedKFold
B23.5e8a5d007022a071a5ca9673,2,b_TUR,StratifiedKFold
B23.5e992379f1bb6715d48226e0,1,c_noFAR,StratifiedKFold
B23.5ea47210b166de41ed7b1d92,3,c_noTUR,StratifiedKFold
B23.5eac968d6c144d2fd7fb1aa0,3,b_FAR,StratifiedKFold
B23.5ec58d7f3892d95b70e4c264,1,a_control,StratifiedKFold
B23.5ee29af522f48c185064d5fd,3,a_control,StratifiedKFold
B23.5ee9201596dd421333942d06,3,b_TUR,StratifiedKFold
B23.5eeb300af2c6c40186eadb3d,3,b_FAR,StratifiedKFold
B23.5ef51de92a8ed116654bc910,3,c_noTUR,StratifiedKFold
B23.5f1091aa4bd173363a9700ec,2,b_TUR,StratifiedKFold
B23.5f121091e95fdc03b5e897d0,2,c_noFAR,StratifiedKFold
B23.5f1bd40c26afde3f626ad42f,2,b_SPA,StratifiedKFold
B23.5f24629d239fcb02d69a18d1,3,b_BRP,StratifiedKFold
B23.5f2a5f187bf471245f7dc096,2,c_noTUR,StratifiedKFold
B23.5f2aeb9e0f60154413ed7f5e,3,c_noBRP,StratifiedKFold
B23.5f3441525cafc1321ef51ac0,2,c_noBRP,StratifiedKFold
B23.5f3d6975ef131710ed519c7a,2,c_noFAR,StratifiedKFold
B23.5f4d2b4e6432ef9adfc1ec1f,1,b_TUR,StratifiedKFold
B23.5f50468c0868af1baaec306c,1,b_TUR,StratifiedKFold
B23.5f5108ff8ba7012cb2446667,3,c_noBRP,StratifiedKFold
B23.5f51587f36e91f38fbf34c23,1,c_noSPA,StratifiedKFold
B23.5f527a5a4af6f352d28b53e8,1,b_SPA,StratifiedKFold
B23.5f5797c54d47e72494ff5840,2,b_SPA,StratifiedKFold
B23.5f59240bb8f9f213462a8609,3,b_FAR,StratifiedKFold
B23.5f62bff03a4958215b85d8bf,2,c_noBRP,StratifiedKFold
B23.5f7e6f9c1212c514f9437e3a,2,c_noSPA,StratifiedKFold
B23.5f898a035298a803c5a7b8d1,2,b_BRP,StratifiedKFold
B23.5f9470fc5f7ebd2a762c51bc,1,b_BRP,StratifiedKFold
B23.5f974c72a0ed8c0f9ce724ea,1,a_control,StratifiedKFold
B23.5fac4559a8254b1d0327266f,2,b_BRP,StratifiedKFold
B23.5fbc4e782d326110c363e0d0,3,c_noSPA,StratifiedKFold
B23.5fe1bda08bcb1fc65fe89d91,3,a_control,StratifiedKFold
B23.5fe8f1750a5e7f81a7f8adc9,3,c_noBRP,StratifiedKFold
B23.5ff08e9ffeba31f71a352849,1,c_noSPA,StratifiedKFold
B23.5fff3a91a72ac8000924258f,2,c_noSPA,StratifiedKFold
B23.5fffdc5f626a1e1582ab6b9e,3,b_BRP,StratifiedKFold
B23.600b0ea1effefd0cb3547464,2,c_noSPA,StratifiedKFold
B23.60117b3ebffa1106c0aa3109,1,b_FAR,StratifiedKFold
B23.60135474a4e4aa23098da94c,3,b_FAR,StratifiedKFold
B23.601606098a88c4772f7db43c,3,a_control,StratifiedKFold
B23.6021522cc0eec00d2e4ab6c7,2,c_noBRP,StratifiedKFold
B23.60242cd64254c909707a5b0d,2,c_noFAR,StratifiedKFold
B23.60306cf6330619ee41fa3cd2,3,b_SPA,StratifiedKFold
B23.605134897eb2ce8a9eb367f9,3,c_noFAR,StratifiedKFold
B23.6057983f31d70d1bd35fb9f1,2,a_control,StratifiedKFold
B23.606e3ddf19540080228e3a0c,3,b_FAR,StratifiedKFold
B23.607134f478e13587bd89e13a,1,b_TUR,StratifiedKFold
B23.60721a45b75cb8f4b00abd05,1,c_noTUR,StratifiedKFold
B23.6075286560a96bfb1d481f1a,1,b_BRP,StratifiedKFold
B23.6081adb85a8992a84093ed21,2,c_noBRP,StratifiedKFold
B23.6082364d2e1e97775624672b,2,b_FAR,StratifiedKFold
B23.608c75be6bf5ca1f23ab35ad,2,b_TUR,StratifiedKFold
B23.6093ee33a9c33e59d651e83c,3,c_noSPA,StratifiedKFold
B23.609ac8ca9e4928ec75d40a10,2,b_TUR,StratifiedKFold
B23.60a48adfe091e410f4eaba34,1,c_noSPA,StratifiedKFold
B23.60a877548e684d43854de84d,3,c_noTUR,StratifiedKFold
B23.60b788ecd24b27bb39298936,2,b_SPA,StratifiedKFold
B23.60b8def92795f624f7d29e84,2,b_TUR,StratifiedKFold
B23.60bff9298f56d55c8ecd9adf,3,b_TUR,StratifiedKFold
B23.60ce59526a88034d7e9456d1,2,a_control,StratifiedKFold
B23.60d2201d6d8c5564a26eb585,3,b_SPA,StratifiedKFold
B23.60dc0185764ae8cd7fd829b7,3,b_SPA,StratifiedKFold
B23.60dfaf59c0c7432bf3252aad,2,b_TUR,StratifiedKFold
B23.60fc80438d1b17dd670e56f5,3,a_control,StratifiedKFold
B23.60fcbe2b7b4649ea3cec1ab3,2,b_BRP,StratifiedKFold
B23.60fcd9699c3def3068403b90,2,c_noSPA,StratifiedKFold
B23.60fcdd3be2ae9576df065728,1,a_control,StratifiedKFold
B23.60fd55f559e7795b518f7438,2,a_control,StratifiedKFold
B23.60fd5a99c4e4ead0c9a6fff4,2,c_noTUR,StratifiedKFold
B23.60fd6b02340bf3233276eba9,1,c_noTUR,StratifiedKFold
B23.60fd6e6d7b35102b8ca961a5,1,b_FAR,StratifiedKFold
B23.60fda6c3daea14c8cf2b91cc,1,a_control,StratifiedKFold
B23.60fdccdbb63680c35c2dc61d,2,c_noTUR,StratifiedKFold
B23.60feb622ae107ad3083ebde6,3,c_noBRP,StratifiedKFold
B23.60ff22120e009909e207ae02,2,a_control,StratifiedKFold
B23.60ff348b2ff466e4d1feca5d,1,c_noBRP,StratifiedKFold
B23.60ff36e7d5b5bc741be0d68c,2,b_SPA,StratifiedKFold
B23.60ff674ee503c8c1e2be7dc4,2,b_BRP,StratifiedKFold
B23.6100073943fa0309e141f522,3,a_control,StratifiedKFold
B23.6100107905b3a4acb93edba5,2,b_FAR,StratifiedKFold
B23.61007de25d1a5d74904865cd,3,c_noSPA,StratifiedKFold
B23.61008085f6f279b358ee6de8,2,c_noSPA,StratifiedKFold
B23.6101122085410e70ca020a04,2,c_noTUR,StratifiedKFold
B23.610189e61b2d3520eea21de6,3,c_noSPA,StratifiedKFold
B23.610309d6b51e8a9a5da8a6f4,1,b_FAR,StratifiedKFold
B23.6103664b32254e61282aaf0f,3,b_FAR,StratifiedKFold
B23.6103784160176523a4624d07,1,c_noTUR,StratifiedKFold
B23.610434dbaa187bfdbe2e8ac9,1,c_noFAR,StratifiedKFold
B23.61043b60a51b98f553798e80,1,c_noBRP,StratifiedKFold
B23.6107b8ea737fb20c06bb6186,3,c_noFAR,StratifiedKFold
B23.6109fdadfd549d6d9d6fbf9a,3,b_TUR,StratifiedKFold
B23.610a06e8748af0a8facb9a40,3,b_SPA,StratifiedKFold
B23.610cedfc867afaeac6af0954,3,a_control,StratifiedKFold
B23.6110af6c0c1dd851739f2fa2,1,a_control,StratifiedKFold
B23.6110b51bf43f377f957c80df,2,c_noSPA,StratifiedKFold
B23.611131e47725f6a04c723651,2,c_noBRP,StratifiedKFold
B23.611195657110219178aa70e1,1,a_control,StratifiedKFold
B23.6111e8da3cc21b460abeefe9,1,c_noSPA,StratifiedKFold
B23.611605de0a30eebef2479dc3,3,c_noFAR,StratifiedKFold
B23.6116876a64aadf8649c181a8,1,c_noFAR,StratifiedKFold
B23.611ea4971bd5f93c68cc56f3,1,b_FAR,StratifiedKFold
B23.611f1751f8fd84c3ba826634,3,c_noFAR,StratifiedKFold
B23.61252d103b9edeb2ef026830,2,b_TUR,StratifiedKFold
B23.61281debe85082cc937dd9ae,2,b_BRP,StratifiedKFold
B23.612d890c774262d7afe06380,3,b_BRP,StratifiedKFold
