dataset_id,fold,Condition,Sentence,TestTalker,ceiling_z,numCorrect,numIncorrect
B23,1,b_SPA,S0812,B23.SPA.SPA,0.35670805980594245,31,4
B23,1,b_SPA,S3199,B23.TUR.TUR,-0.6203124055958381,15,20
B23,1,b_SPA,S5787,B23.BRP.BRP,-0.162503249407887,26,9
B23,1,b_SPA,S9029,B23.TUR.TUR,-1.0379661677056915,9,26
B23,1,b_SPA,S5774,B23.TUR.TUR,0.2442360249365458,28,14
B23,1,b_SPA,S2588,B23.SPA.SPA,-0.5197134351942752,17,18
B23,1,b_SPA,S9461,B23.SPA.SPA,-0.162503249407887,24,11
B23,1,b_SPA,S2189,B23.TUR.TUR,-0.4201963710428933,27,8
B23,1,b_SPA,S2227,B23.SPA.SPA,0.0803655071349686,34,8
B23,1,b_SPA,S9530,B23.FAR.FAR,-0.25392928611232457,22,13
B23,1,b_SPA,S7518,B23.BRP.BRP,0.49279376753942034,34,1
B23,1,b_SPA,S0195,B23.SPA.SPA,-0.2502702147415979,28,14
B23,1,b_SPA,S0754,B23.TUR.TUR,0.3766968565513299,37,5
B23,1,b_SPA,S9215,B23.FAR.FAR,0.6525382177515361,37,5
B23,1,b_SPA,S0363,B23.BRP.BRP,0.5650913514383746,33,9
B23,1,b_SPA,S5237,B23.BRP.BRP,0.3766968565513299,35,7
B23,1,b_SPA,S7985,B23.BRP.BRP,0.49279376753942034,34,1
B23,1,b_SPA,S1895,B23.FAR.FAR,-0.7480142282186852,14,21
B23,1,b_SPA,S7585,B23.SPA.SPA,0.49279376753942034,39,3
B23,1,b_SPA,S7540,B23.SPA.SPA,-0.5596197333316403,15,20
B23,1,b_SPA,S8198,B23.FAR.FAR,0.1658283376725907,25,10
B23,1,b_SPA,S2214,B23.FAR.FAR,0.0009633338347412198,25,17
B23,1,b_SPA,S8954,B23.TUR.TUR,-0.6934237124121894,23,19
B23,1,b_SPA,S1886,B23.SPA.SPA,-0.03292638189580797,28,7
B23,1,b_SPA,S1186,B23.FAR.FAR,0.1658283376725907,27,8
B23,1,b_SPA,S2368,B23.TUR.TUR,-0.3595036987786954,17,18
B23,1,b_SPA,S6062,B23.FAR.FAR,-0.4401851677882805,18,24
B23,1,b_SPA,S7645,B23.FAR.FAR,0.3014685041330559,33,2
B23,1,b_SPA,S9445,B23.TUR.TUR,0.3484020983348902,41,8
B23,1,b_SPA,S9841,B23.TUR.TUR,-1.1456444420471241,4,31
B23,1,b_SPA,S2103,B23.BRP.BRP,-0.4235340255981629,23,19
B23,1,b_SPA,S4862,B23.TUR.TUR,-0.5596197333316403,17,18
B23,1,b_SPA,S2348,B23.BRP.BRP,0.2520101799584726,30,5
B23,1,b_SPA,S6509,B23.SPA.SPA,0.026304299875569974,30,5
B23,1,b_SPA,S0015,B23.FAR.FAR,-0.40681642265881,31,11
B23,1,b_SPA,S9275,B23.SPA.SPA,-0.29704236001210993,15,20
B23,1,b_SPA,S8247,B23.TUR.TUR,-0.3595036987786954,21,14
B23,1,b_SPA,S1573,B23.TUR.TUR,-0.04694441736345691,14,14
B23,1,b_SPA,S2669,B23.SPA.SPA,0.2520101799584726,29,6
B23,1,b_SPA,S0223,B23.BRP.BRP,0.3014685041330559,32,3
B23,1,b_SPA,S7149,B23.TUR.TUR,-0.06970313885885977,33,9
B23,1,b_SPA,S0101,B23.SPA.SPA,-0.3798864863741377,22,13
B23,1,b_SPA,S5541,B23.FAR.FAR,-0.17440101870632993,24,18
B23,1,b_SPA,S5527,B23.TUR.TUR,-0.6582130748206508,23,19
B23,1,b_SPA,S5422,B23.BRP.BRP,1.2211698345700492,35,0
B23,1,b_SPA,S5292,B23.BRP.BRP,0.43093335379192726,40,2
B23,1,b_SPA,S0448,B23.SPA.SPA,-0.33892561800435345,21,14
B23,1,b_SPA,S9562,B23.BRP.BRP,0.43093335379192726,38,4
B23,1,b_SPA,S8234,B23.FAR.FAR,0.3766968565513299,36,6
